时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
365金融
2015-3-26,5.0,300.0,18.56,48.0,4,75.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,3.0,163.0,19.33,50.0,3,54.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,7.0,134.0,20.29,68.6,7,19.143,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,4.0,111.0,19.0,45.0,4,27.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,2.0,118.0,20.0,60.0,2,59.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,3.0,86.0,19.33,50.0,3,28.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,3.0,79.0,19.33,50.0,3,26.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,4.0,157.0,19.0,45.0,4,39.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,5.0,268.0,18.8,48.0,4,67.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,3.0,68.0,20.67,70.0,3,22.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,2.0,150.0,20.0,60.0,2,75.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,4.0,221.0,20.0,67.5,3,73.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,4.0,136.0,20.0,60.0,4,34.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,5.0,141.0,20.4,66.0,5,28.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,3.0,148.0,20.67,70.0,3,49.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,6.0,215.0,20.0,60.0,6,35.833,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,2.0,155.0,20.0,60.0,2,77.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,3.0,125.0,19.33,50.0,3,41.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,5.0,233.0,18.8,48.0,5,46.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,4.0,168.0,20.0,60.0,4,42.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,5.0,178.0,19.6,60.0,5,35.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,6.0,173.0,20.0,60.0,5,34.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,3.0,143.0,19.33,60.0,3,47.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,4.0,186.0,20.0,60.0,4,46.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,3.0,135.0,19.33,50.0,3,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,5.0,181.0,20.4,66.0,5,36.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,7.0,285.0,19.43,77.1,6,47.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,5.0,203.0,20.4,66.0,5,40.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,3.0,62.0,17.33,80.0,3,20.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,2.0,135.0,20.0,60.0,1,135.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
