时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
808信贷
2015-3-26,89.0,491.99,16.02,41.1,45,10.933,no_data_yet,no_data_yet,20.44,46199.31
2015-3-27,89.0,793.24,16.6,40.8,43,18.447,no_data_yet,no_data_yet,44.29,46184.3
2015-3-28,93.0,512.35,17.62,40.0,42,12.199,no_data_yet,no_data_yet,483.78,45719.58
2015-3-29,81.0,584.84,17.46,41.5,49,11.936,no_data_yet,no_data_yet,151.09,45594.32
2015-3-30,91.0,695.84,17.99,45.5,44,15.814,no_data_yet,no_data_yet,40.93,45663.82
2015-3-31,97.0,573.75,17.7,41.1,40,14.344,no_data_yet,no_data_yet,8.64,45678.32
2015-4-1,115.0,1096.58,18.46,38.1,48,22.845,no_data_yet,no_data_yet,64.64,45780.86
2015-4-2,91.0,643.13,17.92,42.5,50,12.863,no_data_yet,no_data_yet,21.53,45785.81
2015-4-3,92.0,573.83,17.98,37.5,42,13.663,no_data_yet,no_data_yet,60.75,45748.44
2015-4-4,74.0,439.36,17.65,41.4,47,9.348,no_data_yet,no_data_yet,264.37,45503.25
2015-4-5,51.0,626.52,18.47,41.8,26,24.097,no_data_yet,no_data_yet,157.73,45365.71
2015-4-6,77.0,558.24,18.44,41.7,39,14.314,no_data_yet,no_data_yet,53.6,45438.7
2015-4-7,104.0,784.74,18.88,37.2,46,17.06,no_data_yet,no_data_yet,185.45,45648.53
2015-4-8,142.0,566.1,18.58,37.0,72,7.862,no_data_yet,no_data_yet,30.18,45638.78
2015-4-9,106.0,439.93,18.68,36.5,52,8.46,no_data_yet,no_data_yet,72.83,45581.44
2015-4-10,94.0,697.01,18.59,40.9,46,15.152,no_data_yet,no_data_yet,25.0,45629.95
2015-4-11,100.0,500.13,18.49,36.0,43,11.631,no_data_yet,no_data_yet,182.84,45461.98
2015-4-12,76.0,338.83,18.93,37.5,35,9.681,no_data_yet,no_data_yet,73.25,45401.14
2015-4-13,103.0,575.14,19.53,37.9,52,11.06,no_data_yet,no_data_yet,121.42,45541.13
2015-4-14,104.0,437.25,19.89,34.0,48,9.109,no_data_yet,no_data_yet,86.99,45465.93
2015-4-15,93.0,577.16,19.37,38.1,56,10.306,no_data_yet,no_data_yet,100.34,45586.84
2015-4-16,102.0,494.65,19.75,35.6,58,8.528,no_data_yet,no_data_yet,87.83,45690.09
2015-4-17,148.0,553.96,18.52,37.9,70,7.914,no_data_yet,no_data_yet,77.62,45790.28
2015-4-18,71.0,447.97,17.69,43.9,43,10.418,no_data_yet,no_data_yet,9.74,45822.24
2015-4-19,77.0,355.74,17.67,42.9,48,7.411,no_data_yet,no_data_yet,44.89,45794.02
2015-4-20,115.0,493.0,17.47,45.9,65,7.585,no_data_yet,no_data_yet,110.75,45926.64
2015-4-21,78.0,543.9,17.86,55.8,48,11.331,no_data_yet,no_data_yet,179.48,46135.44
2015-4-22,109.0,582.21,17.54,45.4,52,11.196,no_data_yet,no_data_yet,41.45,46114.6
2015-4-23,88.0,664.65,17.46,52.2,46,14.449,no_data_yet,no_data_yet,81.51,46061.78
2015-4-24,86.0,490.14,17.37,53.4,55,8.912,no_data_yet,no_data_yet,152.41,45935.22
2015-4-25,58.0,500.22,17.26,47.6,43,11.633,no_data_yet,no_data_yet,14.54,45970.97
