时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
91旺财
2015-3-26,4.0,800.0,9.5,67.5,2,400.0,no_data_yet,no_data_yet,130.63,43656.83
2015-3-27,5.0,800.0,9.6,72.0,4,200.0,no_data_yet,no_data_yet,93.1,43766.94
2015-3-28,3.0,500.0,9.83,90.0,3,166.667,no_data_yet,no_data_yet,3.7,43777.95
2015-3-29,2.0,210.0,10.25,120.0,2,105.0,no_data_yet,no_data_yet,1162.64,42622.45
2015-3-30,4.0,930.0,9.5,60.0,3,310.0,no_data_yet,no_data_yet,339.85,42975.74
2015-3-31,3.0,384.0,9.5,60.0,3,128.0,no_data_yet,no_data_yet,497.47,42485.38
2015-4-1,4.0,550.0,9.88,82.5,3,183.333,no_data_yet,no_data_yet,507.77,41990.0
2015-4-2,7.0,750.0,10.79,162.9,2,375.0,no_data_yet,no_data_yet,56.55,41970.27
2015-4-3,5.0,690.94,9.4,60.0,3,230.313,no_data_yet,no_data_yet,65.27,41916.21
2015-4-4,4.0,429.0,9.63,75.0,4,107.25,no_data_yet,no_data_yet,663.68,41261.12
2015-4-5,3.0,310.0,10.0,100.0,3,103.333,no_data_yet,no_data_yet,153.4,41115.27
2015-4-6,7.0,850.0,9.86,90.0,4,212.5,no_data_yet,no_data_yet,59.3,41079.17
2015-4-7,5.0,640.08,9.6,66.0,3,213.36,no_data_yet,no_data_yet,233.67,41323.5
2015-4-8,5.0,790.0,9.7,72.0,3,263.333,no_data_yet,no_data_yet,78.78,41418.89
2015-4-9,3.0,630.0,9.67,70.0,2,315.0,no_data_yet,no_data_yet,155.77,41275.54
2015-4-10,5.0,690.0,10.4,132.0,3,230.0,no_data_yet,no_data_yet,185.48,41487.53
2015-4-11,2.0,256.0,9.25,45.0,2,128.0,no_data_yet,no_data_yet,256.0,41746.71
2015-4-12,3.0,380.0,9.17,40.0,3,126.667,no_data_yet,no_data_yet,123.7,41627.46
2015-4-13,6.0,1010.0,9.5,60.0,5,202.0,no_data_yet,no_data_yet,705.32,42348.88
2015-4-14,5.0,730.0,9.5,66.0,5,146.0,no_data_yet,no_data_yet,23.18,42386.13
2015-4-15,5.0,840.0,10.0,102.0,4,210.0,no_data_yet,no_data_yet,12.89,42396.21
2015-4-16,6.0,1112.0,10.42,135.0,4,278.0,no_data_yet,no_data_yet,520.23,41921.15
2015-4-17,3.0,540.0,10.0,100.0,3,180.0,no_data_yet,no_data_yet,15.71,41922.25
2015-4-18,4.0,778.0,10.5,142.5,3,259.333,no_data_yet,no_data_yet,445.28,42403.17
2015-4-19,1.0,200.0,9.5,60.0,1,200.0,no_data_yet,no_data_yet,465.2,41941.1
2015-4-20,4.0,700.0,10.63,150.0,2,350.0,no_data_yet,no_data_yet,548.89,42520.23
2015-4-21,5.0,900.0,9.9,96.0,3,300.0,no_data_yet,no_data_yet,99.12,42646.39
2015-4-22,9.0,1008.0,9.83,90.0,8,126.0,no_data_yet,no_data_yet,584.89,43264.39
2015-4-23,3.0,460.0,9.17,40.0,3,153.333,no_data_yet,no_data_yet,144.44,43124.18
2015-4-24,6.0,941.0,9.42,60.0,4,235.25,no_data_yet,no_data_yet,477.6,43619.75
