时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
PPmoney
2015-3-26,2399.0,3980.29,6.38,89.0,1782,2.234,no_data_yet,no_data_yet,698.8,345974.85
2015-3-27,2034.0,5058.37,6.44,88.3,1607,3.148,no_data_yet,no_data_yet,330.89,346432.61
2015-3-28,1706.0,3098.55,6.35,89.7,1339,2.314,no_data_yet,no_data_yet,2028.08,344458.02
2015-3-29,1660.0,4164.8,6.35,89.7,1308,3.184,no_data_yet,no_data_yet,329.51,344206.35
2015-3-30,2366.0,5878.83,6.42,88.4,1820,3.23,no_data_yet,no_data_yet,485.1,343853.01
2015-3-31,2354.0,4905.5,6.43,88.2,1818,2.698,no_data_yet,no_data_yet,512.28,344433.31
2015-4-1,1054.0,5131.99,6.53,86.7,944,5.436,no_data_yet,no_data_yet,488.33,344005.66
2015-4-2,967.0,4079.2,6.56,86.5,876,4.657,no_data_yet,no_data_yet,1026.02,345120.28
2015-4-3,805.0,3680.02,6.46,88.5,728,5.055,no_data_yet,no_data_yet,280.84,344909.69
2015-4-4,1320.0,3533.48,6.38,89.5,1052,3.359,no_data_yet,no_data_yet,642.12,345631.34
2015-4-5,1141.0,2192.69,6.35,89.8,877,2.5,no_data_yet,no_data_yet,1503.67,344179.81
2015-4-6,1456.0,2959.99,6.36,89.5,1150,2.574,no_data_yet,no_data_yet,1245.64,345490.92
2015-4-7,2369.0,5045.98,6.38,89.1,1798,2.806,no_data_yet,no_data_yet,2403.06,347998.48
2015-4-8,2139.0,4927.2,6.38,89.2,1625,3.032,no_data_yet,no_data_yet,981.94,349074.29
2015-4-9,2194.0,6600.09,6.37,89.4,1724,3.828,no_data_yet,no_data_yet,2491.09,351692.59
2015-4-10,2308.0,5714.99,6.36,89.8,1758,3.251,no_data_yet,no_data_yet,1917.26,353765.56
2015-4-11,1840.0,4815.87,6.34,89.8,1472,3.272,no_data_yet,no_data_yet,1029.67,354917.92
2015-4-12,1792.0,4219.44,6.34,89.8,1419,2.974,no_data_yet,no_data_yet,1047.64,353957.31
2015-4-13,2355.0,6208.51,6.36,89.9,1870,3.32,no_data_yet,no_data_yet,1970.59,356079.46
2015-4-14,1908.0,5158.6,6.36,89.8,1525,3.383,no_data_yet,no_data_yet,697.38,356905.49
2015-4-15,2815.0,4990.04,6.33,89.9,2327,2.144,no_data_yet,no_data_yet,2169.24,359189.76
2015-4-16,2203.0,4337.12,6.37,90.0,1780,2.437,no_data_yet,no_data_yet,136.22,359448.75
2015-4-17,2233.0,7103.36,6.39,89.9,1776,4.0,no_data_yet,no_data_yet,3465.33,363143.74
2015-4-18,1896.0,3470.78,6.35,90.0,1507,2.303,no_data_yet,no_data_yet,526.73,362729.48
2015-4-19,1861.0,3584.36,6.35,90.0,1476,2.428,no_data_yet,no_data_yet,1338.25,361506.36
2015-4-20,2315.0,5390.73,6.38,89.8,1806,2.985,no_data_yet,no_data_yet,2152.2,363801.24
2015-4-21,2076.0,5665.11,6.38,89.9,1651,3.431,no_data_yet,no_data_yet,3020.41,366976.44
2015-4-22,3151.0,7350.73,6.37,89.9,2277,3.228,no_data_yet,no_data_yet,2466.95,369645.44
2015-4-23,3437.0,5971.26,6.36,89.9,2394,2.494,no_data_yet,no_data_yet,2595.2,372395.9
2015-4-24,2719.0,6253.3,6.38,90.0,2027,3.085,no_data_yet,no_data_yet,2909.56,375497.38
2015-4-25,2428.0,4678.59,6.34,89.9,1858,2.518,no_data_yet,no_data_yet,1847.5,377458.15
