时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
e租宝
2015-3-26,3.0,4400.0,12.2,363.3,3,1466.667,no_data_yet,no_data_yet,4369.93,281173.1
2015-3-27,2.0,3000.0,11.2,227.5,2,1500.0,no_data_yet,no_data_yet,2946.06,284306.28
2015-3-28,2.0,3500.0,11.0,365.0,2,1750.0,no_data_yet,no_data_yet,3447.65,288134.14
2015-3-29,2.0,3500.0,13.4,272.5,2,1750.0,no_data_yet,no_data_yet,3407.96,291909.22
2015-3-30,4.0,6400.0,12.8,293.8,4,1600.0,no_data_yet,no_data_yet,6308.83,298879.45
2015-3-31,3.0,4400.0,9.0,365.0,3,1466.667,no_data_yet,no_data_yet,4305.73,303586.67
2015-4-1,4.0,6500.0,12.5,295.0,4,1625.0,no_data_yet,no_data_yet,6450.92,310707.32
2015-4-2,3.0,4049.73,11.8,273.3,3,1349.911,no_data_yet,no_data_yet,4023.22,315080.06
2015-4-3,4.0,5500.0,12.4,295.0,4,1375.0,no_data_yet,no_data_yet,5450.92,321062.91
2015-4-4,4.0,5100.0,12.5,295.0,4,1275.0,no_data_yet,no_data_yet,5035.05,326611.24
2015-4-5,1.0,1400.0,9.0,365.0,1,1400.0,no_data_yet,no_data_yet,1366.83,328105.82
2015-4-6,2.0,1350.0,11.8,362.5,2,675.0,no_data_yet,no_data_yet,1289.52,329551.38
2015-4-7,5.0,5400.0,12.84,308.0,5,1080.0,no_data_yet,no_data_yet,5346.18,335470.14
2015-4-8,5.0,6100.0,12.76,272.0,5,1220.0,no_data_yet,no_data_yet,6041.19,342063.53
2015-4-9,3.0,4300.0,10.47,273.3,3,1433.333,no_data_yet,no_data_yet,4246.33,346621.39
2015-4-10,4.0,6000.0,12.5,295.0,4,1500.0,no_data_yet,no_data_yet,5943.78,353141.63
2015-4-11,1.0,1500.0,14.6,360.0,1,1500.0,no_data_yet,no_data_yet,1425.03,354785.67
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,52.18,354733.48
2015-4-13,4.0,6300.0,12.2,227.5,4,1575.0,no_data_yet,no_data_yet,6275.38,361473.03
2015-4-14,3.0,5000.0,12.6,361.7,3,1666.667,no_data_yet,no_data_yet,4908.37,367023.28
2015-4-15,4.0,5800.0,13.4,181.3,4,1450.0,no_data_yet,no_data_yet,4932.03,372336.95
2015-4-16,4.0,5800.0,12.8,293.8,4,1450.0,no_data_yet,no_data_yet,5651.83,378595.43
2015-4-17,3.0,4900.0,10.47,273.3,3,1633.333,no_data_yet,no_data_yet,4788.44,383744.37
2015-4-18,4.0,6400.0,12.5,295.0,4,1600.0,no_data_yet,no_data_yet,6315.42,390726.17
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,104.66,390621.51
2015-4-20,3.0,5500.0,11.8,273.3,3,1833.333,no_data_yet,no_data_yet,5421.65,396490.37
2015-4-21,6.0,8200.0,12.33,286.7,6,1366.667,no_data_yet,no_data_yet,8179.58,405520.28
2015-4-22,4.0,6300.0,12.2,227.5,4,1575.0,no_data_yet,no_data_yet,6194.94,412203.73
2015-4-23,6.0,8100.0,13.2,285.8,6,1350.0,no_data_yet,no_data_yet,8050.5,421058.58
2015-4-24,5.0,7900.0,11.8,309.0,5,1580.0,no_data_yet,no_data_yet,7831.06,429661.37
2015-4-25,1.0,1400.0,13.4,90.0,1,1400.0,no_data_yet,no_data_yet,1324.93,431033.21
2015-4-26,1.0,1500.0,9.0,365.0,1,1500.0,no_data_yet,no_data_yet,643.31,431813.39
2015-4-27,5.0,7500.0,12.84,308.0,5,1500.0,no_data_yet,no_data_yet,7416.4,440046.62
2015-4-28,4.0,5700.0,12.5,295.0,4,1425.0,no_data_yet,no_data_yet,5569.05,446182.6
2015-4-29,7.0,10700.0,12.26,259.3,7,1528.571,no_data_yet,no_data_yet,10542.2,457632.2
2015-4-30,4.0,6400.0,11.5,295.0,4,1600.0,no_data_yet,no_data_yet,5497.98,463715.45
