时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
万民投资
2015-3-26,4.0,40.0,20.0,60.0,2,20.0,no_data_yet,no_data_yet,19.5,2226.22
2015-3-27,5.0,50.0,20.0,66.0,2,25.0,no_data_yet,no_data_yet,18.92,2246.97
2015-3-28,3.0,30.0,20.0,50.0,2,15.0,no_data_yet,no_data_yet,2.98,2250.78
2015-3-29,4.0,32.0,20.0,60.0,2,16.0,no_data_yet,no_data_yet,4.17,2247.65
2015-3-30,5.0,40.0,20.0,54.0,2,20.0,no_data_yet,no_data_yet,11.67,2237.32
2015-3-31,5.0,35.0,20.0,66.0,3,11.667,no_data_yet,no_data_yet,6.68,2231.88
2015-4-1,6.0,47.0,20.0,60.0,3,15.667,no_data_yet,no_data_yet,20.67,2254.17
2015-4-2,3.0,30.0,20.0,70.0,2,15.0,no_data_yet,no_data_yet,1.57,2253.77
2015-4-3,3.0,30.0,20.0,70.0,2,15.0,no_data_yet,no_data_yet,6.33,2248.6
2015-4-4,3.0,35.0,20.0,70.0,2,17.5,no_data_yet,no_data_yet,3.75,2253.6
2015-4-5,2.0,30.0,20.0,60.0,2,15.0,no_data_yet,no_data_yet,6.17,2248.43
2015-4-6,3.0,35.0,20.0,70.0,2,17.5,no_data_yet,no_data_yet,3.92,2253.6
2015-4-7,3.0,35.0,20.0,70.0,2,17.5,no_data_yet,no_data_yet,3.92,2258.77
2015-4-8,3.0,35.0,20.0,50.0,2,17.5,no_data_yet,no_data_yet,3.9,2263.75
2015-4-9,2.0,30.0,20.0,60.0,2,15.0,no_data_yet,no_data_yet,3.83,2268.58
2015-4-10,3.0,35.0,20.0,50.0,2,17.5,no_data_yet,no_data_yet,6.33,2263.33
2015-4-11,4.0,30.0,20.0,45.0,2,15.0,no_data_yet,no_data_yet,1.25,2262.92
2015-4-12,3.0,30.0,20.0,70.0,2,15.0,no_data_yet,no_data_yet,1.35,2262.73
2015-4-13,4.0,35.0,20.0,60.0,2,17.5,no_data_yet,no_data_yet,6.48,2257.5
2015-4-14,4.0,35.0,20.0,60.0,2,17.5,no_data_yet,no_data_yet,3.65,2262.4
2015-4-15,5.0,35.0,20.0,54.0,2,17.5,no_data_yet,no_data_yet,6.58,2256.9
2015-4-16,5.0,40.0,19.6,54.0,3,13.333,no_data_yet,no_data_yet,6.58,2251.47
2015-4-17,5.0,40.0,19.6,54.0,4,10.0,no_data_yet,no_data_yet,1.42,2251.2
2015-4-18,5.0,40.0,19.6,54.0,3,13.333,no_data_yet,no_data_yet,13.83,2266.18
2015-4-19,3.0,30.0,19.33,50.0,3,10.0,no_data_yet,no_data_yet,0.75,2266.25
2015-4-20,5.0,40.0,19.6,54.0,3,13.333,no_data_yet,no_data_yet,9.17,2276.57
2015-4-21,4.0,35.0,19.5,45.0,3,11.667,no_data_yet,no_data_yet,4.17,2281.63
2015-4-22,3.0,30.0,19.33,50.0,3,10.0,no_data_yet,no_data_yet,11.0,2271.45
2015-4-23,3.0,25.0,20.0,50.0,2,12.5,no_data_yet,no_data_yet,0.67,2271.53
2015-4-24,2.0,25.0,20.0,60.0,2,12.5,no_data_yet,no_data_yet,6.85,2265.6
2015-4-25,3.0,25.0,20.0,50.0,2,12.5,no_data_yet,no_data_yet,5.83,2260.52
2015-4-26,2.0,20.0,20.0,60.0,2,10.0,no_data_yet,no_data_yet,16.42,2244.77
2015-4-27,2.0,20.0,20.0,60.0,2,10.0,no_data_yet,no_data_yet,11.08,2234.35
2015-4-28,7.0,65.0,20.0,64.3,2,32.5,no_data_yet,no_data_yet,36.88,2273.48
2015-4-29,6.0,45.0,20.0,70.0,2,22.5,no_data_yet,no_data_yet,1.5,2273.57
2015-4-30,6.0,55.0,20.0,70.0,2,27.5,no_data_yet,no_data_yet,2.4,2278.22
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,38.7,2239.52
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,45.57,2193.95
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,31.25,2162.7
