时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
中乾在线
2015-3-26,1.0,100.0,20.0,180.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,1.0,25.0,20.0,180.0,1,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,1.0,25.0,20.0,180.0,1,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,1.0,10.0,15.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,1.0,25.0,20.0,180.0,1,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,1.0,10.0,15.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,2.0,62.3,17.5,105.0,2,31.15,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,1.0,25.0,20.0,180.0,1,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,2.0,20.0,15.0,30.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,4.0,85.0,18.75,142.5,2,42.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,2.0,45.0,20.0,180.0,1,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,3.0,150.0,19.33,160.0,2,75.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,4.0,188.2,20.2,257.5,2,94.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,1.0,20.0,20.0,180.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,2.0,40.0,20.7,272.5,2,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,4.0,100.0,17.0,90.0,2,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,4.0,111.7,17.0,90.0,2,55.85,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,2.0,30.0,18.2,197.5,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,5.0,260.2,16.6,78.0,2,130.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,1.0,10.0,15.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,1.0,20.0,21.4,365.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,3.0,105.0,20.47,241.7,2,52.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,3.0,77.0,18.8,191.7,2,38.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,5.0,163.7,17.0,90.0,2,81.85,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,8.0,140.0,16.98,121.3,3,46.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,3.0,50.0,18.8,191.7,2,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,1.0,53.0,16.5,60.0,1,53.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,7.0,142.0,17.91,142.1,2,71.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,1.0,3.5,15.0,30.0,1,3.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,3.0,50.0,17.8,191.7,3,16.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,11.0,245.0,19.0,141.8,3,81.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,4.0,60.0,17.9,166.3,4,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,1.0,10.0,20.4,365.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,2.0,30.0,17.7,197.5,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,2.0,18.0,17.7,197.5,2,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,4.0,47.0,18.0,212.5,3,15.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,2.0,85.0,17.7,197.5,2,42.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,1.0,10.0,15.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,1.0,5.0,16.2,90.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,4.0,55.0,17.4,166.3,4,13.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,4.0,55.0,18.45,235.0,3,18.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,3.0,85.0,19.6,303.3,2,42.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,2.0,23.5,19.2,272.5,2,11.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,4.0,175.0,17.85,188.8,3,58.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-1,3.0,55.0,18.93,253.3,2,27.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-2,1.0,10.0,15.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-3,2.0,30.0,17.7,197.5,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-4,1.0,10.0,15.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-5,2.0,30.0,16.5,105.0,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-7,1.0,60.0,15.0,30.0,1,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-8,2.0,30.0,17.7,197.5,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-9,2.0,30.0,17.7,197.5,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-10,2.0,30.0,17.7,197.5,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-11,6.0,50.0,16.6,120.8,4,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-12,4.0,55.0,17.4,166.3,4,13.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-13,3.0,31.0,18.2,211.7,3,10.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-15,4.0,222.2,18.65,203.8,4,55.55,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-16,4.0,59.0,17.7,197.5,2,29.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-17,2.0,24.0,17.7,197.5,2,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-18,2.0,20.0,17.7,197.5,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-19,4.0,41.0,16.65,128.8,3,13.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-21,1.0,10.0,15.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-23,5.0,106.5,17.76,194.0,2,53.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-25,3.0,35.0,17.8,191.7,2,17.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-26,3.0,40.0,16.8,141.7,2,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-29,1.0,20.0,18.0,180.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-30,1.0,10.0,15.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-1,1.0,10.0,15.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-2,4.0,45.0,17.85,235.0,2,22.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-4,2.0,30.0,17.1,197.5,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-5,1.0,5.0,18.0,180.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-6,3.0,72.0,14.2,50.0,2,36.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-7,2.0,30.0,16.5,197.5,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-8,1.0,10.0,13.8,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-9,2.0,30.0,16.5,197.5,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-10,5.0,59.0,15.72,139.0,4,14.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-11,2.0,16.0,17.4,180.0,2,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-13,2.0,30.0,16.5,197.5,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-14,2.0,30.0,16.5,197.5,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-16,4.0,44.0,15.9,151.3,2,22.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-17,2.0,30.0,16.5,197.5,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-20,4.0,52.0,18.15,281.3,3,17.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-21,1.0,20.0,19.2,365.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
