时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
中瑞财富
2015-3-26,3.0,646.0,10.83,50.0,2,323.0,no_data_yet,no_data_yet,646.0,32860.06
2015-3-27,4.0,457.0,11.0,60.3,3,152.333,no_data_yet,no_data_yet,413.47,33282.73
2015-3-28,1.0,45.33,10.0,30.0,1,45.326,no_data_yet,no_data_yet,40.12,33323.22
2015-3-29,1.0,0.53,11.0,90.0,1,0.53,no_data_yet,no_data_yet,49.88,33273.35
2015-3-30,2.0,365.0,10.75,60.5,2,182.5,no_data_yet,no_data_yet,1323.67,31956.77
2015-3-31,2.0,700.0,11.0,76.5,2,350.0,no_data_yet,no_data_yet,599.16,32573.38
2015-4-1,5.0,420.0,10.9,48.0,3,140.0,no_data_yet,no_data_yet,312.94,32892.87
2015-4-2,2.0,542.0,11.25,55.0,2,271.0,no_data_yet,no_data_yet,436.75,33344.05
2015-4-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,206.67,33137.38
2015-4-4,1.0,500.0,11.5,90.0,1,500.0,no_data_yet,no_data_yet,240.9,33392.47
2015-4-5,1.0,300.0,11.0,15.0,1,300.0,no_data_yet,no_data_yet,300.0,33693.82
2015-4-6,3.0,650.0,10.67,21.0,2,325.0,no_data_yet,no_data_yet,650.0,34346.99
2015-4-7,4.0,950.0,10.88,120.0,3,316.667,no_data_yet,no_data_yet,721.79,33657.78
2015-4-8,3.0,349.0,10.33,51.0,3,116.333,no_data_yet,no_data_yet,260.78,33402.43
2015-4-9,2.0,550.0,10.5,60.0,1,550.0,no_data_yet,no_data_yet,143.04,33559.44
2015-4-10,3.0,774.0,10.83,63.3,2,387.0,no_data_yet,no_data_yet,242.52,33336.35
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,508.63,32827.72
2015-4-12,1.0,200.0,11.5,90.0,1,200.0,no_data_yet,no_data_yet,149.59,32982.98
2015-4-13,4.0,1090.0,10.5,60.3,4,272.5,no_data_yet,no_data_yet,339.3,32671.8
