时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
乐居财富
2015-3-26,4.0,55.0,23.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,44.6,1829.51
2015-3-27,5.0,60.0,23.6,78.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,59.1,1891.59
2015-3-28,2.0,35.0,23.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,23.62,1916.47
2015-3-29,1.0,10.0,24.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.4,1926.47
2015-3-30,3.0,30.0,24.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,28.1,1956.37
2015-3-31,3.0,24.0,24.0,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,18.1,1976.15
2015-4-1,4.0,65.0,22.5,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,64.3,2042.27
2015-4-2,3.0,44.0,23.33,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,37.9,2083.83
2015-4-3,3.0,35.0,24.0,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,33.5,2120.03
2015-4-4,1.0,15.0,24.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4.1,2125.03
2015-4-5,2.0,37.0,23.0,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,36.3,2163.74
2015-4-6,1.0,10.0,22.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,8.9,2172.82
2015-4-7,2.0,25.0,22.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,6.0,2167.28
2015-4-8,5.0,74.0,23.2,102.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,63.4,2235.91
2015-4-9,4.0,51.0,23.5,97.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,39.6,2278.54
2015-4-10,3.0,32.0,24.0,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,30.2,2311.68
2015-4-11,5.0,50.0,24.0,144.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,39.2,2355.68
2015-4-12,4.0,44.0,24.0,135.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,33.2,2392.72
2015-4-13,8.0,90.0,24.0,112.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,79.2,2478.52
2015-4-14,4.0,60.0,24.0,135.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,59.2,2543.12
2015-4-15,1.0,15.0,24.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,17.0,2527.02
2015-4-16,2.0,25.0,24.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,24.1,2552.62
2015-4-17,10.0,100.0,23.6,123.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,98.5,2659.29
2015-4-18,6.0,68.0,23.33,85.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,66.58,2729.69
2015-4-19,3.0,30.0,22.67,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1.6,2729.06
2015-4-20,6.0,65.0,23.67,95.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,54.3,2787.68
2015-4-21,6.0,80.0,23.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,58.9,2849.92
2015-4-22,2.0,20.0,23.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1.1,2849.6
2015-4-23,5.0,55.0,24.0,108.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,24.12,2877.68
