时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
乾龙在线
2015-3-30,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1.04,15.32
2015-3-31,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1.04,15.32
2015-4-1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1.04,15.32
2015-4-2,1.0,5.0,20.0,30.0,1,5.0,no_data_yet,no_data_yet,5.0,20.41
2015-4-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,20.41
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,20.41
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,20.41
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.1,15.31
2015-4-7,1.0,5.0,24.0,30.0,1,5.0,no_data_yet,no_data_yet,5.0,20.41
2015-4-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,20.41
2015-4-9,1.0,4.0,24.0,30.0,1,4.0,no_data_yet,no_data_yet,4.0,24.49
2015-4-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.06,21.43
2015-4-11,1.0,2.5,24.0,30.0,1,2.5,no_data_yet,no_data_yet,2.5,23.98
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.41,23.56
2015-4-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.41,23.56
2015-4-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.41,23.56
2015-4-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.41,23.56
2015-4-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.41,23.56
2015-4-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.41,23.56
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.41,23.56
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.41,23.56
2015-4-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.41,23.56
2015-4-21,1.0,10.0,24.0,30.0,1,10.0,no_data_yet,no_data_yet,10.0,33.76
2015-4-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.0,33.76
2015-4-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.0,33.76
2015-4-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.1,28.66
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.1,28.66
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.1,28.66
2015-4-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.1,28.66
2015-4-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.1,28.66
2015-4-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.1,28.66
2015-4-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.1,28.66
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.1,28.66
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.08,23.58
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.08,23.58
2015-5-4,1.0,10.0,24.0,30.0,1,10.0,no_data_yet,no_data_yet,10.0,33.78
2015-5-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.0,33.78
2015-5-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.0,33.78
2015-5-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.1,28.68
2015-5-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.1,28.68
2015-5-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.08,24.6
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.08,24.6
2015-5-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.55,22.05
2015-5-12,1.0,5.0,24.0,30.0,1,5.0,no_data_yet,no_data_yet,4.59,26.74
2015-5-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.59,26.74
2015-5-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.59,26.74
2015-5-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.59,26.74
2015-5-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.59,26.74
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.59,26.74
2015-5-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.59,26.74
2015-5-19,1.0,5.0,24.0,30.0,1,5.0,no_data_yet,no_data_yet,5.0,31.84
2015-5-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,31.84
2015-5-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.2,21.64
2015-5-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.2,21.64
2015-5-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.2,21.64
2015-5-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.2,21.64
2015-5-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.2,21.64
2015-5-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.2,21.64
2015-5-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.2,21.64
2015-5-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.2,21.64
2015-5-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.2,21.64
2015-5-30,1.0,3.0,24.0,30.0,1,3.0,no_data_yet,no_data_yet,3.0,24.7
2015-5-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,24.7
2015-6-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,24.7
2015-6-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,24.7
2015-6-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.2,14.5
2015-6-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.2,14.5
2015-6-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.2,14.5
2015-6-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.2,14.5
2015-6-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.2,14.5
2015-6-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.2,14.5
2015-6-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.2,14.5
2015-6-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.2,14.5
2015-6-11,1.0,5.0,24.0,30.0,1,5.0,no_data_yet,no_data_yet,0.51,14.09
2015-6-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.51,14.09
2015-6-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.51,14.09
2015-6-14,1.0,3.0,18.0,30.0,1,3.0,no_data_yet,no_data_yet,3.0,17.13
2015-6-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,17.13
2015-6-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,17.13
2015-6-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,17.13
2015-6-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.1,12.03
2015-6-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.1,12.03
2015-6-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.1,12.03
2015-6-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.1,12.03
2015-6-22,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,5.0,17.11
2015-6-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,17.11
2015-6-24,1.0,3.0,18.0,30.0,1,3.0,no_data_yet,no_data_yet,3.0,20.15
2015-6-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,20.15
2015-6-26,1.0,3.0,15.0,30.0,1,3.0,no_data_yet,no_data_yet,3.0,23.19
2015-6-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,23.19
2015-6-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,23.19
2015-6-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.06,20.13
2015-6-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.06,20.13
2015-7-1,1.0,5.0,15.0,30.0,1,5.0,no_data_yet,no_data_yet,5.0,25.19
2015-7-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,25.19
2015-7-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,25.19
2015-7-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,25.19
2015-7-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,25.19
2015-7-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,25.19
2015-7-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,25.19
2015-7-8,1.0,5.0,15.0,30.0,1,5.0,no_data_yet,no_data_yet,5.0,30.25
2015-7-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,30.25
2015-7-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,30.25
2015-7-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.51,24.74
2015-7-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.51,24.74
2015-7-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.51,24.74
2015-7-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.05,21.7
2015-7-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.05,21.7
2015-7-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.05,21.7
2015-7-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.05,21.7
2015-7-18,1.0,5.0,15.0,30.0,1,5.0,no_data_yet,no_data_yet,5.0,26.76
2015-7-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,26.76
2015-7-20,1.0,5.0,18.0,90.0,1,5.0,no_data_yet,no_data_yet,5.0,31.98
2015-7-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,31.98
2015-7-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.08,26.91
2015-7-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.08,26.91
2015-7-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.05,23.86
2015-7-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.05,23.86
2015-7-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.04,20.83
2015-7-27,1.0,5.0,15.0,30.0,1,5.0,no_data_yet,no_data_yet,5.0,25.89
2015-7-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,25.89
2015-7-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,25.89
2015-7-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,25.89
2015-7-31,1.0,3.0,15.0,30.0,1,3.0,no_data_yet,no_data_yet,2.06,23.86
2015-8-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.06,23.86
2015-8-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.06,23.86
2015-8-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.06,23.86
2015-8-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.06,23.86
2015-8-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.06,23.86
2015-8-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.06,23.86
2015-8-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.06,18.8
2015-8-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.06,18.8
2015-8-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.06,18.8
2015-8-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.41,18.39
2015-8-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.41,18.39
2015-8-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.41,18.39
2015-8-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.41,18.39
2015-8-14,1.0,5.0,15.0,30.0,1,5.0,no_data_yet,no_data_yet,5.0,23.45
2015-8-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,23.45
2015-8-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,23.45
2015-8-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.06,18.39
2015-8-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.06,18.39
2015-8-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.08,18.31
2015-8-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.08,18.31
2015-8-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.08,18.31
2015-8-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.08,18.31
2015-8-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.08,18.31
2015-8-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.08,18.31
2015-8-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.08,18.31
2015-8-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.06,13.25
2015-8-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.06,13.25
2015-8-28,1.0,3.0,18.0,30.0,1,3.0,no_data_yet,no_data_yet,3.0,16.3
2015-8-29,1.0,3.0,18.0,30.0,1,3.0,no_data_yet,no_data_yet,3.0,19.34
2015-8-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.04,16.3
2015-8-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.04,16.3
2015-9-1,1.0,3.0,18.0,30.0,1,3.0,no_data_yet,no_data_yet,3.0,19.35
2015-9-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,19.35
2015-9-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,19.35
2015-9-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,19.35
2015-9-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,19.35
2015-9-6,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,5.0,24.42
2015-9-7,1.0,3.0,18.0,30.0,1,3.0,no_data_yet,no_data_yet,3.0,27.47
2015-9-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,27.47
2015-9-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,27.47
2015-9-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,27.47
2015-9-11,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,5.0,32.54
2015-9-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,32.54
2015-9-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.06,27.48
2015-9-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.06,27.48
2015-9-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.06,27.48
2015-9-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.06,27.48
