时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
京金联
2015-3-26,4.0,400.0,14.43,217.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,89.32,40676.33
2015-3-27,5.0,600.0,14.4,204.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,182.33,40920.57
2015-3-28,2.0,200.0,11.8,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,88.9,41013.57
2015-3-29,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,214.1,40799.47
2015-3-30,4.0,900.0,13.43,157.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,689.47,41581.12
2015-3-31,5.0,700.0,15.3,264.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,586.39,42260.79
2015-4-1,5.0,1150.0,12.9,144.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1138.73,43490.49
2015-4-2,3.0,500.0,14.47,270.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,486.12,44029.9
2015-4-3,4.0,500.0,13.3,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,284.3,44358.6
2015-4-4,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,518.69,43839.91
2015-4-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,642.31,43197.6
2015-4-6,2.0,300.0,10.8,75.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,14.55,43190.58
2015-4-7,1.0,100.0,15.8,360.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,115.22,43091.17
2015-4-8,3.0,500.0,12.47,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,84.26,43194.12
2015-4-9,4.0,400.0,12.55,165.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,286.09,43506.6
2015-4-10,3.0,500.0,12.13,160.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,168.4,43711.01
2015-4-11,2.0,400.0,12.8,135.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,387.5,44118.21
2015-4-12,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1034.44,43083.77
2015-4-13,3.0,500.0,12.47,170.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,392.6,43515.5
2015-4-14,2.0,300.0,12.8,210.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,115.33,43433.41
2015-4-15,4.0,600.0,12.3,195.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,75.11,43543.05
2015-4-16,1.0,200.0,11.8,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,14.01,43534.94
2015-4-17,5.0,700.0,12.4,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,482.28,44069.26
2015-4-18,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,160.32,43908.94
