时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
人人贷
2015-3-26,183.0,1082.99,11.81,780.5,183,5.918,no_data_yet,no_data_yet,437.22,531755.53
2015-3-27,139.0,812.32,11.56,750.9,139,5.844,no_data_yet,no_data_yet,279.39,532155.42
2015-3-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,708.16,531447.26
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,559.78,530887.48
2015-3-30,63.0,298.56,11.26,569.5,63,4.739,no_data_yet,no_data_yet,521.73,530400.48
2015-3-31,861.0,5955.43,11.96,914.4,861,6.917,no_data_yet,no_data_yet,5302.07,536734.59
2015-4-1,481.0,3027.0,11.74,844.4,481,6.293,no_data_yet,no_data_yet,2252.53,539491.14
2015-4-2,349.0,2197.84,11.71,845.6,349,6.298,no_data_yet,no_data_yet,1453.29,541300.08
2015-4-3,426.0,2694.59,11.85,866.6,426,6.325,no_data_yet,no_data_yet,1858.08,543613.23
2015-4-4,67.0,506.93,12.06,953.7,67,7.566,no_data_yet,no_data_yet,575.85,543129.48
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,988.55,542140.93
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,807.81,541333.12
2015-4-7,470.0,3013.95,11.84,874.9,470,6.413,no_data_yet,no_data_yet,1977.64,543834.28
2015-4-8,566.0,3423.19,11.85,831.7,566,6.048,no_data_yet,no_data_yet,2573.49,546988.76
2015-4-9,568.0,3638.06,11.89,867.0,568,6.405,no_data_yet,no_data_yet,2556.77,550169.51
2015-4-10,484.0,2984.84,11.81,829.2,484,6.167,no_data_yet,no_data_yet,2035.02,552705.21
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1052.83,551652.39
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1135.36,550517.03
2015-4-13,518.0,3235.72,11.82,852.0,518,6.247,no_data_yet,no_data_yet,2212.75,553279.92
2015-4-14,402.0,2320.32,11.82,816.3,402,5.772,no_data_yet,no_data_yet,1306.63,554970.44
2015-4-15,484.0,2992.53,11.84,850.2,484,6.183,no_data_yet,no_data_yet,1836.96,557312.42
2015-4-16,336.0,1954.26,11.86,813.9,336,5.816,no_data_yet,no_data_yet,852.61,558493.33
2015-4-17,681.0,4409.39,11.9,879.4,681,6.475,no_data_yet,no_data_yet,3278.31,562538.34
2015-4-18,88.0,615.27,12.19,1035.0,88,6.992,no_data_yet,no_data_yet,451.9,562206.13
2015-4-19,161.0,966.71,11.5,769.2,161,6.004,no_data_yet,no_data_yet,98.56,562445.95
2015-4-20,357.0,2276.67,11.92,865.6,357,6.377,no_data_yet,no_data_yet,1400.1,564245.12
2015-4-21,546.0,3106.56,11.53,750.8,546,5.69,no_data_yet,no_data_yet,2222.16,566929.1
2015-4-22,368.0,2358.83,12.01,882.1,368,6.41,no_data_yet,no_data_yet,1151.16,568510.3
2015-4-23,471.0,2810.18,11.58,762.9,471,5.966,no_data_yet,no_data_yet,1818.77,570756.0
2015-4-24,556.0,3532.26,11.94,875.1,556,6.353,no_data_yet,no_data_yet,2738.31,574120.68
2015-4-25,139.0,885.87,11.57,806.8,139,6.373,no_data_yet,no_data_yet,197.9,574457.74
2015-4-26,150.0,963.99,11.7,862.8,150,6.427,no_data_yet,no_data_yet,401.97,575021.78
2015-4-27,250.0,1566.73,11.87,839.2,250,6.267,no_data_yet,no_data_yet,872.04,576163.15
2015-4-28,172.0,968.95,11.85,803.2,172,5.633,no_data_yet,no_data_yet,417.16,576742.68
2015-4-29,406.0,2434.98,11.73,808.7,406,5.997,no_data_yet,no_data_yet,1604.12,578751.57
2015-4-30,379.0,2181.14,11.7,786.0,379,5.755,no_data_yet,no_data_yet,1287.79,580386.69
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,895.6,579491.1
