时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
亿鑫贷
2015-4-16,1.0,20.0,18.0,30.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,1.0,30.0,17.0,60.0,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,1.0,43.0,20.0,60.0,1,43.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,1.0,18.0,20.0,30.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,2.0,69.0,21.5,30.0,2,34.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,2.0,68.0,20.5,30.0,2,34.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,2.0,78.0,20.75,30.0,2,39.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,1.0,55.0,21.0,60.0,1,55.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,2.0,81.0,20.75,45.0,2,40.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,2.0,71.0,21.25,30.0,2,35.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,1.0,43.0,21.5,60.0,1,43.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,1.0,39.0,21.0,30.0,1,39.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,2.0,78.0,21.75,30.0,2,39.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,1.0,41.0,21.5,30.0,1,41.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,2.0,84.0,22.5,30.0,2,42.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,1.0,35.0,22.0,30.0,1,35.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,2.0,82.0,22.25,30.0,2,41.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,1.0,43.0,21.5,30.0,1,43.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,2.0,85.0,22.25,30.0,2,42.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,1.0,47.0,22.0,30.0,1,47.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,1.0,46.0,22.5,30.0,1,46.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,3.0,122.0,22.5,30.0,3,40.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,1.0,24.0,22.0,30.0,1,24.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,2.0,68.0,22.75,30.0,2,34.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,1.0,43.0,22.0,30.0,1,43.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,3.0,111.0,22.17,30.0,3,37.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,1.0,42.0,21.5,30.0,1,42.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,1.0,23.0,22.0,30.0,1,23.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,1.0,39.0,22.0,30.0,1,39.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,2.0,71.0,22.75,30.0,2,35.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,1.0,56.0,22.0,30.0,1,56.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,2.0,88.0,22.5,30.0,2,44.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,1.0,42.0,22.0,30.0,1,42.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,2.0,61.0,22.75,30.0,2,30.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,1.0,33.0,22.0,30.0,1,33.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,2.0,84.0,22.5,30.0,2,42.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,1.0,41.0,22.0,30.0,1,41.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,2.0,80.0,22.5,30.0,2,40.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,1.0,46.0,21.0,30.0,1,46.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,2.0,75.0,22.25,30.0,2,37.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,1.0,48.0,22.0,30.0,1,48.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-31,1.0,38.0,22.5,30.0,1,38.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
