时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
众信金融
2015-3-26,1.0,1000.0,11.0,62.0,1,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,2.0,2000.0,11.5,89.5,1,2000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,2.0,2000.0,11.9,271.5,2,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,2.0,1500.0,11.65,136.0,2,750.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,1.0,500.0,11.8,180.0,1,500.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,1.0,1000.0,11.5,91.0,1,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,1.0,1000.0,11.8,183.0,1,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,1.0,1000.0,11.5,90.0,1,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,2.0,1000.0,12.0,363.5,1,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,1.0,500.0,12.0,368.0,1,500.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,2.0,1500.0,11.9,274.5,2,750.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,1.0,1000.0,11.5,91.0,1,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,1.0,1000.0,12.0,365.0,1,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,2.0,2000.0,11.8,181.5,2,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,1.0,1000.0,11.5,122.0,1,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,2.0,2000.0,11.9,273.5,1,2000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,3.0,1700.0,11.7,161.3,3,566.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,2.0,2000.0,11.8,183.5,2,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,2.0,2000.0,11.75,227.5,1,2000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,1.0,1000.0,12.0,366.0,1,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,2.0,1500.0,11.75,228.5,2,750.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,1.0,1000.0,12.0,365.0,1,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,1.0,500.0,11.5,91.0,1,500.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,3.0,2000.0,11.93,303.7,2,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,1.0,1000.0,12.0,365.0,1,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,1.0,1000.0,12.0,365.0,1,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,1.0,1000.0,11.8,183.0,1,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,1.0,1000.0,11.8,183.0,1,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,2.0,2000.0,11.9,273.5,1,2000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,2.0,2000.0,11.75,227.5,2,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,2.0,2000.0,11.9,274.5,2,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,1.0,550.0,11.8,182.0,1,550.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,1.0,1000.0,12.0,366.0,1,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,1.0,1000.0,11.5,91.0,1,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,11.0,2900.0,21.75,49.5,2,1450.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,1.0,100.0,24.0,30.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,2.0,2000.0,12.0,365.0,1,2000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,1.0,1000.0,11.8,185.0,1,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,1.0,500.0,12.0,367.0,1,500.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,2.0,2000.0,11.75,228.5,2,1000.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
