时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
你我贷
2015-3-26,313.0,2067.96,10.44,576.3,236,8.763,no_data_yet,no_data_yet,1767.5,184408.23
2015-3-27,327.0,1883.01,10.46,577.7,258,7.298,no_data_yet,no_data_yet,1430.14,186203.02
2015-3-28,193.0,817.88,9.41,392.6,114,7.174,no_data_yet,no_data_yet,396.24,186757.96
2015-3-29,151.0,70.71,7.43,41.5,59,1.198,no_data_yet,no_data_yet,193.28,186565.27
2015-3-30,296.0,1594.43,10.14,510.6,191,8.348,no_data_yet,no_data_yet,1256.21,188138.86
2015-3-31,284.0,1725.42,10.07,493.2,196,8.803,no_data_yet,no_data_yet,1286.47,189761.69
2015-4-1,203.0,580.67,8.86,292.4,128,4.537,no_data_yet,no_data_yet,301.9,190163.48
2015-4-2,235.0,1154.08,9.69,439.1,174,6.633,no_data_yet,no_data_yet,806.57,191185.13
2015-4-3,230.0,1238.06,10.39,556.9,186,6.656,no_data_yet,no_data_yet,926.33,192356.19
2015-4-4,112.0,66.18,7.43,52.6,60,1.103,no_data_yet,no_data_yet,258.15,192098.74
2015-4-5,137.0,58.55,7.7,57.9,56,1.046,no_data_yet,no_data_yet,239.1,191860.39
2015-4-6,154.0,85.31,7.71,60.2,69,1.236,no_data_yet,no_data_yet,293.66,191567.81
2015-4-7,273.0,1323.87,9.81,450.3,195,6.789,no_data_yet,no_data_yet,1042.2,192870.28
2015-4-8,226.0,569.9,8.9,289.6,134,4.253,no_data_yet,no_data_yet,262.82,193234.06
2015-4-9,293.0,1245.84,9.81,453.4,205,6.077,no_data_yet,no_data_yet,1098.97,194591.41
2015-4-10,242.0,1702.6,10.13,514.5,179,9.512,no_data_yet,no_data_yet,1269.41,196160.34
2015-4-11,112.0,108.98,7.72,97.9,64,1.703,no_data_yet,no_data_yet,436.93,195724.11
2015-4-12,132.0,66.34,7.65,58.5,56,1.185,no_data_yet,no_data_yet,252.12,195472.79
2015-4-13,276.0,1772.61,10.54,582.5,208,8.522,no_data_yet,no_data_yet,1544.9,197400.3
2015-4-14,242.0,1309.1,10.12,498.2,169,7.746,no_data_yet,no_data_yet,969.69,198599.76
2015-4-15,258.0,1406.77,10.16,488.8,177,7.948,no_data_yet,no_data_yet,1052.21,199917.83
2015-4-16,243.0,1399.5,9.92,446.9,160,8.747,no_data_yet,no_data_yet,982.13,201170.98
2015-4-17,67.0,558.05,9.97,487.2,60,9.301,no_data_yet,no_data_yet,290.32,201573.59
2015-4-18,78.0,37.27,7.5,50.8,42,0.887,no_data_yet,no_data_yet,277.29,201296.77
2015-4-19,138.0,104.72,7.5,62.9,58,1.806,no_data_yet,no_data_yet,332.59,200964.87
2015-4-20,267.0,1745.09,10.84,626.8,206,8.471,no_data_yet,no_data_yet,1378.97,202676.73
2015-4-21,311.0,2030.28,10.89,651.7,233,8.714,no_data_yet,no_data_yet,1755.43,204862.22
2015-4-22,164.0,1117.16,10.32,546.6,119,9.388,no_data_yet,no_data_yet,548.8,205620.12
2015-4-23,196.0,796.84,9.11,333.8,111,7.179,no_data_yet,no_data_yet,554.83,206322.37
2015-4-24,269.0,2109.14,10.9,655.9,208,10.14,no_data_yet,no_data_yet,1583.94,208318.71
2015-4-25,106.0,46.41,7.43,53.1,57,0.814,no_data_yet,no_data_yet,385.87,207933.52
2015-4-26,85.0,47.11,7.58,51.5,49,0.961,no_data_yet,no_data_yet,375.48,207558.37
2015-4-27,170.0,1303.65,11.17,690.5,140,9.312,no_data_yet,no_data_yet,965.34,208794.99
2015-4-28,198.0,1868.66,11.46,758.2,161,11.607,no_data_yet,no_data_yet,1576.44,210753.03
2015-4-29,321.0,2673.88,10.94,671.5,251,10.653,no_data_yet,no_data_yet,2371.49,213649.58
2015-4-30,308.0,3182.07,12.12,865.0,288,11.049,no_data_yet,no_data_yet,2672.22,216965.3
2015-5-1,42.0,20.63,7.11,61.4,30,0.688,no_data_yet,no_data_yet,227.13,216740.85
2015-5-2,30.0,12.1,7.04,52.5,24,0.504,no_data_yet,no_data_yet,357.93,216383.17
2015-5-3,28.0,71.93,7.33,62.1,21,3.425,no_data_yet,no_data_yet,537.43,215846.21
2015-5-4,191.0,1510.67,11.45,774.8,176,8.583,no_data_yet,no_data_yet,1298.8,217463.13
2015-5-5,210.0,1987.21,11.55,790.9,186,10.684,no_data_yet,no_data_yet,2225.05,220118.83
2015-5-6,193.0,1879.2,12.09,882.7,190,9.891,no_data_yet,no_data_yet,1241.99,221732.15
2015-5-7,230.0,2748.01,12.36,922.6,226,12.159,no_data_yet,no_data_yet,2354.4,224606.41
2015-5-8,174.0,1755.88,12.12,887.9,170,10.329,no_data_yet,no_data_yet,2322.95,227485.55
2015-5-9,130.0,1002.36,10.89,691.3,114,8.793,no_data_yet,no_data_yet,321.42,227164.48
2015-5-10,67.0,389.31,10.36,576.5,63,6.18,no_data_yet,no_data_yet,542.67,226622.17
2015-5-11,213.0,1929.0,11.88,855.1,199,9.693,no_data_yet,no_data_yet,1688.37,228729.57
2015-5-12,182.0,2073.62,11.87,834.9,173,11.986,no_data_yet,no_data_yet,2387.05,231579.18
2015-5-13,183.0,1786.2,12.77,987.8,181,9.869,no_data_yet,no_data_yet,2001.62,234076.09
2015-5-14,215.0,2368.53,12.01,863.2,201,11.784,no_data_yet,no_data_yet,2650.99,237332.01
2015-5-15,282.0,3095.5,12.31,912.8,272,11.381,no_data_yet,no_data_yet,1300.6,238972.91
2015-5-16,72.0,356.05,9.66,468.5,58,6.139,no_data_yet,no_data_yet,311.32,239393.27
2015-5-17,84.0,597.61,10.18,567.7,74,8.076,no_data_yet,no_data_yet,333.15,239060.37
2015-5-18,290.0,3047.6,12.05,873.1,279,10.923,no_data_yet,no_data_yet,2691.06,242353.46
2015-5-19,272.0,2405.78,11.61,786.3,248,9.701,no_data_yet,no_data_yet,1966.33,244802.22
2015-5-20,224.0,2243.92,11.52,770.3,199,11.276,no_data_yet,no_data_yet,1773.66,246982.84
2015-5-21,286.0,2795.76,11.67,801.9,264,10.59,no_data_yet,no_data_yet,4370.22,252266.88
2015-5-22,330.0,3338.87,12.04,849.1,303,11.019,no_data_yet,no_data_yet,1961.21,254710.53
2015-5-23,118.0,1007.56,10.32,554.7,94,10.719,no_data_yet,no_data_yet,339.16,254371.59
2015-5-24,95.0,39.5,7.09,42.0,53,0.745,no_data_yet,no_data_yet,635.02,253736.87
2015-5-25,325.0,2580.1,11.03,686.7,268,9.627,no_data_yet,no_data_yet,2687.26,256972.11
