时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
信和贷
2015-3-26,12.0,150.0,20.0,60.0,2,75.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,6.0,122.0,20.0,180.0,1,122.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,7.0,78.0,20.0,180.0,1,78.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,11.0,100.0,20.0,60.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,11.0,100.0,20.0,60.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,9.0,85.0,20.0,60.0,1,85.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,1.0,44.0,16.0,180.0,1,44.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,1.0,10.0,16.0,180.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,2.0,42.0,18.0,120.0,2,21.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,2.0,33.5,17.5,75.0,2,16.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,1.0,10.0,15.0,90.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,1.0,5.52,15.0,90.0,1,5.523,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,12.0,130.0,20.0,30.0,1,130.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,10.0,82.0,19.5,42.0,6,13.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,10.0,173.79,19.0,42.0,5,34.759,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,10.0,119.0,20.0,36.0,4,29.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,8.0,96.0,20.0,45.0,4,24.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,5.0,50.0,20.0,42.0,2,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,5.0,50.0,20.0,30.0,2,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,6.0,57.0,20.0,40.0,4,14.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,17.0,210.0,19.71,37.1,4,52.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,4.0,170.0,20.0,45.0,4,42.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,4.0,136.0,19.5,60.0,2,68.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,5.0,143.48,19.2,66.0,3,47.827,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,6.0,56.5,19.33,70.0,4,14.125,no_data_yet,no_data_yet,no_data_yet,no_data_yet
