时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
全诚在线
2015-3-26,3.0,42.0,18.0,60.0,3,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,3.0,45.0,18.0,60.0,3,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,4.0,41.0,18.0,67.5,4,10.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,4.0,35.0,18.0,67.5,4,8.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,3.0,41.0,18.0,60.0,3,13.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,3.0,40.0,18.0,70.0,3,13.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,3.0,35.0,18.0,60.0,3,11.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,3.0,35.0,18.0,60.0,3,11.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,3.0,35.0,18.0,60.0,3,11.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,2.0,32.0,18.0,60.0,2,16.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,3.0,50.0,18.0,60.0,3,16.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,3.0,50.0,18.0,60.0,3,16.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,2.0,35.0,18.0,45.0,2,17.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,3.0,50.0,18.0,60.0,3,16.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,3.0,40.0,18.0,60.0,3,13.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,3.0,40.0,18.0,60.0,3,13.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,3.0,43.0,18.0,60.0,3,14.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,2.0,32.0,18.0,75.0,2,16.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,3.0,40.0,18.0,60.0,3,13.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,3.0,35.0,18.0,60.0,3,11.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
