时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
公务贷
2015-3-26,1.0,1.3,12.0,360.0,1,1.3,no_data_yet,no_data_yet,1.3,73.26
2015-3-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,6.1,67.16
2015-3-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,6.1,67.16
2015-3-29,1.0,1.14,12.0,360.0,1,1.139,no_data_yet,no_data_yet,1.14,68.37
2015-3-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.03,68.34
2015-3-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.03,68.34
2015-4-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.05,68.28
2015-4-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.05,68.28
2015-4-3,1.0,1.16,12.0,360.0,1,1.16,no_data_yet,no_data_yet,1.16,69.52
2015-4-4,1.0,0.31,12.0,360.0,1,0.31,no_data_yet,no_data_yet,0.31,69.87
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.31,69.87
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.31,69.87
2015-4-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.31,69.87
2015-4-8,1.0,0.8,12.0,360.0,1,0.8,no_data_yet,no_data_yet,0.8,70.76
2015-4-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.8,70.76
2015-4-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.03,70.73
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.98,65.75
2015-4-12,1.0,1.89,12.0,360.0,1,1.893,no_data_yet,no_data_yet,1.77,67.75
2015-4-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.77,67.75
2015-4-14,3.0,9.0,12.0,360.0,1,9.0,no_data_yet,no_data_yet,9.0,77.83
