时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
冠e通
2015-9-16,9.0,672.0,10.15,273.3,9,74.667,no_data_yet,no_data_yet,672.0,703.2
2015-9-17,18.0,965.0,9.61,240.0,18,53.611,no_data_yet,no_data_yet,965.0,1707.16
2015-9-18,15.0,810.0,10.8,308.0,15,54.0,no_data_yet,no_data_yet,810.0,2561.38
2015-9-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,810.0,2561.38
2015-9-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,810.0,2561.38
2015-9-21,11.0,630.0,10.3,289.1,11,57.273,no_data_yet,no_data_yet,630.0,3219.58
2015-9-22,7.0,426.0,10.47,291.4,7,60.857,no_data_yet,no_data_yet,426.0,3681.77
2015-9-23,14.0,945.0,10.1,274.3,14,67.5,no_data_yet,no_data_yet,945.0,4674.13
2015-9-24,15.0,1373.0,9.48,218.0,15,91.533,no_data_yet,no_data_yet,1373.0,6092.42
2015-9-25,22.0,1271.0,10.17,264.5,22,57.773,no_data_yet,no_data_yet,1271.0,7419.78
2015-9-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1271.0,7419.78
2015-9-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1271.0,7419.78
2015-9-28,17.0,2255.0,10.38,270.0,17,132.647,no_data_yet,no_data_yet,2255.0,9744.31
2015-9-29,19.0,927.0,10.04,265.3,18,51.5,no_data_yet,no_data_yet,927.0,10717.91
2015-9-30,18.0,1095.0,9.97,258.3,18,60.833,no_data_yet,no_data_yet,1095.0,11858.47
2015-10-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1095.0,11858.47
2015-10-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1095.0,11858.47
2015-10-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1095.0,11858.47
