时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
前海理想金融
2015-3-26,6.0,825.0,13.6,85.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,689.4,36347.35
2015-3-27,2.0,410.0,11.36,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,48.73,36305.6
2015-3-28,4.0,685.0,13.54,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,237.03,36601.07
2015-3-29,3.0,460.0,14.27,140.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,160.47,36481.92
2015-3-30,3.0,430.0,13.67,250.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,143.76,36372.38
2015-3-31,3.0,200.0,14.26,160.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,414.25,35962.46
2015-4-1,3.0,460.0,13.6,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,27.72,35947.81
2015-4-2,3.0,610.0,14.27,140.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,242.15,35761.03
2015-4-3,3.0,890.0,11.36,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,369.25,36153.99
2015-4-4,4.0,650.0,13.44,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,285.65,36461.34
2015-4-5,2.0,300.0,13.9,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,235.03,36229.54
2015-4-6,2.0,310.0,13.9,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,183.25,36049.62
2015-4-7,4.0,725.0,13.53,112.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,26.32,36046.91
2015-4-8,4.0,795.0,13.72,52.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,12.73,36048.09
2015-4-9,4.0,660.0,14.45,67.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,188.2,35876.92
2015-4-10,5.0,725.0,13.98,48.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,214.38,36105.46
2015-4-11,3.0,830.0,13.67,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,36.13,36182.67
2015-4-12,4.0,620.0,14.04,37.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,144.84,36046.24
