时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
医界贷
2015-3-26,6.0,580.0,9.17,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,467.0,53474.79
2015-3-27,5.0,490.0,9.4,126.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,377.83,53868.88
2015-3-28,4.0,390.0,9.5,135.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,277.08,54159.96
2015-3-29,2.0,180.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,165.33,54334.29
2015-3-30,7.0,695.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,677.25,55046.29
2015-3-31,15.0,1360.0,10.07,192.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1348.71,56469.0
2015-4-1,3.0,280.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,267.0,56750.0
2015-4-2,1.0,100.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,113.63,56641.38
2015-4-3,4.0,390.0,10.25,225.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,174.75,56841.63
2015-4-4,1.0,120.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5.5,56853.13
2015-4-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,256.04,56597.08
2015-4-6,5.0,385.0,10.2,216.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,371.54,56993.88
2015-4-7,4.0,355.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,202.46,57214.08
2015-4-8,3.0,270.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,25.55,57253.13
2015-4-9,4.0,340.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,152.58,57422.72
2015-4-10,4.0,320.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,182.54,57621.26
2015-4-11,2.0,160.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,48.54,57677.8
2015-4-12,1.0,100.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,15.33,57698.13
2015-4-13,4.0,380.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,26.54,57743.67
2015-4-14,3.0,240.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,17.67,57773.34
2015-4-15,6.0,505.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,325.58,58124.17
2015-4-16,3.0,260.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,166.3,58303.47
2015-4-17,3.0,250.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,32.08,58348.05
2015-4-18,2.0,200.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,126.92,58484.97
2015-4-19,1.0,80.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,73.0,58415.97
2015-4-20,3.0,300.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,142.21,58288.76
2015-4-21,1.0,80.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,212.71,58080.05
2015-4-22,6.0,545.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,251.67,58358.97
2015-4-23,4.0,340.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,75.17,58451.13
2015-4-24,3.0,265.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,149.24,58613.63
2015-4-25,1.0,100.0,11.0,360.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,141.58,58483.04
2015-4-26,1.0,110.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,15.17,58473.38
2015-4-27,4.0,370.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,74.83,58566.71
2015-4-28,5.0,450.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,163.83,58753.04
2015-4-29,4.0,330.0,10.25,225.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,88.54,58687.0
2015-4-30,7.0,615.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,442.29,59160.04
2015-5-1,2.0,200.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,105.33,59064.71
2015-5-2,1.0,110.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,382.79,58687.42
2015-5-3,3.0,230.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,26.92,58672.0
2015-5-4,5.0,400.0,10.2,216.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,45.33,58743.33
2015-5-5,6.0,520.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,195.96,58965.29
2015-5-6,5.0,460.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,213.25,59201.54
2015-5-7,4.0,390.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,190.67,59411.71
2015-5-8,7.0,575.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,310.22,59750.68
2015-5-9,3.0,280.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,133.83,59630.84
2015-5-10,1.0,115.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,409.13,59227.47
2015-5-11,5.0,515.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,223.04,59476.26
2015-5-12,3.0,275.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,309.92,59180.09
2015-5-13,4.0,380.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,189.3,59009.8
2015-5-14,5.0,390.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,47.42,59076.71
2015-5-15,3.0,260.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,72.29,59017.42
2015-5-16,2.0,220.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,389.7,58638.72
2015-5-17,1.0,70.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,458.33,58183.88
2015-5-18,5.0,430.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,85.75,58291.13
2015-5-19,4.0,360.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,337.5,57971.63
2015-5-20,7.0,660.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,138.88,58143.51
