时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
友友贷
2015-5-5,2.0,9.69,11.44,30.0,2,4.844,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,1.0,5.09,17.0,30.0,1,5.088,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,5.0,51.64,19.46,36.0,4,12.911,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,8.0,38.79,16.78,30.0,7,5.541,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,2.0,4.47,18.3,30.0,2,2.234,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,2.0,2.8,15.5,30.0,2,1.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,6.0,107.33,15.81,30.0,5,21.466,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,2.0,4.4,17.5,30.0,2,2.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,6.0,156.08,16.02,30.0,5,31.216,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,2.0,5.8,17.5,30.0,2,2.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,1.0,118.0,3.88,30.0,1,118.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,5.0,25.4,9.2,30.0,5,5.08,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,2.0,1.88,17.0,30.0,2,0.94,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,4.0,239.8,14.47,30.0,4,59.95,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,7.0,7.19,18.26,62.3,3,2.397,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,5.0,28.0,17.8,36.0,5,5.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,3.0,66.4,18.0,30.0,3,22.133,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,4.0,6.8,17.25,30.0,3,2.267,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,4.0,359.33,18.25,42.3,4,89.832,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,3.0,11.4,17.0,30.0,3,3.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,3.0,11.48,17.33,25.3,3,3.827,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,16.0,330.42,18.49,69.4,7,47.203,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,5.0,39.33,18.34,36.0,5,7.866,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,3.0,5.41,17.57,40.0,3,1.803,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,1.0,4.0,18.0,30.0,1,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-31,3.0,23.52,17.0,30.0,3,7.84,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-1,1.0,1.2,17.0,30.0,1,1.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-2,1.0,60.0,20.0,30.0,1,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-3,2.0,10.6,17.0,30.0,2,5.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-4,2.0,61.0,20.0,30.0,2,30.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-5,2.0,3.8,18.5,30.0,2,1.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-6,2.0,9.2,17.0,30.0,2,4.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-7,2.0,2.4,20.02,30.0,1,2.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-8,3.0,10.0,19.33,30.0,3,3.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-9,4.0,10.8,20.17,37.5,4,2.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-10,5.0,16.8,19.83,45.2,4,4.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-11,8.0,387.56,21.19,56.3,5,77.512,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-12,4.0,110.2,20.75,30.0,3,36.733,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-13,1.0,6.0,20.5,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-14,4.0,21.2,20.2,30.0,4,5.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-15,5.0,19.4,21.2,66.0,4,4.85,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-16,7.0,27.6,19.43,40.7,6,4.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-17,7.0,57.24,19.29,30.0,5,11.448,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-18,9.0,23.5,21.19,50.0,6,3.916,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-19,8.0,22.38,20.78,45.0,5,4.476,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-20,3.0,7.45,20.59,30.0,2,3.726,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-21,2.0,9.0,20.05,30.0,2,4.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-22,8.0,21.04,20.38,30.0,8,2.63,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-23,6.0,21.6,20.16,30.0,5,4.32,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-24,7.0,17.64,21.16,38.6,6,2.94,no_data_yet,no_data_yet,no_data_yet,no_data_yet
