时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
友融金融
2015-3-26,4.0,26.0,20.5,195.0,4,6.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,4.0,23.0,21.25,187.5,3,7.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,4.0,31.5,21.25,187.5,4,7.875,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,2.0,16.0,20.5,195.0,1,16.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,2.0,17.0,18.5,60.0,2,8.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,3.0,18.0,21.67,220.0,3,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,3.0,21.0,21.67,250.0,2,10.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,3.0,22.0,20.33,160.0,3,7.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,4.0,22.0,20.5,150.0,4,5.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,4.0,37.0,22.25,255.0,3,12.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,1.0,10.0,17.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,1.0,12.0,17.0,30.0,1,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,2.0,15.0,20.5,195.0,2,7.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,4.0,34.0,20.25,142.5,4,8.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,2.0,16.0,20.5,195.0,2,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,5.0,30.0,21.8,204.0,5,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,3.0,22.0,21.67,220.0,2,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,2.0,14.0,20.5,195.0,2,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,2.0,14.0,20.5,195.0,2,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,5.0,29.5,21.0,186.0,4,7.375,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,2.0,18.0,20.5,195.0,2,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,4.0,32.0,21.25,187.5,3,10.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,3.0,22.0,21.67,220.0,3,7.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,3.0,36.0,20.33,160.0,3,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,3.0,28.0,19.53,100.0,3,9.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,3.0,23.0,20.33,160.0,3,7.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,4.0,27.0,21.25,210.0,4,6.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,4.0,38.5,21.25,187.5,4,9.625,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,4.0,39.0,21.65,210.0,4,9.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,3.0,41.0,21.67,220.0,3,13.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,3.0,16.0,22.67,270.0,3,5.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,4.0,52.0,19.5,127.5,4,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,3.0,31.0,19.33,110.0,3,10.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,5.0,41.0,20.72,174.0,3,13.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,4.0,33.0,18.5,60.0,4,8.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,8.0,75.0,21.75,221.3,5,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,4.0,30.5,19.5,105.0,4,7.625,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,2.0,18.0,20.5,195.0,2,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,3.0,29.0,20.87,190.0,2,14.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,5.0,43.0,20.4,156.0,5,8.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,6.0,45.5,19.67,100.0,6,7.583,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,5.0,33.0,19.6,102.0,5,6.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,6.0,58.0,22.17,230.0,5,11.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,3.0,21.5,17.33,110.0,3,7.167,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,3.0,29.0,18.33,160.0,3,9.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,4.0,34.0,17.5,105.0,3,11.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,4.0,30.2,18.5,165.0,4,7.55,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,3.0,26.0,17.33,110.0,3,8.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,5.0,44.0,18.8,186.0,5,8.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,6.0,40.0,18.33,160.0,5,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,4.0,31.0,19.0,210.0,3,10.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,3.0,9.0,18.33,160.0,3,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,5.0,41.0,17.4,108.0,5,8.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,3.0,27.0,16.67,50.0,3,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,5.0,42.0,18.4,174.0,3,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,2.0,11.0,18.5,195.0,2,5.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,4.0,34.0,16.75,67.5,3,11.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,2.0,14.0,18.5,195.0,2,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,4.0,22.5,19.0,210.0,4,5.625,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,3.0,21.0,17.67,140.0,3,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,5.0,53.0,18.8,186.0,5,10.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,4.0,28.0,17.25,82.5,4,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,5.0,57.0,18.4,174.0,3,19.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,5.0,45.0,19.2,222.0,4,11.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,3.0,13.5,18.33,160.0,3,4.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-31,1.0,15.0,16.0,30.0,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-1,5.0,27.0,17.4,108.0,5,5.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-2,4.0,39.0,18.75,187.5,4,9.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-3,2.0,15.0,18.5,195.0,2,7.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-4,4.0,25.0,17.0,60.0,4,6.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-5,1.0,8.0,21.0,360.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-6,3.0,33.0,18.33,160.0,3,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-7,4.0,28.0,17.0,60.0,3,9.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-8,5.0,34.0,18.4,174.0,4,8.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-9,3.0,22.0,16.67,50.0,3,7.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-10,2.0,18.0,18.0,150.0,2,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-11,3.0,25.0,18.33,160.0,3,8.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-12,6.0,38.0,18.33,160.0,3,12.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-13,2.0,17.0,17.0,60.0,2,8.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-14,2.0,12.0,18.5,195.0,2,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-15,2.0,10.0,18.0,90.0,2,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-16,3.0,34.0,17.67,140.0,3,11.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-17,7.0,43.5,17.57,102.9,6,7.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-18,5.0,38.0,18.0,138.0,5,7.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-19,2.0,19.0,16.0,30.0,2,9.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-20,4.0,51.0,18.75,187.5,4,12.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-21,2.0,24.0,19.5,225.0,2,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-22,3.0,19.0,18.33,160.0,3,6.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-23,2.0,13.0,17.5,105.0,2,6.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-24,4.0,35.0,17.5,105.0,2,17.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-25,3.0,15.5,19.0,180.0,2,7.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-26,3.0,40.0,17.33,110.0,2,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-27,1.0,4.0,18.0,90.0,1,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-28,3.0,26.0,18.33,160.0,2,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-29,4.0,32.0,17.5,105.0,4,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-30,3.0,29.0,16.67,50.0,3,9.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-1,5.0,40.0,18.4,174.0,5,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-2,4.0,32.0,17.75,127.5,4,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-3,3.0,26.0,16.67,50.0,3,8.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-4,2.0,25.0,18.0,150.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-5,1.0,10.0,16.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-6,3.0,30.0,18.33,160.0,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-7,1.0,10.0,16.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-8,1.0,6.0,21.0,360.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
