时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
合拍在线
2015-3-26,10.0,568.0,14.95,75.7,8,71.0,no_data_yet,no_data_yet,554.52,65181.73
2015-3-27,16.0,940.0,14.97,72.4,11,85.455,no_data_yet,no_data_yet,623.55,65825.35
2015-3-28,3.0,115.0,15.25,52.3,3,38.333,no_data_yet,no_data_yet,1036.6,64791.96
2015-3-29,5.0,237.0,15.07,67.4,5,47.4,no_data_yet,no_data_yet,161.19,64638.33
2015-3-30,12.0,760.8,15.07,59.1,11,69.164,no_data_yet,no_data_yet,45.27,64612.92
2015-3-31,14.0,1237.0,15.02,69.6,14,88.357,no_data_yet,no_data_yet,44.66,64599.45
2015-4-1,7.0,651.5,15.0,56.7,7,93.071,no_data_yet,no_data_yet,457.88,65068.23
2015-4-2,9.0,676.0,15.02,60.8,9,75.111,no_data_yet,no_data_yet,500.44,65588.48
2015-4-3,12.0,730.6,15.15,113.7,10,73.06,no_data_yet,no_data_yet,502.6,66113.61
2015-4-4,4.0,155.0,15.07,46.8,4,38.75,no_data_yet,no_data_yet,911.17,65205.99
2015-4-5,5.0,919.0,14.98,60.0,5,183.8,no_data_yet,no_data_yet,825.95,66048.29
2015-4-6,3.0,108.0,15.13,52.3,3,36.0,no_data_yet,no_data_yet,620.4,65430.69
2015-4-7,8.0,1080.0,15.1,43.0,6,180.0,no_data_yet,no_data_yet,615.52,66064.12
2015-4-8,9.0,915.0,15.18,78.2,8,114.375,no_data_yet,no_data_yet,899.13,66984.37
2015-4-9,13.0,1104.0,15.07,79.1,13,84.923,no_data_yet,no_data_yet,307.44,67318.04
2015-4-10,7.0,555.0,14.94,55.3,6,92.5,no_data_yet,no_data_yet,557.96,66773.28
2015-4-11,6.0,641.0,15.0,52.3,5,128.2,no_data_yet,no_data_yet,200.15,66595.22
2015-4-12,3.0,120.0,15.0,34.7,2,60.0,no_data_yet,no_data_yet,1716.79,64882.24
2015-4-13,13.0,468.0,14.93,76.7,9,52.0,no_data_yet,no_data_yet,1572.94,63325.09
2015-4-14,9.0,670.0,15.0,61.6,8,83.75,no_data_yet,no_data_yet,81.53,63262.84
2015-4-15,8.0,672.0,15.01,51.4,6,112.0,no_data_yet,no_data_yet,529.44,62751.89
2015-4-16,12.0,1164.0,15.14,31.1,10,116.4,no_data_yet,no_data_yet,445.68,63211.52
2015-4-17,13.0,927.8,15.16,50.6,8,115.975,no_data_yet,no_data_yet,259.35,62970.12
2015-4-18,9.0,310.5,15.17,43.1,6,51.75,no_data_yet,no_data_yet,335.82,62639.89
2015-4-19,4.0,559.0,15.5,41.0,3,186.333,no_data_yet,no_data_yet,605.56,62054.3
2015-4-20,15.0,1132.5,15.28,38.8,9,125.833,no_data_yet,no_data_yet,436.3,62507.26
2015-4-21,18.0,1828.0,15.23,44.0,14,130.571,no_data_yet,no_data_yet,69.02,62615.71
2015-4-22,19.0,1083.0,15.2,44.0,12,90.25,no_data_yet,no_data_yet,463.01,63101.86
2015-4-23,27.0,1340.6,15.05,53.4,18,74.478,no_data_yet,no_data_yet,609.45,63747.67
2015-4-24,24.0,1719.0,15.08,73.6,15,114.6,no_data_yet,no_data_yet,987.96,64777.96
2015-4-25,9.0,481.0,15.02,49.8,6,80.167,no_data_yet,no_data_yet,574.99,64217.21
2015-4-26,6.0,315.0,15.07,43.5,5,63.0,no_data_yet,no_data_yet,1563.3,62662.15
2015-4-27,12.0,827.0,15.08,50.4,9,91.889,no_data_yet,no_data_yet,112.97,62799.21
2015-4-28,14.0,1722.0,15.11,36.8,11,156.545,no_data_yet,no_data_yet,29.6,62855.96
2015-4-29,28.0,1569.8,15.18,68.8,16,98.113,no_data_yet,no_data_yet,624.16,63524.27
2015-4-30,23.0,959.0,15.18,63.3,18,53.278,no_data_yet,no_data_yet,757.52,62791.96
2015-5-1,10.0,555.0,14.99,56.8,7,79.286,no_data_yet,no_data_yet,326.26,62482.24
2015-5-2,8.0,488.0,15.17,47.6,6,81.333,no_data_yet,no_data_yet,409.73,62085.32
2015-5-3,9.0,382.0,15.16,62.3,7,54.571,no_data_yet,no_data_yet,1179.5,60917.0
2015-5-4,20.0,1361.6,15.0,69.6,11,123.782,no_data_yet,no_data_yet,339.75,60619.28
2015-5-5,13.0,1287.9,14.96,37.8,8,160.988,no_data_yet,no_data_yet,765.16,59878.13
2015-5-6,16.0,1311.5,14.94,47.6,10,131.15,no_data_yet,no_data_yet,145.97,59762.54
2015-5-7,31.0,1979.4,14.89,58.9,20,98.97,no_data_yet,no_data_yet,418.8,60237.66
2015-5-8,20.0,1331.8,15.0,77.5,11,121.073,no_data_yet,no_data_yet,754.78,61023.12
2015-5-9,6.0,338.0,15.02,20.8,3,112.667,no_data_yet,no_data_yet,674.16,60356.73
2015-5-10,7.0,1129.0,15.01,38.3,3,376.333,no_data_yet,no_data_yet,502.08,59887.52
2015-5-11,24.0,1086.6,14.89,51.7,15,72.44,no_data_yet,no_data_yet,159.2,60075.71
2015-5-12,20.0,1253.0,14.87,57.6,16,78.313,no_data_yet,no_data_yet,97.79,60206.3
2015-5-13,23.0,992.4,14.79,73.0,14,70.886,no_data_yet,no_data_yet,801.97,59435.22
2015-5-14,13.0,1155.0,14.83,58.8,11,105.0,no_data_yet,no_data_yet,269.21,59191.88
2015-5-15,18.0,1515.2,14.81,72.1,17,89.129,no_data_yet,no_data_yet,753.91,59980.1
2015-5-16,7.0,880.0,14.74,44.6,5,176.0,no_data_yet,no_data_yet,251.92,59741.41
2015-5-17,1.0,27.0,15.0,5.0,1,27.0,no_data_yet,no_data_yet,1700.84,58040.63
2015-5-18,14.0,1633.8,14.84,56.4,11,148.527,no_data_yet,no_data_yet,222.77,58303.37
2015-5-19,17.0,1618.2,14.76,85.0,15,107.88,no_data_yet,no_data_yet,1187.93,59514.15
2015-5-20,14.0,1886.6,14.71,59.9,13,145.123,no_data_yet,no_data_yet,394.96,59943.51
2015-5-21,10.0,576.21,14.92,60.5,9,64.024,no_data_yet,no_data_yet,617.77,59341.57
2015-5-22,15.0,1250.0,14.91,50.7,14,89.286,no_data_yet,no_data_yet,605.61,59972.33
2015-5-23,4.0,408.0,14.9,67.5,4,102.0,no_data_yet,no_data_yet,117.83,59865.65
2015-5-24,2.0,43.0,14.1,47.5,2,21.5,no_data_yet,no_data_yet,928.58,58937.5
2015-5-25,15.0,1382.0,14.91,54.3,13,106.308,no_data_yet,no_data_yet,1077.82,60054.14
2015-5-26,10.0,1126.5,14.76,60.5,10,112.65,no_data_yet,no_data_yet,346.8,60423.82
2015-5-27,9.0,813.5,14.92,42.2,8,101.688,no_data_yet,no_data_yet,179.19,60621.68
2015-5-28,9.0,909.0,14.75,32.8,7,129.857,no_data_yet,no_data_yet,134.29,60768.04
2015-5-29,10.0,1284.2,14.83,57.5,9,142.689,no_data_yet,no_data_yet,69.26,60873.62
2015-5-30,3.0,575.0,15.13,41.7,3,191.667,no_data_yet,no_data_yet,442.66,60445.06
