时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
和信贷
2015-3-26,15.0,691.93,15.53,370.0,13,53.225,no_data_yet,no_data_yet,338.24,54985.56
2015-3-27,16.0,749.58,15.5,337.5,12,62.465,no_data_yet,no_data_yet,222.64,55233.51
2015-3-28,11.0,766.35,15.27,283.6,9,85.15,no_data_yet,no_data_yet,23.38,55230.64
2015-3-29,11.0,610.51,15.27,330.0,9,67.834,no_data_yet,no_data_yet,539.86,54707.8
2015-3-30,18.0,910.24,15.39,311.7,15,60.683,no_data_yet,no_data_yet,24.72,54761.91
2015-3-31,12.0,553.47,15.5,337.5,11,50.315,no_data_yet,no_data_yet,283.85,54496.47
2015-4-1,14.0,696.66,15.71,353.6,12,58.055,no_data_yet,no_data_yet,197.25,54721.26
2015-4-2,13.0,650.92,16.0,288.5,10,65.092,no_data_yet,no_data_yet,196.29,54950.69
2015-4-3,12.0,721.76,15.67,320.0,9,80.196,no_data_yet,no_data_yet,27.69,55005.0
2015-4-4,14.0,755.96,15.29,319.3,12,62.997,no_data_yet,no_data_yet,159.71,54866.66
2015-4-5,13.0,666.21,15.46,343.8,11,60.565,no_data_yet,no_data_yet,100.6,54988.73
2015-4-6,12.0,446.93,15.83,295.0,11,40.63,no_data_yet,no_data_yet,277.88,54729.21
2015-4-7,15.0,695.1,15.6,402.0,15,46.34,no_data_yet,no_data_yet,15.69,54737.46
2015-4-8,13.0,765.27,15.69,276.9,10,76.527,no_data_yet,no_data_yet,183.3,54950.98
2015-4-9,16.0,642.41,15.63,298.1,15,42.827,no_data_yet,no_data_yet,13.35,54961.62
2015-4-10,14.0,618.65,15.86,310.7,13,47.588,no_data_yet,no_data_yet,214.63,55201.53
2015-4-11,8.0,332.01,15.63,315.0,8,41.501,no_data_yet,no_data_yet,337.66,54875.22
2015-4-12,10.0,378.71,15.8,543.0,10,37.871,no_data_yet,no_data_yet,250.64,54641.07
2015-4-13,12.0,460.44,15.5,315.0,11,41.858,no_data_yet,no_data_yet,117.14,54539.56
2015-4-14,11.0,425.5,15.36,357.3,11,38.682,no_data_yet,no_data_yet,127.8,54422.88
2015-4-15,10.0,492.18,15.7,408.0,10,49.218,no_data_yet,no_data_yet,49.03,54490.7
2015-4-16,12.0,626.08,15.42,282.5,9,69.564,no_data_yet,no_data_yet,266.29,54777.44
2015-4-17,12.0,441.77,15.75,347.5,12,36.814,no_data_yet,no_data_yet,247.84,54547.61
2015-4-18,8.0,368.6,15.38,307.5,8,46.075,no_data_yet,no_data_yet,239.73,54318.77
2015-4-19,8.0,363.36,15.75,277.5,7,51.909,no_data_yet,no_data_yet,124.84,54205.73
2015-4-20,14.0,374.12,15.79,398.6,13,28.778,no_data_yet,no_data_yet,39.24,54261.02
2015-4-21,15.0,621.76,15.53,394.0,13,47.828,no_data_yet,no_data_yet,293.49,54576.85
2015-4-22,13.0,537.81,15.85,302.3,13,41.37,no_data_yet,no_data_yet,94.21,54693.77
2015-4-23,13.0,500.48,15.62,320.8,11,45.498,no_data_yet,no_data_yet,51.94,54764.95
2015-4-24,11.0,500.92,16.09,289.1,10,50.092,no_data_yet,no_data_yet,37.05,54825.56
2015-4-25,9.0,376.17,15.89,300.0,9,41.797,no_data_yet,no_data_yet,157.78,54686.81
2015-4-26,12.0,531.47,16.0,302.5,12,44.289,no_data_yet,no_data_yet,220.89,54490.31
2015-4-27,14.0,503.25,15.57,257.1,11,45.75,no_data_yet,no_data_yet,143.09,54363.12
2015-4-28,13.0,631.42,15.85,230.8,13,48.571,no_data_yet,no_data_yet,182.51,54572.11
2015-4-29,13.0,638.46,15.85,281.5,12,53.205,no_data_yet,no_data_yet,110.55,54486.25
2015-4-30,11.0,669.23,15.36,242.7,10,66.923,no_data_yet,no_data_yet,200.32,54706.86
2015-5-1,10.0,528.93,15.5,264.0,10,52.893,no_data_yet,no_data_yet,189.7,54535.33
2015-5-2,10.0,646.66,15.7,342.0,9,71.851,no_data_yet,no_data_yet,291.46,54850.93
