时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
团贷网
2015-3-26,164.0,1585.74,12.05,98.7,75,21.143,no_data_yet,no_data_yet,1077.2,164421.41
2015-3-27,161.0,784.73,12.47,72.7,76,10.325,no_data_yet,no_data_yet,113.13,164401.04
2015-3-28,138.0,996.84,12.51,56.8,54,18.46,no_data_yet,no_data_yet,202.57,164658.89
2015-3-29,140.0,640.24,11.22,67.7,66,9.701,no_data_yet,no_data_yet,285.48,164384.74
2015-3-30,77.0,337.93,11.28,84.5,44,7.68,no_data_yet,no_data_yet,1015.82,163406.18
2015-3-31,84.0,1442.98,12.32,92.9,52,27.75,no_data_yet,no_data_yet,1068.12,164652.35
2015-4-1,115.0,314.17,11.85,72.0,46,6.83,no_data_yet,no_data_yet,73.01,164584.88
2015-4-2,190.0,2048.31,11.9,72.2,77,26.601,no_data_yet,no_data_yet,1548.88,166372.24
2015-4-3,147.0,727.93,11.94,68.4,70,10.399,no_data_yet,no_data_yet,659.63,165808.09
2015-4-4,135.0,255.5,11.87,51.3,46,5.554,no_data_yet,no_data_yet,54.22,165757.44
2015-4-5,171.0,242.08,11.94,50.4,49,4.94,no_data_yet,no_data_yet,587.98,165176.32
2015-4-6,181.0,332.65,11.98,40.4,53,6.276,no_data_yet,no_data_yet,669.12,164510.11
2015-4-7,188.0,1628.91,11.5,62.9,74,22.012,no_data_yet,no_data_yet,689.23,165398.01
2015-4-8,147.0,712.09,11.96,70.3,77,9.248,no_data_yet,no_data_yet,8.68,165398.06
2015-4-9,186.0,1889.68,12.06,88.4,87,21.72,no_data_yet,no_data_yet,692.53,166303.83
2015-4-10,203.0,1050.71,12.02,153.3,101,10.403,no_data_yet,no_data_yet,113.62,166535.21
2015-4-11,162.0,1044.71,12.08,68.1,80,13.059,no_data_yet,no_data_yet,363.88,166945.75
2015-4-12,134.0,473.07,12.89,59.6,72,6.57,no_data_yet,no_data_yet,560.17,166390.39
2015-4-13,221.0,823.79,12.54,52.0,85,9.692,no_data_yet,no_data_yet,54.51,166346.69
