时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
国湘资本
2015-3-26,16.0,347.02,23.0,176.3,5,69.404,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,10.0,187.76,23.19,231.0,5,37.552,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,7.0,187.45,21.71,162.9,5,37.49,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,11.0,235.17,23.26,180.0,6,39.195,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,12.0,290.0,22.99,172.5,5,58.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,10.0,200.0,23.59,174.0,5,40.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,23.0,478.72,23.64,249.1,6,79.787,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,5.0,143.33,20.99,90.0,3,47.777,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,3.0,126.02,19.13,140.0,2,63.01,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,5.0,80.0,19.0,126.0,3,26.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,1.0,40.0,18.0,30.0,1,40.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,6.0,120.74,19.4,155.0,5,24.148,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,6.0,135.01,18.83,105.0,3,45.003,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,7.0,185.48,19.25,162.9,3,61.827,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,9.0,160.0,19.42,150.0,4,40.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,12.0,303.54,19.15,135.0,4,75.885,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,2.0,30.23,21.4,405.0,2,15.115,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,3.0,90.0,18.67,130.0,3,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,6.0,141.32,19.07,120.0,4,35.33,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,7.0,150.54,19.71,120.0,3,50.18,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,9.0,246.54,19.76,200.0,4,61.635,no_data_yet,no_data_yet,no_data_yet,no_data_yet
