时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
国诚金融
2015-3-26,85.0,478.38,10.84,32.2,40,11.96,no_data_yet,no_data_yet,22.25,26595.97
2015-3-27,84.0,1004.92,11.29,22.0,35,28.712,no_data_yet,no_data_yet,608.87,27259.77
2015-3-28,95.0,407.07,9.25,21.9,43,9.467,no_data_yet,no_data_yet,319.38,27599.58
2015-3-29,67.0,194.25,10.18,14.4,29,6.698,no_data_yet,no_data_yet,124.8,27485.39
2015-3-30,76.0,1879.68,10.01,30.9,40,46.992,no_data_yet,no_data_yet,155.37,27717.88
2015-3-31,81.0,315.2,9.86,14.3,35,9.006,no_data_yet,no_data_yet,235.1,27971.08
2015-4-1,68.0,180.59,9.32,14.5,36,5.016,no_data_yet,no_data_yet,222.34,28202.51
2015-4-2,64.0,637.58,10.06,21.5,33,19.321,no_data_yet,no_data_yet,330.49,28565.37
2015-4-3,71.0,583.81,9.59,35.6,42,13.9,no_data_yet,no_data_yet,252.84,28341.71
2015-4-4,59.0,662.4,7.85,18.8,28,23.657,no_data_yet,no_data_yet,510.11,28879.64
2015-4-5,57.0,1165.43,8.39,21.2,28,41.623,no_data_yet,no_data_yet,164.51,28765.23
2015-4-6,66.0,1556.24,8.74,18.6,31,50.201,no_data_yet,no_data_yet,845.3,29676.42
2015-4-7,113.0,622.95,10.42,27.5,43,14.487,no_data_yet,no_data_yet,206.78,29495.87
2015-4-8,77.0,682.35,12.82,35.8,30,22.745,no_data_yet,no_data_yet,305.93,29826.59
2015-4-9,59.0,323.04,10.61,15.8,35,9.23,no_data_yet,no_data_yet,85.25,29930.1
2015-4-10,53.0,632.11,11.74,30.9,31,20.391,no_data_yet,no_data_yet,630.68,30579.49
2015-4-11,87.0,325.61,12.51,15.9,35,9.303,no_data_yet,no_data_yet,336.87,30253.76
2015-4-12,83.0,743.12,15.98,15.5,30,24.771,no_data_yet,no_data_yet,114.28,30392.73
2015-4-13,125.0,822.37,19.94,25.2,45,18.275,no_data_yet,no_data_yet,358.8,30776.89
2015-4-14,116.0,526.57,20.23,9.5,29,18.157,no_data_yet,no_data_yet,99.21,30888.07
2015-4-15,98.0,541.96,19.57,12.2,37,14.648,no_data_yet,no_data_yet,3.4,30897.85
2015-4-16,89.0,486.09,17.64,22.8,31,15.68,no_data_yet,no_data_yet,442.47,31355.45
2015-4-17,140.0,462.34,12.39,12.5,36,12.843,no_data_yet,no_data_yet,188.46,31179.28
2015-4-18,84.0,405.82,10.4,16.2,27,15.03,no_data_yet,no_data_yet,336.77,31534.9
2015-4-19,65.0,380.97,10.66,13.2,25,15.239,no_data_yet,no_data_yet,103.82,31646.49
2015-4-20,94.0,468.02,10.73,30.6,45,10.4,no_data_yet,no_data_yet,30.05,31632.98
2015-4-21,73.0,896.17,10.97,21.6,29,30.902,no_data_yet,no_data_yet,993.4,30675.04
2015-4-22,59.0,348.55,10.36,17.2,31,11.244,no_data_yet,no_data_yet,105.55,30795.09
2015-4-23,68.0,363.22,11.63,17.9,33,11.007,no_data_yet,no_data_yet,232.11,31041.67
2015-4-24,69.0,1243.75,11.28,27.0,40,31.094,no_data_yet,no_data_yet,93.78,31000.74
2015-4-25,51.0,423.99,11.47,24.9,27,15.703,no_data_yet,no_data_yet,54.81,30965.96
2015-4-26,71.0,175.78,12.37,17.1,28,6.278,no_data_yet,no_data_yet,38.79,31013.22
2015-4-27,74.0,163.35,12.7,16.7,38,4.299,no_data_yet,no_data_yet,330.19,30689.36
