时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
地方金融
2015-3-26,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,108.4,13331.6
2015-3-27,2.0,300.0,12.6,180.0,2,150.0,no_data_yet,no_data_yet,1.6,13330.0
2015-3-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,6.1,13323.9
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,106.8,13217.1
2015-3-30,2.0,1700.0,15.6,150.0,2,850.0,no_data_yet,no_data_yet,103.9,13113.2
2015-3-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,106.0,13007.2
2015-4-1,1.0,100.0,15.6,90.0,1,100.0,no_data_yet,no_data_yet,1.1,13006.1
2015-4-2,1.0,200.0,9.6,270.0,1,200.0,no_data_yet,no_data_yet,5.75,13000.35
2015-4-3,1.0,100.0,16.2,180.0,1,100.0,no_data_yet,no_data_yet,102.3,12898.05
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.45,12896.6
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.8,12891.8
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,103.9,12787.9
2015-4-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,103.9,12787.9
2015-4-8,1.0,100.0,15.6,90.0,1,100.0,no_data_yet,no_data_yet,1.6,12786.3
2015-4-9,1.0,100.0,15.6,90.0,1,100.0,no_data_yet,no_data_yet,108.8,12677.5
2015-4-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.2,12674.3
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.2,12671.1
2015-4-12,1.0,1200.0,21.6,30.0,1,1200.0,no_data_yet,no_data_yet,4.65,12666.45
2015-4-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,101.2,12565.25
2015-4-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.3,12560.95
2015-4-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.8,12556.15
2015-4-16,5.0,900.0,10.8,210.0,5,180.0,no_data_yet,no_data_yet,3.05,12553.1
2015-4-17,3.0,380.0,13.8,170.0,3,126.667,no_data_yet,no_data_yet,3.2,12549.9
2015-4-18,1.0,200.0,9.6,240.0,1,200.0,no_data_yet,no_data_yet,3.2,12546.7
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.8,12542.9
2015-4-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.35,12538.55
2015-4-21,1.0,100.0,15.6,90.0,1,100.0,no_data_yet,no_data_yet,4.65,12533.9
2015-4-22,1.0,200.0,9.6,240.0,1,200.0,no_data_yet,no_data_yet,3.2,12530.7
2015-4-23,5.0,800.0,12.48,252.0,5,160.0,no_data_yet,no_data_yet,105.3,12425.4
2015-4-24,1.0,200.0,9.6,240.0,1,200.0,no_data_yet,no_data_yet,3.05,12422.35
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,7.2,12415.15
2015-4-26,1.0,100.0,15.6,90.0,1,100.0,no_data_yet,no_data_yet,1.6,12413.55
2015-4-27,1.0,100.0,15.6,90.0,1,100.0,no_data_yet,no_data_yet,6.1,12407.45
2015-4-28,2.0,400.0,9.6,255.0,2,200.0,no_data_yet,no_data_yet,105.5,12301.95
2015-4-29,1.0,200.0,9.6,240.0,1,200.0,no_data_yet,no_data_yet,2.7,12299.25
2015-4-30,1.0,200.0,9.6,240.0,1,200.0,no_data_yet,no_data_yet,4.8,12294.45
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.1,12293.35
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.75,12287.6
2015-5-3,1.0,200.0,9.6,240.0,1,200.0,no_data_yet,no_data_yet,1.1,12286.5
2015-5-4,1.0,100.0,17.4,360.0,1,100.0,no_data_yet,no_data_yet,1.45,12285.05
2015-5-5,2.0,300.0,12.6,150.0,2,150.0,no_data_yet,no_data_yet,4.8,12280.25
2015-5-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.7,12277.55
2015-5-7,2.0,280.0,12.9,195.0,2,140.0,no_data_yet,no_data_yet,2.7,12277.55
2015-5-8,1.0,100.0,15.6,90.0,1,100.0,no_data_yet,no_data_yet,1.6,12275.95
2015-5-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,7.6,12268.35
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.2,12265.15
2015-5-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.2,12261.95
2015-5-12,4.0,700.0,11.25,202.5,4,175.0,no_data_yet,no_data_yet,4.65,12257.3
2015-5-13,2.0,300.0,12.6,150.0,2,150.0,no_data_yet,no_data_yet,4.65,12257.3
2015-5-14,1.0,100.0,17.4,360.0,1,100.0,no_data_yet,no_data_yet,4.3,12253.0
2015-5-15,2.0,300.0,12.9,195.0,2,150.0,no_data_yet,no_data_yet,4.8,12248.2
2015-5-16,1.0,100.0,15.6,90.0,1,100.0,no_data_yet,no_data_yet,3.05,12245.15
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.2,12241.95
