时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
地标金融
2015-3-26,3.0,360.0,16.0,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,150.78,33409.68
2015-3-27,4.0,440.0,15.75,67.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,242.44,33666.92
2015-3-28,4.0,480.0,15.75,67.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,228.93,33911.15
2015-3-29,2.0,240.0,16.5,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,746.0,33177.45
2015-3-30,2.0,240.0,15.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,746.83,32433.63
2015-3-31,3.0,360.0,16.0,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,114.84,32332.58
2015-4-1,7.0,840.0,16.29,94.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,127.26,32498.24
2015-4-2,8.0,880.0,16.13,86.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,265.21,32799.25
2015-4-3,5.0,600.0,16.2,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,258.3,32567.05
2015-4-4,6.0,660.0,16.0,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,308.39,32902.29
2015-4-5,4.0,480.0,15.75,67.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,113.04,32804.55
2015-4-6,5.0,600.0,16.2,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,116.78,32713.87
2015-4-7,6.0,720.0,16.0,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,469.56,33211.03
2015-4-8,4.0,480.0,15.75,67.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,137.84,33088.49
2015-4-9,10.0,1160.0,15.6,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,686.05,33807.64
2015-4-10,7.0,840.0,15.86,72.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,245.28,34082.02
2015-4-11,3.0,360.0,16.0,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,111.52,33984.3
2015-4-12,4.0,440.0,16.5,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,23.52,34028.82
2015-4-13,6.0,660.0,15.5,55.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,284.4,34329.22
2015-4-14,3.0,360.0,16.0,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,237.25,34105.77
2015-4-15,4.0,480.0,15.75,67.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,256.3,33864.77
2015-4-16,3.0,360.0,16.0,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,133.71,33744.86
2015-4-17,6.0,720.0,16.0,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,18.79,33753.67
2015-4-18,4.0,460.0,15.75,67.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,243.05,33524.12
2015-4-19,6.0,660.0,16.0,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,286.22,33835.64
2015-4-20,7.0,840.0,15.86,72.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,471.68,34336.42
2015-4-21,5.0,600.0,16.2,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,351.52,34714.04
2015-4-22,6.0,720.0,16.0,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,232.12,34973.76
2015-4-23,3.0,340.0,16.0,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,277.28,34710.02
2015-4-24,8.0,900.0,15.75,67.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,447.1,35186.97
2015-4-25,4.0,480.0,15.75,67.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,11.52,35190.75
2015-4-26,4.0,480.0,16.5,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,29.02,35244.36
2015-4-27,6.0,720.0,16.0,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,225.63,35497.6
2015-4-28,4.0,460.0,15.75,67.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,203.6,35714.7
2015-4-29,6.0,660.0,16.0,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,402.77,36142.77
2015-4-30,5.0,600.0,16.2,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,106.41,36275.28
2015-5-1,3.0,360.0,16.0,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,135.09,36153.98
2015-5-2,4.0,480.0,15.75,67.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,218.79,35950.49
2015-5-3,5.0,600.0,16.2,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,104.7,36081.29
