时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
城城理财
2015-3-31,2.0,2.0,16.5,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2.0,2.03
2015-4-1,9.0,2740.0,23.0,163.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2740.0,3067.6
2015-4-2,17.0,664.0,20.54,111.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,664.0,3788.59
2015-4-3,10.0,1175.0,19.14,66.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1175.0,5003.29
2015-4-4,1.0,100.0,24.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,100.0,5115.29
2015-4-5,1.0,100.0,20.4,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,100.0,5220.39
2015-4-6,3.0,300.0,20.0,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,300.0,5535.39
2015-4-7,5.0,186.0,18.6,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,186.0,5740.7
2015-4-8,6.0,432.0,19.4,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,432.0,6203.7
2015-4-9,14.0,857.0,20.49,102.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,857.0,7112.11
2015-4-10,5.0,250.0,22.08,132.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,250.0,7383.41
2015-4-11,1.0,50.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,50.0,7434.16
2015-4-12,6.0,690.0,19.4,65.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,690.0,8146.81
2015-4-13,19.0,843.0,18.13,56.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,843.0,9025.29
2015-4-14,3.0,150.0,22.0,130.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,150.0,9188.04
2015-4-15,6.0,246.0,20.0,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,246.0,9456.37
2015-4-16,12.0,746.0,18.75,55.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,746.0,10223.42
2015-4-17,17.0,799.0,20.89,111.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,799.0,11082.46
2015-4-18,2.0,100.0,21.0,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,100.0,11189.21
2015-4-19,1.0,50.0,24.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,50.0,11245.21
2015-4-20,9.0,373.0,20.93,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,373.0,11652.66
2015-4-21,9.0,328.0,19.27,86.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,328.0,12003.06
2015-4-22,8.0,343.0,22.13,141.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,343.0,12382.61
2015-4-23,10.0,403.0,21.0,118.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,403.0,12822.97
2015-4-24,10.0,366.0,18.84,78.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,366.0,13211.58
2015-4-25,9.0,323.0,19.13,81.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,323.0,13560.48
2015-4-26,6.0,260.0,20.3,97.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,260.0,13838.39
2015-4-27,8.0,312.0,20.55,108.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,312.0,14176.85
2015-4-28,9.0,251.0,18.8,81.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,251.0,14447.37
2015-4-29,6.0,220.0,21.0,125.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,220.0,14691.5
2015-4-30,15.0,719.0,19.6,88.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,716.97,15468.41
2015-5-1,4.0,78.0,16.8,33.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,6.58,15463.07
2015-5-2,2.0,110.0,18.3,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,40.05,15429.66
2015-5-3,9.0,1077.0,17.73,66.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,113.33,15582.24
2015-5-4,4.0,139.0,16.2,63.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,137.0,15729.44
2015-5-5,15.0,670.0,17.0,78.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,668.3,16443.85
2015-5-6,14.0,450.0,17.23,73.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,245.0,16710.78
2015-5-7,17.0,572.0,17.89,108.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,540.49,17296.73
2015-5-8,14.0,347.0,16.63,64.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,187.28,17502.27
2015-5-9,5.0,380.9,17.88,66.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.77,17511.26
2015-5-10,4.0,240.0,16.65,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,175.34,17698.14
2015-5-11,12.0,391.0,17.4,73.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,330.19,18052.16
2015-5-12,19.0,900.0,17.53,75.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,315.82,18401.94
2015-5-13,37.0,893.0,16.96,62.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,280.3,18724.39
2015-5-14,15.0,707.0,18.2,104.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,586.74,19369.37
2015-5-15,11.0,449.0,17.78,81.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,356.34,19745.94
2015-5-16,11.0,639.0,17.24,73.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,34.71,19736.18
2015-5-17,4.0,190.0,17.1,48.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,54.3,19686.48
2015-5-18,12.0,487.0,17.25,95.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,435.25,20154.58
2015-5-19,6.0,240.0,18.4,107.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,208.82,20379.97
2015-5-20,11.0,285.0,17.62,94.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,172.81,20574.03
2015-5-21,17.0,932.0,17.29,86.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,768.12,21418.96
2015-5-22,6.0,217.0,18.4,107.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,150.37,21585.21
2015-5-23,4.0,160.0,18.9,112.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,29.52,21625.65
2015-5-24,3.0,110.0,18.6,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4.46,21627.15
2015-5-25,18.0,745.0,17.9,96.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,596.08,22282.65
2015-5-26,7.0,210.0,18.6,110.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,125.37,22424.9
2015-5-27,8.0,192.0,16.95,69.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,96.31,22532.47
2015-5-28,9.0,384.0,17.93,90.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,208.15,22759.79
2015-5-29,6.0,275.0,17.7,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,271.0,23049.0
2015-5-30,5.0,149.13,17.88,108.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,19.29,23077.06
2015-5-31,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,133.33,22943.72
2015-6-1,9.0,450.0,17.67,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,378.08,23354.32
2015-6-2,8.0,219.0,17.1,82.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,610.57,22756.46
2015-6-3,17.0,647.0,17.4,81.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,624.18,23410.96
2015-6-4,9.0,260.87,17.0,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,117.28,23541.5
2015-6-5,8.0,278.5,17.25,88.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,50.12,23607.27
2015-6-6,10.0,496.0,17.58,99.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,384.13,24025.02
2015-6-7,5.0,170.0,16.44,55.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,42.69,24074.2
2015-6-8,13.0,330.0,15.51,43.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5.78,24080.88
2015-6-9,9.0,390.0,17.53,85.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,283.1,24383.0
2015-6-10,9.0,385.0,18.6,128.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,288.37,24700.05
2015-6-11,7.0,262.0,17.23,89.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,323.66,24390.41
2015-6-12,13.0,508.0,18.09,117.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,179.0,24607.22
2015-6-13,7.0,249.0,17.14,83.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,160.69,24780.81
2015-6-14,3.0,71.0,17.2,95.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,188.23,24598.06
2015-6-15,10.0,440.0,17.88,93.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,80.02,24699.65
2015-6-16,11.0,430.0,17.73,96.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,296.4,25020.88
2015-6-17,9.0,510.0,17.87,86.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,364.88,25406.54
2015-6-18,10.0,329.0,17.4,102.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,254.23,25683.77
2015-6-19,5.0,370.0,18.6,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,324.66,26039.12
2015-6-20,6.0,240.0,17.9,112.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,79.49,26135.51
2015-6-21,3.0,110.0,17.2,75.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,43.65,26184.88
2015-6-22,5.0,190.0,16.92,69.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,131.49,26324.08
2015-6-23,10.0,402.0,17.58,93.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,223.71,26571.16
2015-6-24,8.0,340.0,18.0,109.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,168.85,26762.26
2015-6-25,10.0,535.0,17.4,84.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,507.93,27301.92
2015-6-26,9.0,361.0,17.87,106.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,271.47,27596.46
2015-6-27,8.0,340.0,17.25,71.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,106.97,27717.12
2015-6-28,4.0,180.0,17.7,82.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,66.81,27791.59
2015-6-29,14.0,441.0,16.89,79.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,367.54,28182.26
2015-6-30,18.0,761.0,16.97,77.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,686.57,28918.95
2015-7-1,23.0,813.0,17.3,95.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,568.99,29541.31
2015-7-2,15.0,405.0,16.56,73.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,282.37,29847.67
2015-7-3,15.0,434.0,16.6,62.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,123.88,29991.07
2015-7-4,9.0,308.0,16.8,68.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,77.26,30081.92
