时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
多多智富
2015-3-26,6.0,163.0,16.32,40.0,4,40.75,no_data_yet,no_data_yet,27.33,6202.03
2015-3-27,4.0,108.0,16.55,60.0,4,27.0,no_data_yet,no_data_yet,169.06,6036.17
2015-3-28,3.0,85.0,16.13,30.0,3,28.333,no_data_yet,no_data_yet,225.35,5811.96
2015-3-29,3.0,83.0,16.43,50.0,3,27.667,no_data_yet,no_data_yet,167.78,5645.88
2015-3-30,2.0,60.0,16.1,30.0,2,30.0,no_data_yet,no_data_yet,202.95,5443.73
2015-3-31,4.0,120.0,16.35,45.0,4,30.0,no_data_yet,no_data_yet,73.67,5372.25
2015-4-1,7.0,220.0,16.39,47.1,5,44.0,no_data_yet,no_data_yet,91.79,5285.03
2015-4-2,8.0,260.0,16.33,45.0,6,43.333,no_data_yet,no_data_yet,94.28,5384.25
2015-4-3,5.0,145.0,16.46,54.0,5,29.0,no_data_yet,no_data_yet,65.05,5322.46
2015-4-4,3.0,90.0,16.4,50.0,2,45.0,no_data_yet,no_data_yet,83.41,5240.98
2015-4-5,3.0,105.0,16.4,50.0,3,35.0,no_data_yet,no_data_yet,125.91,5117.21
2015-4-6,1.0,35.0,16.1,30.0,1,35.0,no_data_yet,no_data_yet,49.4,5068.28
2015-4-7,5.0,160.0,16.28,42.0,5,32.0,no_data_yet,no_data_yet,73.57,5144.73
2015-4-8,4.0,125.0,16.55,60.0,3,41.667,no_data_yet,no_data_yet,350.73,4797.27
2015-4-9,9.0,275.0,16.3,43.3,7,39.286,no_data_yet,no_data_yet,61.44,4863.86
2015-4-10,4.0,125.0,16.33,45.0,3,41.667,no_data_yet,no_data_yet,162.63,4703.63
2015-4-11,3.0,95.0,16.4,50.0,3,31.667,no_data_yet,no_data_yet,183.25,4522.38
2015-4-12,3.0,95.0,16.4,50.0,3,31.667,no_data_yet,no_data_yet,1.36,4525.89
2015-4-13,5.0,153.0,16.46,54.0,5,30.6,no_data_yet,no_data_yet,36.46,4565.71
2015-4-14,3.0,102.0,16.4,50.0,3,34.0,no_data_yet,no_data_yet,20.48,4588.43
2015-4-15,6.0,177.0,16.4,50.0,6,29.5,no_data_yet,no_data_yet,17.99,4574.12
2015-4-16,5.0,169.0,16.1,30.0,4,42.25,no_data_yet,no_data_yet,108.19,4684.58
2015-4-17,1.0,30.0,16.1,30.0,1,30.0,no_data_yet,no_data_yet,140.71,4544.27
2015-4-18,2.0,60.0,16.55,60.0,2,30.0,no_data_yet,no_data_yet,24.47,4521.47
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,76.44,4445.03
2015-4-20,2.0,74.0,16.1,30.0,2,37.0,no_data_yet,no_data_yet,7.7,4453.72
2015-4-21,3.0,95.0,16.4,50.0,3,31.667,no_data_yet,no_data_yet,64.31,4520.04
2015-4-22,1.0,30.0,16.1,30.0,1,30.0,no_data_yet,no_data_yet,46.44,4474.0
2015-4-23,5.0,153.0,16.28,42.0,4,38.25,no_data_yet,no_data_yet,82.79,4559.6
2015-4-24,3.0,81.0,16.4,50.0,3,27.0,no_data_yet,no_data_yet,49.3,4610.85
2015-4-25,1.0,33.0,16.1,30.0,1,33.0,no_data_yet,no_data_yet,112.21,4499.09
2015-4-26,3.0,80.0,16.4,50.0,3,26.667,no_data_yet,no_data_yet,4.99,4495.75
2015-4-27,5.0,151.0,16.46,54.0,4,37.75,no_data_yet,no_data_yet,44.58,4543.79
2015-4-28,2.0,57.0,16.1,30.0,2,28.5,no_data_yet,no_data_yet,53.78,4490.78
2015-4-29,4.0,136.0,16.33,45.0,4,34.0,no_data_yet,no_data_yet,24.5,4517.85
2015-4-30,5.0,165.0,16.46,54.0,5,33.0,no_data_yet,no_data_yet,12.67,4534.25
2015-5-1,1.0,35.0,16.1,30.0,1,35.0,no_data_yet,no_data_yet,183.7,4351.03
2015-5-2,1.0,32.0,16.1,30.0,1,32.0,no_data_yet,no_data_yet,201.8,4149.66
2015-5-3,3.0,110.0,16.1,30.0,3,36.667,no_data_yet,no_data_yet,37.61,4113.53
2015-5-4,3.0,85.0,16.7,70.0,3,28.333,no_data_yet,no_data_yet,42.07,4074.05
2015-5-5,7.0,237.0,16.4,51.4,6,39.5,no_data_yet,no_data_yet,115.02,4194.25
2015-5-6,7.0,273.0,16.36,51.4,3,91.0,no_data_yet,no_data_yet,217.26,4417.81
2015-5-7,7.0,275.0,16.31,47.1,3,91.667,no_data_yet,no_data_yet,117.56,4541.33
2015-5-8,5.0,188.0,16.4,54.0,3,62.667,no_data_yet,no_data_yet,75.31,4621.23
2015-5-9,3.0,100.0,16.1,30.0,3,33.333,no_data_yet,no_data_yet,149.42,4473.15
2015-5-10,7.0,305.0,16.4,55.7,2,152.5,no_data_yet,no_data_yet,162.76,4643.66
2015-5-11,5.0,185.0,16.28,42.0,3,61.667,no_data_yet,no_data_yet,113.71,4760.72
2015-5-12,10.0,374.0,16.25,42.0,5,74.8,no_data_yet,no_data_yet,279.32,5047.44
2015-5-13,6.0,255.0,16.2,40.0,3,85.0,no_data_yet,no_data_yet,103.93,5156.18
2015-5-14,6.0,233.0,16.35,50.0,4,58.25,no_data_yet,no_data_yet,159.18,5320.61
2015-5-15,5.0,192.0,16.4,54.0,3,64.0,no_data_yet,no_data_yet,16.19,5341.5
2015-5-16,2.0,67.0,16.1,30.0,2,33.5,no_data_yet,no_data_yet,104.27,5238.13
2015-5-17,2.0,70.0,16.1,30.0,2,35.0,no_data_yet,no_data_yet,39.17,5278.24
2015-5-18,5.0,195.0,16.4,54.0,3,65.0,no_data_yet,no_data_yet,163.82,5446.8
2015-5-19,3.0,120.0,16.3,50.0,1,120.0,no_data_yet,no_data_yet,119.58,5569.37
