时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
多好贷
2015-6-18,1.0,8.0,8.0,30.0,1,8.0,no_data_yet,no_data_yet,8.0,8.05
2015-6-19,1.0,8.0,8.0,30.0,1,8.0,no_data_yet,no_data_yet,8.0,16.11
2015-6-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,8.0,16.11
2015-6-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,8.0,16.11
2015-6-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,8.0,16.11
2015-6-23,1.0,8.0,8.0,30.0,1,8.0,no_data_yet,no_data_yet,8.0,24.16
2015-6-24,1.0,8.0,8.0,30.0,1,8.0,no_data_yet,no_data_yet,8.0,32.21
2015-6-25,1.0,8.0,8.0,30.0,1,8.0,no_data_yet,no_data_yet,8.0,40.27
2015-6-26,1.0,8.0,8.0,30.0,1,8.0,no_data_yet,no_data_yet,8.0,48.32
2015-6-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,8.0,48.32
2015-6-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,8.0,48.32
2015-6-29,1.0,8.0,8.0,30.0,1,8.0,no_data_yet,no_data_yet,8.0,56.37
2015-6-30,3.0,12.0,14.67,30.0,1,12.0,no_data_yet,no_data_yet,12.0,68.49
2015-7-1,2.0,13.0,13.0,30.0,1,13.0,no_data_yet,no_data_yet,13.0,81.62
2015-7-2,2.0,13.0,13.0,30.0,2,6.5,no_data_yet,no_data_yet,13.0,94.74
2015-7-3,2.0,13.0,13.0,30.0,2,6.5,no_data_yet,no_data_yet,13.0,107.87
2015-7-4,1.0,8.0,8.0,30.0,1,8.0,no_data_yet,no_data_yet,8.0,115.93
2015-7-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,8.0,115.93
2015-7-6,2.0,10.0,13.0,30.0,2,5.0,no_data_yet,no_data_yet,10.0,126.01
2015-7-7,2.0,10.0,13.0,30.0,2,5.0,no_data_yet,no_data_yet,10.0,136.09
2015-7-8,2.0,11.0,13.0,30.0,2,5.5,no_data_yet,no_data_yet,11.0,147.19
2015-7-9,2.0,11.0,13.0,30.0,2,5.5,no_data_yet,no_data_yet,11.0,158.29
2015-7-10,1.0,8.0,8.0,30.0,1,8.0,no_data_yet,no_data_yet,8.0,166.34
2015-7-11,2.0,18.0,13.0,30.0,2,9.0,no_data_yet,no_data_yet,18.0,184.55
