时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
天下贷（京）
2015-3-26,10.0,230.0,9.6,262.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,124.11,26955.47
2015-3-27,7.0,220.0,9.37,215.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,112.15,27076.05
2015-3-28,8.0,190.0,9.4,259.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,217.71,26869.55
2015-3-29,13.0,313.0,9.48,264.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,108.71,26996.54
2015-3-30,7.0,180.0,9.6,285.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,176.22,27186.28
2015-3-31,7.0,349.0,9.71,265.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,343.75,27551.59
2015-4-1,6.0,380.0,9.8,236.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,376.06,27948.87
2015-4-2,5.0,350.0,9.84,227.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,344.36,28312.18
2015-4-3,5.0,280.0,9.76,243.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,272.22,28600.51
2015-4-4,2.0,200.0,10.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3.56,28606.95
2015-4-5,3.0,250.0,8.67,94.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,54.32,28559.11
2015-4-6,3.0,300.0,8.67,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2.35,28563.1
2015-4-7,3.0,220.0,9.2,171.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,84.67,28485.72
2015-4-8,3.0,250.0,8.53,74.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,156.02,28334.4
2015-4-9,9.0,480.0,9.69,172.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet,174.68,28530.33
2015-4-10,4.0,230.0,9.4,182.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,21.65,28561.22
2015-4-11,4.0,220.0,8.4,125.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,14.81,28580.86
2015-4-12,3.0,100.0,9.07,214.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,304.83,28280.59
2015-4-13,7.0,240.0,8.91,181.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,64.89,28224.5
2015-4-14,5.0,130.0,9.28,208.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,24.83,28255.26
2015-4-15,7.0,195.0,9.37,230.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,309.9,27955.73
2015-4-16,5.0,160.0,8.96,206.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,193.43,27768.53
2015-4-17,7.0,230.0,8.91,199.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,380.29,27396.9
2015-4-18,2.0,125.0,8.8,153.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,81.43,27317.98
2015-4-19,5.0,300.0,8.4,66.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,245.36,27567.84
2015-4-20,7.0,260.0,8.97,175.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,204.71,27781.5
2015-4-21,10.0,350.0,8.8,172.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,347.41,28139.3
2015-4-22,4.0,110.0,9.2,229.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2.57,28146.94
2015-4-23,3.0,150.0,8.0,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,44.62,28193.22
