时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
好借好贷（苏）
2015-3-26,11.0,54.2,21.09,73.5,4,13.55,no_data_yet,no_data_yet,5.65,3944.74
2015-3-27,16.0,73.0,22.19,91.4,3,24.333,no_data_yet,no_data_yet,17.71,3967.26
2015-3-28,2.0,2.5,18.0,29.0,2,1.25,no_data_yet,no_data_yet,63.33,3903.96
2015-3-29,6.0,33.0,23.33,125.0,1,33.0,no_data_yet,no_data_yet,34.98,3871.82
2015-3-30,12.0,81.5,22.92,124.2,2,40.75,no_data_yet,no_data_yet,57.53,3937.25
2015-3-31,7.0,42.0,22.86,111.4,1,42.0,no_data_yet,no_data_yet,33.02,3907.64
2015-4-1,6.0,26.3,22.5,107.3,2,13.15,no_data_yet,no_data_yet,34.8,3875.06
2015-4-2,14.0,59.0,21.0,65.4,3,19.667,no_data_yet,no_data_yet,27.22,3904.95
2015-4-3,13.0,83.4,22.62,85.5,2,41.7,no_data_yet,no_data_yet,48.78,3958.83
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,45.35,3913.48
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,36.87,3876.6
2015-4-6,19.0,91.0,22.22,88.7,3,30.333,no_data_yet,no_data_yet,58.55,3940.77
2015-4-7,12.0,54.85,21.93,94.7,4,13.713,no_data_yet,no_data_yet,0.19,3944.55
2015-4-8,12.0,61.0,22.18,95.1,3,20.333,no_data_yet,no_data_yet,2.0,3946.32
2015-4-9,11.0,54.5,21.82,86.8,2,27.25,no_data_yet,no_data_yet,7.36,3956.82
2015-4-10,6.0,35.0,22.67,100.0,1,35.0,no_data_yet,no_data_yet,7.73,3951.14
2015-4-11,4.0,9.0,20.51,30.8,4,2.25,no_data_yet,no_data_yet,45.78,3905.52
2015-4-12,11.0,67.0,23.09,105.0,2,33.5,no_data_yet,no_data_yet,5.63,3916.01
2015-4-13,8.0,46.0,22.25,99.5,4,11.5,no_data_yet,no_data_yet,24.19,3944.07
2015-4-14,8.0,57.0,23.0,108.8,1,57.0,no_data_yet,no_data_yet,0.4,3948.86
2015-4-15,11.0,55.0,16.0,37.4,2,27.5,no_data_yet,no_data_yet,21.43,3971.61
2015-4-16,5.0,25.0,23.2,96.0,1,25.0,no_data_yet,no_data_yet,3.35,3976.54
2015-4-17,10.0,44.0,21.42,72.1,2,22.0,no_data_yet,no_data_yet,10.94,3989.78
2015-4-18,3.0,9.0,21.78,44.3,3,3.0,no_data_yet,no_data_yet,40.71,3949.42
2015-4-19,7.0,35.0,22.29,102.9,1,35.0,no_data_yet,no_data_yet,0.57,3952.34
2015-4-20,12.0,59.3,20.25,78.5,3,19.767,no_data_yet,no_data_yet,54.2,4009.92
2015-4-21,10.0,40.9,21.6,87.1,4,10.225,no_data_yet,no_data_yet,14.34,4027.34
2015-4-22,4.0,20.0,21.0,67.5,2,10.0,no_data_yet,no_data_yet,0.83,4027.36
2015-4-23,8.0,35.5,21.5,71.0,2,17.75,no_data_yet,no_data_yet,1.79,4027.33
2015-4-24,14.0,70.0,15.43,27.6,2,35.0,no_data_yet,no_data_yet,58.47,4087.0
2015-4-25,4.0,13.0,19.75,77.5,3,4.333,no_data_yet,no_data_yet,35.73,4052.2
2015-4-26,12.0,59.93,22.17,101.7,2,29.965,no_data_yet,no_data_yet,11.74,4044.78
2015-4-27,11.0,55.0,22.18,79.1,1,55.0,no_data_yet,no_data_yet,33.88,4013.72
2015-4-28,18.0,145.0,15.78,48.0,2,72.5,no_data_yet,no_data_yet,96.06,4112.63
2015-4-29,7.0,29.5,20.86,66.3,2,14.75,no_data_yet,no_data_yet,10.29,4103.67
2015-4-30,30.0,185.05,21.5,87.1,4,46.263,no_data_yet,no_data_yet,26.87,4140.66
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.7,4136.97
2015-5-2,2.0,6.0,21.0,105.0,2,3.0,no_data_yet,no_data_yet,40.32,4097.26
2015-5-3,6.0,22.17,17.87,49.2,3,7.39,no_data_yet,no_data_yet,28.92,4069.11
2015-5-4,11.0,50.45,22.36,99.1,2,25.225,no_data_yet,no_data_yet,15.92,4088.58
2015-5-5,15.0,80.0,17.33,51.6,2,40.0,no_data_yet,no_data_yet,57.76,4148.87
2015-5-6,13.0,65.0,22.15,76.2,1,65.0,no_data_yet,no_data_yet,5.92,4157.98
2015-5-7,11.0,56.91,18.36,65.6,4,14.226,no_data_yet,no_data_yet,1.64,4161.73
2015-5-8,22.0,149.16,20.36,72.1,4,37.29,no_data_yet,no_data_yet,53.73,4222.96
2015-5-9,1.0,1.0,20.0,31.0,1,1.0,no_data_yet,no_data_yet,80.96,4142.02
2015-5-10,12.0,59.0,19.5,54.8,3,19.667,no_data_yet,no_data_yet,4.12,4140.0
2015-5-11,13.0,64.0,22.0,95.5,3,21.333,no_data_yet,no_data_yet,10.63,4133.44
