时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
孔方兄
2015-3-26,69.0,233.75,13.79,23.3,54,4.329,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,61.0,188.01,13.79,25.4,47,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,45.0,67.05,13.44,17.5,38,1.765,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,40.0,63.38,12.9,16.2,36,1.761,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,63.0,209.6,13.79,22.3,56,3.743,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,88.0,248.62,14.79,20.5,59,4.214,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,99.0,241.79,14.07,21.1,64,3.778,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,93.0,238.39,12.5,21.6,67,3.558,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,93.0,229.41,12.03,20.3,59,3.888,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,60.0,94.71,13.41,20.1,43,2.202,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,90.0,126.75,11.09,18.9,54,2.347,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,95.0,204.72,10.64,21.4,53,3.863,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,224.0,327.4,8.97,19.0,84,3.898,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,63.0,197.85,12.65,24.2,51,3.879,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,73.0,212.8,13.13,26.3,51,4.173,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,69.0,208.59,12.81,26.2,51,4.09,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,42.0,73.12,13.31,19.5,36,2.031,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,52.0,71.23,12.34,17.4,38,1.874,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,80.0,216.05,13.63,19.7,59,3.662,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,77.0,204.07,13.99,19.3,56,3.644,no_data_yet,no_data_yet,no_data_yet,no_data_yet
