时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
安捷财富
2015-3-26,5.0,111.0,19.6,84.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,56.35,2354.22
2015-3-27,5.0,107.0,19.6,84.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,67.07,2426.9
2015-3-28,4.0,85.0,19.5,82.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,65.96,2497.38
2015-3-29,2.0,30.0,20.0,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,21.57,2478.35
2015-3-30,4.0,150.0,20.5,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,130.62,2621.88
2015-3-31,6.0,177.0,19.67,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,126.42,2761.39
2015-4-1,5.0,139.0,20.0,102.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,111.55,2883.82
2015-4-2,5.0,102.0,19.2,72.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,100.74,2989.98
2015-4-3,7.0,176.0,19.71,85.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,126.75,3126.46
2015-4-4,2.0,75.0,21.0,135.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,59.22,3191.23
2015-4-5,2.0,32.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,17.23,3208.94
2015-4-6,4.0,122.0,19.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,70.65,3284.74
2015-4-7,6.0,172.0,20.0,95.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,120.63,3415.19
2015-4-8,5.0,117.0,19.6,84.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,116.01,3537.56
2015-4-9,4.0,119.01,19.5,82.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,108.36,3653.55
2015-4-10,5.0,138.0,20.0,102.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,132.27,3796.12
2015-4-11,3.0,64.0,19.33,70.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,49.28,3848.05
2015-4-12,2.0,55.0,21.0,135.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,54.13,3906.55
2015-4-13,5.0,143.0,20.4,114.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,90.62,4008.49
2015-4-14,5.0,155.0,20.0,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,154.1,4180.86
2015-4-15,6.0,137.0,20.67,125.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,127.71,4319.82
2015-4-16,2.0,42.02,19.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,30.82,4352.31
2015-4-17,2.0,96.0,22.0,225.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,53.33,4423.75
2015-4-18,8.0,240.4,20.5,116.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,231.56,4673.82
