时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
宜人贷
2015-3-26,398.0,2487.09,11.47,988.6,398,6.249,no_data_yet,no_data_yet,2031.41,402540.15
2015-3-27,742.0,5439.28,11.68,1069.6,742,7.331,no_data_yet,no_data_yet,5017.51,408758.18
2015-3-28,12.0,74.96,11.75,1290.0,12,6.247,no_data_yet,no_data_yet,388.6,408388.16
2015-3-29,3.0,16.71,11.83,1200.0,3,5.57,no_data_yet,no_data_yet,570.7,407821.01
2015-3-30,161.0,619.28,11.03,740.1,161,3.846,no_data_yet,no_data_yet,186.27,408096.18
2015-3-31,90.0,527.81,11.52,1014.0,90,5.865,no_data_yet,no_data_yet,102.0,408307.69
2015-4-1,877.0,4179.71,11.24,846.2,877,4.766,no_data_yet,no_data_yet,3821.02,412871.08
2015-4-2,871.0,5132.13,11.67,1096.7,871,5.892,no_data_yet,no_data_yet,4718.07,418695.87
2015-4-3,540.0,2802.64,11.49,996.7,540,5.19,no_data_yet,no_data_yet,2339.94,421600.04
2015-4-4,25.0,171.35,12.1,1267.2,25,6.854,no_data_yet,no_data_yet,340.04,421301.98
2015-4-5,18.0,127.69,11.75,1100.0,18,7.094,no_data_yet,no_data_yet,374.25,420953.79
2015-4-6,9.0,56.38,11.83,1080.0,9,6.264,no_data_yet,no_data_yet,421.06,420544.02
2015-4-7,528.0,2290.55,11.25,865.6,528,4.338,no_data_yet,no_data_yet,1777.34,422729.31
2015-4-8,683.0,3047.63,11.33,905.0,683,4.462,no_data_yet,no_data_yet,2496.78,425782.78
2015-4-9,580.0,2812.73,11.47,982.6,580,4.85,no_data_yet,no_data_yet,2208.03,428545.21
2015-4-10,608.0,2968.04,11.42,950.9,608,4.882,no_data_yet,no_data_yet,2330.83,431441.65
2015-4-11,65.0,412.36,11.87,1271.1,65,6.344,no_data_yet,no_data_yet,249.69,431291.02
2015-4-12,29.0,191.51,11.95,1253.8,29,6.604,no_data_yet,no_data_yet,487.33,430849.28
2015-4-13,689.0,3099.24,11.29,889.8,689,4.498,no_data_yet,no_data_yet,2558.08,433952.98
2015-4-14,581.0,2878.9,11.46,984.0,581,4.955,no_data_yet,no_data_yet,2375.55,436885.06
2015-4-15,518.0,2745.35,11.56,1019.9,518,5.3,no_data_yet,no_data_yet,2176.26,439614.32
2015-4-16,557.0,3017.41,11.56,1047.7,557,5.417,no_data_yet,no_data_yet,2465.28,442699.92
2015-4-17,620.0,3219.95,11.58,1044.6,620,5.193,no_data_yet,no_data_yet,2809.83,446176.94
2015-4-18,57.0,372.93,11.82,1209.5,57,6.543,no_data_yet,no_data_yet,2.04,446261.81
2015-4-19,29.0,145.21,11.74,1117.2,29,5.007,no_data_yet,no_data_yet,374.36,445918.04
2015-4-20,551.0,2725.56,11.39,930.7,551,4.947,no_data_yet,no_data_yet,2282.45,448712.86
2015-4-21,668.0,3482.01,11.46,965.2,668,5.213,no_data_yet,no_data_yet,3033.57,452433.16
2015-4-22,553.0,3263.25,11.59,1032.2,553,5.901,no_data_yet,no_data_yet,2698.59,455816.56
2015-4-23,573.0,3885.67,11.68,1085.7,573,6.781,no_data_yet,no_data_yet,3155.51,459823.68
2015-4-24,633.0,4032.97,11.61,1035.1,633,6.371,no_data_yet,no_data_yet,3469.5,464147.43
2015-4-25,69.0,550.76,11.86,1166.1,69,7.982,no_data_yet,no_data_yet,7.44,464280.87
2015-4-26,33.0,185.44,11.71,1134.5,33,5.619,no_data_yet,no_data_yet,415.1,463906.38
2015-4-27,403.0,2571.49,11.61,1026.8,403,6.381,no_data_yet,no_data_yet,2106.07,466549.25
2015-4-28,546.0,3065.93,11.37,925.1,546,5.615,no_data_yet,no_data_yet,2480.08,469621.5
2015-4-29,581.0,3462.26,11.5,967.8,581,5.959,no_data_yet,no_data_yet,3000.99,473331.83
2015-4-30,554.0,3348.82,11.48,980.3,554,6.045,no_data_yet,no_data_yet,2905.61,476919.25
2015-5-1,12.0,77.75,11.67,1095.0,12,6.479,no_data_yet,no_data_yet,451.43,476484.75
2015-5-2,19.0,143.25,11.84,1146.3,19,7.539,no_data_yet,no_data_yet,444.93,476071.26
2015-5-3,17.0,118.73,11.68,1122.4,17,6.984,no_data_yet,no_data_yet,445.94,475651.37
2015-5-4,486.0,2575.41,11.35,917.4,486,5.299,no_data_yet,no_data_yet,2059.13,478221.07
2015-5-5,429.0,2027.42,11.2,844.2,429,4.726,no_data_yet,no_data_yet,1523.68,480111.32
2015-5-6,457.0,3015.85,11.62,1042.6,457,6.599,no_data_yet,no_data_yet,2537.15,483298.96
2015-5-7,409.0,2418.48,11.47,974.4,409,5.913,no_data_yet,no_data_yet,1811.97,485603.29
2015-5-8,372.0,1963.16,11.38,911.1,372,5.277,no_data_yet,no_data_yet,1293.12,487277.73
2015-5-9,122.0,841.57,11.85,1186.2,122,6.898,no_data_yet,no_data_yet,131.98,487598.48
2015-5-10,15.0,131.96,11.53,1068.0,15,8.797,no_data_yet,no_data_yet,620.6,487006.11
2015-5-11,348.0,2118.03,11.53,1013.3,348,6.086,no_data_yet,no_data_yet,1447.04,488897.68
2015-5-12,115.0,696.66,11.58,1036.2,115,6.058,no_data_yet,no_data_yet,14.7,489057.86
2015-5-13,445.0,1544.21,10.95,711.1,445,3.47,no_data_yet,no_data_yet,876.04,490140.87
2015-5-14,1207.0,8368.32,11.7,1087.8,1207,6.933,no_data_yet,no_data_yet,7760.96,499772.09
2015-5-15,737.0,5274.63,11.7,1103.0,737,7.157,no_data_yet,no_data_yet,4611.22,505562.99
2015-5-16,98.0,719.34,11.81,1138.8,98,7.34,no_data_yet,no_data_yet,61.05,505783.78
2015-5-17,17.0,121.9,11.88,1207.1,17,7.171,no_data_yet,no_data_yet,400.63,505412.54
2015-5-18,429.0,2506.95,11.42,949.5,429,5.844,no_data_yet,no_data_yet,2121.35,508050.26
2015-5-19,640.0,3417.13,11.35,919.4,640,5.339,no_data_yet,no_data_yet,2897.08,511607.72
2015-5-20,401.0,1892.75,11.27,882.0,401,4.72,no_data_yet,no_data_yet,1343.4,513299.64
2015-5-21,663.0,4804.55,11.71,1084.9,663,7.247,no_data_yet,no_data_yet,4226.44,518600.62
2015-5-22,243.0,1330.73,11.39,940.0,243,5.476,no_data_yet,no_data_yet,652.93,519513.69
2015-5-23,519.0,3071.59,11.5,987.1,519,5.918,no_data_yet,no_data_yet,2215.45,522367.41
2015-5-24,34.0,279.89,11.93,1196.5,34,8.232,no_data_yet,no_data_yet,420.56,522011.03
2015-5-25,452.0,2714.04,11.5,976.9,452,6.005,no_data_yet,no_data_yet,2153.39,524717.19
2015-5-26,597.0,3480.05,11.49,984.4,597,5.829,no_data_yet,no_data_yet,2873.45,528299.98
2015-5-27,527.0,3450.37,11.57,1020.9,527,6.547,no_data_yet,no_data_yet,2896.25,531925.6
2015-5-28,575.0,3856.94,11.66,1048.7,575,6.708,no_data_yet,no_data_yet,3156.19,535915.12
2015-5-29,333.0,2407.21,11.72,1076.2,333,7.229,no_data_yet,no_data_yet,1828.27,538278.17
2015-5-30,51.0,391.63,11.89,1175.3,51,7.679,no_data_yet,no_data_yet,172.74,538196.86
2015-5-31,137.0,1124.41,11.86,1158.8,137,8.207,no_data_yet,no_data_yet,594.82,539047.15
2015-6-1,319.0,1848.56,11.48,960.9,319,5.795,no_data_yet,no_data_yet,1257.42,540686.37
2015-6-2,476.0,3235.4,11.64,1046.0,476,6.797,no_data_yet,no_data_yet,2668.06,544057.46
2015-6-3,433.0,3198.03,11.63,1037.6,433,7.386,no_data_yet,no_data_yet,2587.2,547343.35
2015-6-4,474.0,3277.39,11.64,1050.0,474,6.914,no_data_yet,no_data_yet,2691.98,550748.19
2015-6-5,563.0,3844.96,11.62,1026.3,563,6.829,no_data_yet,no_data_yet,3264.51,554829.95
2015-6-6,71.0,594.11,11.83,1140.8,71,8.368,no_data_yet,no_data_yet,98.39,554864.69
2015-6-7,24.0,184.26,11.75,1110.0,24,7.678,no_data_yet,no_data_yet,560.73,554344.17
2015-6-8,522.0,3335.14,11.58,1028.3,522,6.389,no_data_yet,no_data_yet,2598.84,557664.12
2015-6-9,589.0,3368.57,11.45,963.0,589,5.719,no_data_yet,no_data_yet,2613.39,560969.11
2015-6-10,406.0,2932.55,11.77,1123.9,406,7.223,no_data_yet,no_data_yet,2188.2,563824.54
2015-6-11,615.0,3447.88,11.5,988.1,615,5.606,no_data_yet,no_data_yet,2742.15,567278.1
2015-6-12,616.0,4390.16,11.7,1090.2,616,7.127,no_data_yet,no_data_yet,3645.33,571907.94
2015-6-13,79.0,662.92,11.94,1239.5,79,8.391,no_data_yet,no_data_yet,217.84,571852.77
2015-6-14,18.0,167.6,12.06,1280.0,18,9.311,no_data_yet,no_data_yet,667.5,571226.39
2015-6-15,645.0,4379.97,11.62,1053.8,645,6.791,no_data_yet,no_data_yet,3702.34,575877.77
2015-6-16,502.0,3363.2,11.59,1018.3,502,6.7,no_data_yet,no_data_yet,2838.55,579423.99
2015-6-17,388.0,2565.96,11.59,1033.1,388,6.613,no_data_yet,no_data_yet,2090.96,582046.53
2015-6-18,351.0,2459.56,11.68,1078.5,351,7.007,no_data_yet,no_data_yet,1809.56,584389.94
2015-6-19,297.0,1947.01,11.54,1015.2,297,6.556,no_data_yet,no_data_yet,1321.5,586115.24
2015-6-20,141.0,1046.65,11.9,1207.7,141,7.423,no_data_yet,no_data_yet,312.31,586672.76
2015-6-21,100.0,741.29,11.79,1150.2,100,7.413,no_data_yet,no_data_yet,13.87,586856.38
2015-6-22,72.0,531.37,11.69,1145.0,72,7.38,no_data_yet,no_data_yet,434.54,586540.2
2015-6-23,412.0,2498.74,11.54,1026.7,412,6.065,no_data_yet,no_data_yet,1790.65,588841.38
2015-6-24,672.0,4467.26,11.64,1071.7,672,6.648,no_data_yet,no_data_yet,3810.42,593605.86
2015-6-25,514.0,3544.29,11.69,1085.6,514,6.896,no_data_yet,no_data_yet,2811.0,597187.23
2015-6-26,500.0,3550.48,11.69,1094.4,500,7.101,no_data_yet,no_data_yet,2876.41,600839.92
2015-6-27,209.0,1771.71,11.92,1192.8,209,8.477,no_data_yet,no_data_yet,941.13,602196.17
2015-6-28,227.0,1738.66,11.92,1204.5,227,7.659,no_data_yet,no_data_yet,1081.61,603683.65
2015-6-29,604.0,4064.98,11.64,1048.7,604,6.73,no_data_yet,no_data_yet,3494.67,608035.6
2015-6-30,382.0,2166.61,11.39,942.4,382,5.672,no_data_yet,no_data_yet,1600.35,610047.62
2015-7-1,342.0,2088.17,11.49,994.7,342,6.106,no_data_yet,no_data_yet,1433.27,611901.11
2015-7-2,408.0,2726.64,11.5,1005.9,408,6.683,no_data_yet,no_data_yet,2052.06,614519.82
2015-7-3,521.0,3810.21,11.6,1037.2,521,7.313,no_data_yet,no_data_yet,3091.24,618423.96
2015-7-4,47.0,380.74,11.82,1210.2,47,8.101,no_data_yet,no_data_yet,313.46,618200.01
2015-7-5,17.0,133.12,11.47,1132.9,17,7.831,no_data_yet,no_data_yet,577.59,617651.1
2015-7-6,447.0,2875.75,11.54,992.2,447,6.433,no_data_yet,no_data_yet,2166.05,620403.73
2015-7-7,697.0,4236.77,11.4,929.4,697,6.079,no_data_yet,no_data_yet,3487.76,624715.78
2015-7-8,689.0,4595.15,11.52,998.0,689,6.669,no_data_yet,no_data_yet,3745.4,629394.43
2015-7-9,540.0,3864.88,11.68,1072.3,540,7.157,no_data_yet,no_data_yet,2989.16,633222.09
2015-7-10,611.0,4110.25,11.56,1025.5,611,6.727,no_data_yet,no_data_yet,3273.15,637366.92
2015-7-11,44.0,357.74,11.76,1125.0,44,8.13,no_data_yet,no_data_yet,465.55,636980.75
2015-7-12,14.0,122.96,11.96,1221.4,14,8.783,no_data_yet,no_data_yet,763.0,636246.89
2015-7-13,510.0,3831.25,11.64,1042.9,510,7.512,no_data_yet,no_data_yet,2931.17,639997.57
2015-7-14,744.0,4860.49,11.5,975.2,744,6.533,no_data_yet,no_data_yet,4022.34,645000.13
2015-7-15,696.0,4380.9,11.48,972.4,696,6.294,no_data_yet,no_data_yet,3557.38,649442.63
2015-7-16,626.0,4154.0,11.52,989.1,626,6.636,no_data_yet,no_data_yet,3514.57,653816.35
2015-7-17,582.0,4158.11,11.67,1066.7,582,7.145,no_data_yet,no_data_yet,3593.76,658303.78
2015-7-18,43.0,323.63,11.79,1188.8,43,7.526,no_data_yet,no_data_yet,408.49,657967.24
2015-7-19,17.0,132.74,11.88,1185.9,17,7.808,no_data_yet,no_data_yet,559.62,657437.01
2015-7-20,460.0,3075.32,11.49,986.5,460,6.685,no_data_yet,no_data_yet,2311.21,660378.22
2015-7-21,714.0,4473.75,11.45,961.8,714,6.266,no_data_yet,no_data_yet,3723.34,664998.95
2015-7-22,325.0,2018.66,11.48,984.2,325,6.211,no_data_yet,no_data_yet,1039.07,666447.37
2015-7-23,749.0,4758.06,11.47,975.2,749,6.353,no_data_yet,no_data_yet,3962.05,671367.73
2015-7-24,370.0,2160.99,11.33,909.7,370,5.841,no_data_yet,no_data_yet,1352.43,673118.9
2015-7-25,23.0,132.37,11.35,978.3,23,5.755,no_data_yet,no_data_yet,717.1,672427.29
2015-7-26,10.0,83.0,11.5,1098.0,10,8.3,no_data_yet,no_data_yet,708.72,671735.15
2015-7-27,223.0,969.41,11.15,818.5,223,4.347,no_data_yet,no_data_yet,87.11,671972.92
2015-7-28,372.0,1572.43,11.04,755.3,372,4.227,no_data_yet,no_data_yet,865.07,673046.64
2015-7-29,317.0,1241.53,10.97,719.4,317,3.916,no_data_yet,no_data_yet,535.41,673743.65
2015-7-30,297.0,1668.19,11.32,920.0,297,5.617,no_data_yet,no_data_yet,1021.39,675077.86
2015-7-31,384.0,2467.16,11.44,961.9,384,6.425,no_data_yet,no_data_yet,1738.23,677303.74
2015-8-1,35.0,247.97,11.67,1054.3,35,7.085,no_data_yet,no_data_yet,522.26,676830.89
2015-8-2,17.0,100.99,11.44,1164.7,17,5.941,no_data_yet,no_data_yet,744.16,676108.67
2015-8-3,386.0,2982.74,11.62,1031.5,386,7.727,no_data_yet,no_data_yet,2279.25,679023.23
2015-8-4,643.0,4313.38,11.42,942.0,643,6.708,no_data_yet,no_data_yet,3600.54,683484.05
2015-8-5,555.0,4232.04,11.62,1034.6,555,7.625,no_data_yet,no_data_yet,3418.73,687789.84
2015-8-6,398.0,3050.51,11.61,1032.5,398,7.665,no_data_yet,no_data_yet,2142.31,690578.32
2015-8-7,554.0,4207.43,11.63,1066.4,554,7.595,no_data_yet,no_data_yet,3191.74,694683.85
2015-8-8,31.0,237.2,11.82,1161.3,31,7.652,no_data_yet,no_data_yet,765.88,693970.94
2015-8-9,13.0,112.77,11.92,1163.1,13,8.675,no_data_yet,no_data_yet,866.85,693128.01
2015-8-10,615.0,4538.49,11.56,1005.1,615,7.38,no_data_yet,no_data_yet,3710.04,697772.46
2015-8-11,757.0,4922.78,11.45,951.6,757,6.503,no_data_yet,no_data_yet,4037.21,702783.66
2015-8-12,597.0,4058.73,11.5,962.4,597,6.799,no_data_yet,no_data_yet,3030.76,706631.45
2015-8-13,477.0,3645.26,11.66,1064.5,477,7.642,no_data_yet,no_data_yet,2632.5,710044.25
2015-8-14,537.0,4088.37,11.65,1044.1,537,7.613,no_data_yet,no_data_yet,3106.72,714010.9
2015-8-15,37.0,332.26,12.07,1245.4,37,8.98,no_data_yet,no_data_yet,454.95,713633.62
2015-8-16,20.0,185.08,11.83,1170.0,20,9.254,no_data_yet,no_data_yet,514.07,713161.69
2015-8-17,489.0,3095.12,11.43,958.5,489,6.329,no_data_yet,no_data_yet,2353.98,716134.77
