时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
富达亚金融
2015-6-9,1.0,30.0,16.0,30.0,1,30.0,no_data_yet,no_data_yet,30.0,30.4
2015-6-10,1.0,50.0,16.0,30.0,1,50.0,no_data_yet,no_data_yet,50.0,81.07
2015-6-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,50.0,81.07
2015-6-12,1.0,30.0,16.0,30.0,1,30.0,no_data_yet,no_data_yet,30.0,111.47
2015-6-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,30.0,111.47
2015-6-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,30.0,111.47
2015-6-15,1.0,25.0,16.0,30.0,1,25.0,no_data_yet,no_data_yet,25.0,136.8
2015-6-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,25.0,136.8
2015-6-17,2.0,100.0,16.0,24.5,2,50.0,no_data_yet,no_data_yet,100.0,237.88
2015-6-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,100.0,237.88
2015-6-19,1.0,50.0,16.0,19.0,1,50.0,no_data_yet,no_data_yet,50.0,288.3
2015-6-20,1.0,30.0,16.0,30.0,1,30.0,no_data_yet,no_data_yet,30.0,318.7
2015-6-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,30.0,318.7
2015-6-22,2.0,30.0,18.0,90.0,2,15.0,no_data_yet,no_data_yet,30.0,350.05
2015-6-23,2.0,65.0,17.0,60.0,2,32.5,no_data_yet,no_data_yet,65.0,416.39
2015-6-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,65.0,416.39
2015-6-25,2.0,65.0,16.0,24.5,2,32.5,no_data_yet,no_data_yet,65.0,482.01
2015-6-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,65.0,482.01
2015-6-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,65.0,482.01
2015-6-28,1.0,50.0,16.0,30.0,1,50.0,no_data_yet,no_data_yet,50.0,532.67
