时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
小牛在线
2015-3-26,9.0,718.8,12.45,172.2,8,89.85,no_data_yet,no_data_yet,59.79,43522.72
2015-3-27,12.0,717.1,12.15,150.8,10,71.71,no_data_yet,no_data_yet,237.29,43265.31
2015-3-28,10.0,555.0,11.94,144.0,10,55.5,no_data_yet,no_data_yet,162.99,43171.8
2015-3-29,6.0,424.1,11.44,92.5,5,84.82,no_data_yet,no_data_yet,0.5,42958.2
2015-3-30,6.0,441.9,12.48,151.7,5,88.38,no_data_yet,no_data_yet,208.68,42766.31
2015-3-31,17.0,1107.78,12.01,143.8,16,69.236,no_data_yet,no_data_yet,773.78,42928.24
2015-4-1,11.0,914.9,11.67,118.6,10,91.49,no_data_yet,no_data_yet,678.01,43296.9
2015-4-2,12.0,869.3,11.43,99.2,10,86.93,no_data_yet,no_data_yet,524.12,43515.44
2015-4-3,14.0,1186.6,10.83,56.4,8,148.325,no_data_yet,no_data_yet,831.66,44092.55
2015-4-4,6.0,493.2,11.18,80.8,6,82.2,no_data_yet,no_data_yet,224.49,44168.78
2015-4-5,6.0,386.5,12.13,158.3,5,77.3,no_data_yet,no_data_yet,328.21,43638.4
2015-4-6,9.0,599.0,11.18,77.2,6,99.833,no_data_yet,no_data_yet,8.36,43483.97
2015-4-7,14.0,920.0,11.63,111.8,12,76.667,no_data_yet,no_data_yet,105.57,43292.93
2015-4-8,19.0,1113.6,11.5,103.7,14,79.543,no_data_yet,no_data_yet,756.43,43683.95
2015-4-9,12.0,718.6,11.6,106.3,10,71.86,no_data_yet,no_data_yet,164.95,43548.14
2015-4-10,16.0,1122.0,11.33,102.8,10,112.2,no_data_yet,no_data_yet,891.24,44145.83
2015-4-11,6.0,380.6,11.43,83.3,6,63.433,no_data_yet,no_data_yet,118.97,44107.39
2015-4-12,7.0,500.0,11.83,137.1,6,83.333,no_data_yet,no_data_yet,76.46,43935.12
2015-4-13,9.0,672.0,10.92,63.3,7,96.0,no_data_yet,no_data_yet,76.77,43865.13
2015-4-14,11.0,575.0,11.45,92.7,9,63.889,no_data_yet,no_data_yet,349.11,43971.9
2015-4-15,12.0,703.0,11.85,131.7,10,70.3,no_data_yet,no_data_yet,521.89,44233.32
2015-4-16,7.0,640.0,11.89,134.3,6,106.667,no_data_yet,no_data_yet,97.48,43800.17
2015-4-17,22.0,1604.0,11.36,100.0,13,123.385,no_data_yet,no_data_yet,1176.22,44502.98
2015-4-18,13.0,970.0,11.11,85.0,10,97.0,no_data_yet,no_data_yet,339.77,44639.17
2015-4-19,10.0,811.0,11.36,88.5,9,90.111,no_data_yet,no_data_yet,336.32,44728.61
2015-4-20,18.0,1090.0,11.44,98.6,10,109.0,no_data_yet,no_data_yet,434.58,44716.72
2015-4-21,20.0,1287.5,11.51,105.8,13,99.038,no_data_yet,no_data_yet,826.14,45086.83
2015-4-22,15.0,913.0,11.24,75.7,10,91.3,no_data_yet,no_data_yet,439.41,45255.57
2015-4-23,21.0,1141.0,11.54,107.4,17,67.118,no_data_yet,no_data_yet,193.18,45139.02
2015-4-24,17.0,1443.0,11.48,100.9,10,144.3,no_data_yet,no_data_yet,1235.56,45880.56
2015-4-25,7.0,525.0,11.42,99.3,7,75.0,no_data_yet,no_data_yet,122.8,45804.81
2015-4-26,4.0,400.0,11.71,120.0,4,100.0,no_data_yet,no_data_yet,227.48,45379.03
