时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
小赢理财
2015-3-26,87.0,632.89,7.17,75.3,81,7.813,no_data_yet,no_data_yet,2293.22,37392.13
2015-3-27,78.0,416.22,7.07,61.8,60,6.937,no_data_yet,no_data_yet,597.96,36800.7
2015-3-28,93.0,1049.44,7.07,52.4,63,16.658,no_data_yet,no_data_yet,624.86,37440.93
2015-3-29,11.0,54.61,7.05,59.8,11,4.965,no_data_yet,no_data_yet,495.99,36945.64
2015-3-30,116.0,872.6,7.12,70.6,108,8.08,no_data_yet,no_data_yet,824.79,37785.13
2015-3-31,202.0,1965.35,7.14,56.8,137,14.346,no_data_yet,no_data_yet,1861.75,39674.39
2015-4-1,81.0,583.52,6.99,52.9,71,8.219,no_data_yet,no_data_yet,233.95,39913.44
2015-4-2,52.0,594.03,7.13,68.0,42,14.144,no_data_yet,no_data_yet,243.02,40162.77
2015-4-3,104.0,735.43,7.08,63.4,82,8.969,no_data_yet,no_data_yet,358.96,40533.5
2015-4-4,25.0,115.65,7.2,79.6,15,7.71,no_data_yet,no_data_yet,308.12,40227.64
2015-4-5,6.0,50.05,7.33,97.5,6,8.342,no_data_yet,no_data_yet,832.25,39396.3
2015-4-6,26.0,157.93,7.06,57.5,26,6.074,no_data_yet,no_data_yet,45.73,39443.76
2015-4-7,186.0,2049.87,7.15,74.5,165,12.423,no_data_yet,no_data_yet,1783.43,41255.58
2015-4-8,92.0,1078.82,7.06,58.4,73,14.778,no_data_yet,no_data_yet,316.68,41581.71
2015-4-9,116.0,893.06,7.0,51.3,103,8.67,no_data_yet,no_data_yet,90.45,41681.97
2015-4-10,109.0,1063.85,7.01,52.6,93,11.439,no_data_yet,no_data_yet,68.29,41628.11
2015-4-11,26.0,297.25,7.12,68.4,22,13.511,no_data_yet,no_data_yet,86.71,41551.87
2015-4-12,16.0,302.91,6.99,50.6,14,21.636,no_data_yet,no_data_yet,39.1,41596.92
2015-4-13,169.0,2665.74,8.54,15.0,128,20.826,no_data_yet,no_data_yet,2543.73,44154.25
2015-4-14,101.0,1997.76,9.56,20.5,89,22.447,no_data_yet,no_data_yet,1454.34,45621.15
2015-4-15,41.0,845.14,10.0,14.5,37,22.842,no_data_yet,no_data_yet,444.61,46069.1
2015-4-16,78.0,779.02,7.01,48.8,67,11.627,no_data_yet,no_data_yet,136.72,46210.35
2015-4-17,152.0,1221.58,6.97,41.2,128,9.544,no_data_yet,no_data_yet,557.25,46777.95
2015-4-18,30.0,439.21,7.09,61.2,26,16.893,no_data_yet,no_data_yet,327.82,46452.49
2015-4-19,35.0,239.77,7.15,69.3,34,7.052,no_data_yet,no_data_yet,356.76,46097.81
2015-4-20,125.0,1026.33,7.15,69.4,101,10.162,no_data_yet,no_data_yet,891.59,47001.29
2015-4-21,88.0,777.75,7.19,76.6,82,9.485,no_data_yet,no_data_yet,586.24,47599.72
2015-4-22,153.0,1471.11,7.05,56.9,139,10.584,no_data_yet,no_data_yet,110.2,47726.45
2015-4-23,117.0,890.97,7.08,58.9,108,8.25,no_data_yet,no_data_yet,242.6,47493.54
2015-4-24,136.0,1009.6,7.09,62.2,119,8.484,no_data_yet,no_data_yet,334.44,47170.99
2015-4-25,61.0,274.51,7.08,59.9,54,5.084,no_data_yet,no_data_yet,977.95,46197.07
2015-4-26,59.0,355.68,7.01,51.3,52,6.84,no_data_yet,no_data_yet,275.87,45925.85
2015-4-27,115.0,725.26,7.1,62.1,98,7.401,no_data_yet,no_data_yet,457.24,46390.5
2015-4-28,180.0,1210.27,7.25,84.0,154,7.859,no_data_yet,no_data_yet,1189.97,45219.52
2015-4-29,62.0,908.5,7.28,87.9,49,18.541,no_data_yet,no_data_yet,1287.85,43943.43
2015-4-30,92.0,811.23,7.18,71.3,77,10.535,no_data_yet,no_data_yet,682.66,43271.1
2015-5-1,49.0,346.28,7.36,97.9,45,7.695,no_data_yet,no_data_yet,640.54,42635.75
2015-5-2,99.0,933.51,7.0,50.4,85,10.982,no_data_yet,no_data_yet,494.08,43138.67
2015-5-3,37.0,263.5,7.05,58.9,32,8.234,no_data_yet,no_data_yet,303.59,42837.93
2015-5-4,57.0,1219.26,6.93,36.5,54,22.579,no_data_yet,no_data_yet,1006.16,43849.48
2015-5-5,363.0,3275.11,6.97,47.4,297,11.027,no_data_yet,no_data_yet,3059.3,46940.53
2015-5-6,300.0,5074.6,6.85,31.4,252,20.137,no_data_yet,no_data_yet,4685.07,51647.91
2015-5-7,63.0,608.71,7.16,73.1,59,10.317,no_data_yet,no_data_yet,685.41,50969.07
2015-5-8,132.0,1521.15,7.01,51.8,126,12.073,no_data_yet,no_data_yet,888.21,51870.61
2015-5-9,66.0,394.84,6.87,29.0,56,7.051,no_data_yet,no_data_yet,358.46,51514.05
2015-5-10,36.0,366.39,6.9,32.6,36,10.178,no_data_yet,no_data_yet,308.11,51207.39
2015-5-11,136.0,1658.85,7.02,48.9,127,13.062,no_data_yet,no_data_yet,1484.78,52708.05
2015-5-12,160.0,1357.33,6.95,40.5,140,9.695,no_data_yet,no_data_yet,1064.57,53781.72
2015-5-13,147.0,968.07,7.03,55.5,131,7.39,no_data_yet,no_data_yet,47.78,53840.49
2015-5-14,147.0,1096.22,6.97,48.6,124,8.84,no_data_yet,no_data_yet,46.91,53899.64
2015-5-15,127.0,1288.33,7.02,54.6,106,12.154,no_data_yet,no_data_yet,160.17,54073.33
2015-5-16,30.0,310.28,7.09,69.9,28,11.081,no_data_yet,no_data_yet,510.89,53566.18
2015-5-17,37.0,296.98,6.96,52.3,35,8.485,no_data_yet,no_data_yet,101.51,53467.14
2015-5-18,106.0,1772.89,6.96,42.9,78,22.729,no_data_yet,no_data_yet,1768.41,55262.15
2015-5-19,55.0,1324.15,7.04,53.3,55,24.075,no_data_yet,no_data_yet,1936.58,53335.76
2015-5-20,366.0,6340.74,6.9,35.9,308,20.587,no_data_yet,no_data_yet,4483.95,57866.14
2015-5-21,70.0,625.24,7.04,54.2,64,9.769,no_data_yet,no_data_yet,741.62,57130.88
2015-5-22,282.0,1797.82,6.96,48.5,229,7.851,no_data_yet,no_data_yet,888.84,58041.62
2015-5-23,46.0,203.49,7.47,116.0,46,4.424,no_data_yet,no_data_yet,769.95,57276.59
2015-5-24,36.0,183.9,7.56,128.2,35,5.254,no_data_yet,no_data_yet,301.89,56979.7
2015-5-25,150.0,1408.18,6.97,44.8,112,12.573,no_data_yet,no_data_yet,1404.07,58396.22
2015-5-26,86.0,991.79,7.22,79.6,68,14.585,no_data_yet,no_data_yet,138.2,58545.43
2015-5-27,135.0,936.85,7.0,50.9,123,7.617,no_data_yet,no_data_yet,31.6,58586.77
2015-5-28,115.0,872.44,7.02,51.2,104,8.389,no_data_yet,no_data_yet,287.08,58880.86
2015-5-29,113.0,1250.17,6.92,41.4,101,12.378,no_data_yet,no_data_yet,483.15,59370.64
2015-5-30,82.0,601.0,7.16,73.7,68,8.838,no_data_yet,no_data_yet,1003.66,58373.07
2015-5-31,15.0,115.14,7.51,122.9,12,9.595,no_data_yet,no_data_yet,406.21,57968.27
2015-6-1,65.0,1445.47,6.89,31.1,53,27.273,no_data_yet,no_data_yet,1004.11,58978.68
2015-6-2,84.0,967.42,7.11,68.7,72,13.436,no_data_yet,no_data_yet,2181.75,56807.96
2015-6-3,118.0,1282.02,6.95,44.2,89,14.405,no_data_yet,no_data_yet,1004.87,55812.1
2015-6-4,86.0,769.88,7.09,64.0,75,10.265,no_data_yet,no_data_yet,1146.0,54671.99
2015-6-5,114.0,1506.71,6.96,46.6,101,14.918,no_data_yet,no_data_yet,374.03,55058.9
2015-6-6,28.0,294.84,7.07,61.3,23,12.819,no_data_yet,no_data_yet,717.3,54343.7
2015-6-7,23.0,290.91,7.17,70.3,22,13.223,no_data_yet,no_data_yet,931.61,53414.67
2015-6-8,424.0,3027.14,6.94,37.4,233,12.992,no_data_yet,no_data_yet,2845.54,56280.45
2015-6-9,187.0,1751.44,7.03,52.3,129,13.577,no_data_yet,no_data_yet,1039.04,57330.67
2015-6-10,110.0,1041.76,7.25,87.3,88,11.838,no_data_yet,no_data_yet,263.23,57606.51
2015-6-11,269.0,3134.22,6.95,42.3,166,18.881,no_data_yet,no_data_yet,2560.97,60190.51
2015-6-12,141.0,1614.17,7.3,95.2,131,12.322,no_data_yet,no_data_yet,915.14,61123.9
2015-6-13,99.0,797.58,7.19,75.5,67,11.904,no_data_yet,no_data_yet,499.35,60631.44
2015-6-14,6.0,26.0,7.87,183.0,6,4.333,no_data_yet,no_data_yet,1090.65,59541.14
2015-6-15,103.0,1359.2,7.14,53.9,65,20.911,no_data_yet,no_data_yet,964.71,60516.81
2015-6-16,58.0,820.75,7.56,135.1,53,15.486,no_data_yet,no_data_yet,834.5,59697.6
2015-6-17,236.0,3039.8,10.41,47.0,198,15.353,no_data_yet,no_data_yet,467.45,60195.84
2015-6-18,119.0,2044.14,10.25,69.0,112,18.251,no_data_yet,no_data_yet,755.21,59469.07
2015-6-19,154.0,1720.54,10.42,46.6,137,12.559,no_data_yet,no_data_yet,514.98,60001.17
2015-6-20,17.0,162.3,7.73,159.5,17,9.547,no_data_yet,no_data_yet,688.37,59314.95
2015-6-21,22.0,402.74,7.62,142.6,19,21.197,no_data_yet,no_data_yet,487.18,58841.49
2015-6-22,9.0,112.46,8.42,257.6,9,12.496,no_data_yet,no_data_yet,209.03,58636.92
2015-6-23,480.0,5052.4,6.99,51.3,299,16.898,no_data_yet,no_data_yet,4329.32,63041.18
2015-6-24,1221.0,11908.66,7.16,62.8,655,18.181,no_data_yet,no_data_yet,10470.98,73682.55
2015-6-25,217.0,2845.68,7.09,64.0,181,15.722,no_data_yet,no_data_yet,1597.11,75328.28
2015-6-26,202.0,1860.36,7.14,75.3,168,11.074,no_data_yet,no_data_yet,830.11,76200.98
2015-6-27,36.0,800.06,8.37,254.2,27,29.632,no_data_yet,no_data_yet,952.11,75295.21
2015-6-28,57.0,430.2,8.79,326.1,49,8.78,no_data_yet,no_data_yet,473.37,74852.72
2015-6-29,492.0,12098.64,8.25,229.6,229,52.832,no_data_yet,no_data_yet,11623.14,87295.65
2015-6-30,801.0,13221.72,7.83,149.6,440,30.049,no_data_yet,no_data_yet,12750.01,100732.28
2015-7-1,295.0,2664.45,7.35,108.6,209,12.749,no_data_yet,no_data_yet,1264.38,102029.28
2015-7-2,257.0,2728.15,7.37,106.8,193,14.135,no_data_yet,no_data_yet,491.82,102554.96
2015-7-3,220.0,2241.28,7.44,112.2,169,13.262,no_data_yet,no_data_yet,1160.12,103741.54
2015-7-4,73.0,374.38,7.88,191.7,69,5.426,no_data_yet,no_data_yet,954.92,102793.0
2015-7-5,105.0,773.65,8.02,197.5,80,9.671,no_data_yet,no_data_yet,31.31,102838.28
2015-7-6,219.0,1567.61,7.5,126.6,187,8.383,no_data_yet,no_data_yet,911.03,103772.35
2015-7-7,356.0,1955.7,7.6,113.9,200,9.779,no_data_yet,no_data_yet,1342.95,105155.59
2015-7-8,298.0,1677.15,7.91,149.0,178,9.422,no_data_yet,no_data_yet,849.41,104358.09
2015-7-9,262.0,1607.13,7.73,145.9,169,9.51,no_data_yet,no_data_yet,600.59,105007.3
2015-7-10,208.0,1670.77,7.64,137.2,147,11.366,no_data_yet,no_data_yet,917.2,105970.92
2015-7-11,32.0,500.59,7.75,137.8,20,25.03,no_data_yet,no_data_yet,938.47,105048.7
2015-7-12,37.0,232.15,7.95,170.8,25,9.286,no_data_yet,no_data_yet,248.01,104809.15
2015-7-13,138.0,765.23,7.19,78.7,119,6.431,no_data_yet,no_data_yet,504.6,105328.72
2015-7-14,215.0,1003.69,8.04,205.2,167,6.01,no_data_yet,no_data_yet,434.85,105792.39
2015-7-15,211.0,1529.18,7.72,155.7,162,9.439,no_data_yet,no_data_yet,70.43,105770.79
2015-7-16,402.0,4864.9,7.4,90.6,242,20.103,no_data_yet,no_data_yet,3874.62,109725.33
2015-7-17,133.0,2160.5,7.65,148.8,111,19.464,no_data_yet,no_data_yet,514.87,110339.29
2015-7-18,28.0,240.21,8.71,313.7,27,8.897,no_data_yet,no_data_yet,2362.51,107980.54
2015-7-19,21.0,47.07,8.64,304.0,21,2.241,no_data_yet,no_data_yet,1420.44,106562.23
2015-7-20,117.0,947.64,7.11,71.7,112,8.461,no_data_yet,no_data_yet,604.96,107178.01
2015-7-21,80.0,509.4,7.2,78.3,72,7.075,no_data_yet,no_data_yet,54.77,107240.68
2015-7-22,127.0,1531.4,7.88,188.4,108,14.18,no_data_yet,no_data_yet,1430.15,108703.23
2015-7-23,135.0,1434.83,7.32,101.3,113,12.698,no_data_yet,no_data_yet,643.05,108088.54
2015-7-24,163.0,1240.23,7.36,106.1,140,8.859,no_data_yet,no_data_yet,1084.22,107030.92
2015-7-25,33.0,260.1,8.36,259.3,29,8.969,no_data_yet,no_data_yet,1201.3,105840.6
2015-7-26,34.0,565.89,8.12,222.9,26,21.765,no_data_yet,no_data_yet,216.36,105642.31
2015-7-27,133.0,1248.67,7.31,100.3,114,10.953,no_data_yet,no_data_yet,1072.23,106749.55
2015-7-28,111.0,1214.91,7.4,111.4,96,12.655,no_data_yet,no_data_yet,910.58,107696.79
2015-7-29,325.0,4179.77,7.87,165.7,272,15.367,no_data_yet,no_data_yet,1094.19,108944.18
2015-7-30,111.0,1525.34,7.24,88.0,94,16.227,no_data_yet,no_data_yet,57.44,109037.86
2015-7-31,127.0,1276.43,7.45,121.6,96,13.296,no_data_yet,no_data_yet,319.0,109382.35
2015-8-1,6.0,95.0,7.77,160.3,6,15.833,no_data_yet,no_data_yet,835.5,108549.76
2015-8-2,31.0,334.51,8.43,269.5,28,11.947,no_data_yet,no_data_yet,285.62,108273.37
