时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
希望金融
2015-3-26,2.0,55.0,8.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,55.0,385.07
2015-3-27,2.0,80.0,8.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,80.0,466.13
2015-3-28,1.0,20.0,8.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,20.0,486.4
2015-3-29,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,20.0,486.4
2015-3-30,2.0,110.0,8.25,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,110.0,599.37
2015-3-31,2.0,70.0,8.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,70.0,670.3
2015-4-1,2.0,30.0,8.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,30.0,700.7
2015-4-2,2.0,90.0,8.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,90.0,791.9
2015-4-3,2.0,80.0,8.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,80.0,872.97
2015-4-4,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,80.0,872.97
2015-4-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,80.0,872.97
2015-4-6,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,80.0,872.97
2015-4-7,2.0,40.0,8.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,40.0,913.5
2015-4-8,1.0,20.0,8.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,20.0,933.77
2015-4-9,2.0,80.0,8.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,80.0,1014.83
2015-4-10,2.0,50.0,8.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,50.0,1065.5
2015-4-11,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,50.0,1065.5
2015-4-12,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,50.0,1065.5
2015-4-13,2.0,200.0,8.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,200.0,1268.17
2015-4-14,1.0,10.0,8.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.0,1278.3
2015-4-15,2.0,100.0,7.53,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,100.0,1379.26
2015-4-16,3.0,140.0,8.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,140.0,1521.12
2015-4-17,2.0,60.0,8.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,60.0,1581.92
2015-4-18,1.0,30.0,8.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,30.0,1612.32
2015-4-19,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,30.0,1612.32
2015-4-20,3.0,115.0,7.65,46.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,115.0,1728.38
2015-4-21,3.0,145.0,7.64,46.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,145.0,1874.88
2015-4-22,3.0,133.0,7.29,33.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,133.0,2008.68
2015-4-23,5.0,231.5,7.6,46.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,231.5,2242.56
2015-4-24,2.0,80.0,8.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,80.0,2323.62
2015-4-25,4.0,200.0,8.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,200.0,2526.29
2015-4-26,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,200.0,2526.29
2015-4-27,3.0,110.0,8.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,110.0,2637.76
2015-4-28,4.0,143.0,7.7,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,143.0,2781.94
