时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
广州e贷
2015-3-26,3.0,90.0,12.0,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,90.0,4427.07
2015-3-27,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,87.63,4339.44
2015-3-28,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,66.75,4272.69
2015-3-29,1.0,1500.0,11.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1433.33,5788.52
2015-3-30,1.0,35.0,12.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,97.13,5692.09
2015-3-31,2.0,60.0,12.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,23.35,5716.9
2015-4-1,3.0,153.75,12.73,410.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,77.27,5816.16
2015-4-2,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,21.55,5794.61
2015-4-3,2.0,150.0,12.5,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,149.39,5949.71
2015-4-4,1.0,25.0,14.0,330.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,24.8,5977.72
2015-4-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,76.26,5901.46
2015-4-6,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,25.8,5875.67
2015-4-7,2.0,60.0,13.0,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,59.45,5938.37
2015-4-8,2.0,30.8,13.95,600.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,30.64,5972.73
2015-4-9,2.0,140.0,13.5,210.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,34.04,6015.15
2015-4-10,3.0,295.0,11.5,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,294.24,6313.55
2015-4-11,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,177.07,6136.48
2015-4-12,1.0,70.0,11.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,34.19,6171.31
2015-4-13,3.0,140.0,12.5,160.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,107.91,6283.32
2015-4-14,2.0,65.0,13.0,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,17.7,6269.14
2015-4-15,1.0,100.0,11.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,13.0,6257.06
2015-4-16,5.0,235.0,12.2,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,117.26,6377.77
2015-4-17,2.0,70.0,13.75,255.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,7.5,6391.21
2015-4-18,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,26.61,6364.6
2015-4-19,1.0,100.0,11.5,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,69.7,6436.22
2015-4-20,3.0,115.0,12.17,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,43.04,6481.53
2015-4-21,1.0,200.0,11.8,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,194.56,6678.06
2015-4-22,2.0,90.0,13.75,195.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,64.12,6745.23
2015-4-23,2.0,70.0,13.0,165.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,23.42,6771.55
2015-4-24,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,12.48,6759.07
2015-4-25,1.0,35.0,7.21,3600.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.89,6773.42
2015-4-26,2.0,150.0,12.75,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,148.15,6925.37
2015-4-27,3.0,400.0,13.83,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,398.85,7336.77
2015-4-28,2.0,550.0,13.5,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,535.18,7884.32
2015-4-29,1.0,150.0,12.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,148.71,8034.53
2015-4-30,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,66.91,7967.62
2015-5-1,2.0,60.0,14.25,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,57.75,8031.27
2015-5-2,1.0,50.0,14.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,6.36,8026.66
2015-5-3,1.0,100.0,13.5,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,97.85,8126.75
2015-5-4,3.0,45.0,14.17,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,24.51,8153.37
2015-5-5,4.0,95.0,15.38,322.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,94.43,8256.19
2015-5-6,2.0,65.0,14.25,135.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,44.43,8303.06
2015-5-7,2.0,150.0,13.75,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,148.8,8457.65
2015-5-8,5.0,160.0,14.1,162.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,159.5,8624.04
2015-5-9,2.0,78.0,11.86,1950.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,76.45,8733.39
2015-5-10,1.0,70.0,11.5,450.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,183.53,8559.93
2015-5-11,3.0,225.0,15.67,250.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,224.66,8795.37
2015-5-12,2.0,130.0,15.0,195.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,58.87,8861.03
2015-5-13,2.0,130.0,15.0,195.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,16.82,8884.64
2015-5-14,4.0,437.0,12.3,1005.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,409.37,9341.02
2015-5-15,11.0,568.0,9.91,2132.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,380.09,9928.98
2015-5-16,2.0,62.0,7.21,3600.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,156.93,9816.75
2015-5-17,3.0,123.0,7.21,3600.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,60.28,9965.72
2015-5-18,3.0,220.0,14.5,170.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,218.62,10192.87
2015-5-19,3.0,107.0,12.9,1360.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,106.04,10348.65
2015-5-20,2.0,120.0,13.5,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,57.55,10409.5
2015-5-21,1.0,65.0,7.21,3600.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,157.35,10299.01
2015-5-22,2.0,60.0,15.75,240.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,58.39,10362.93
2015-5-23,1.0,150.0,13.5,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,18.12,10384.42
2015-5-24,1.0,100.0,13.5,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,97.62,10485.41
2015-5-25,2.0,103.0,11.86,1965.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,102.31,10627.8
2015-5-26,3.0,230.0,12.5,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,186.58,10817.39
2015-5-27,2.0,80.0,14.25,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,125.38,10697.05
2015-5-28,1.0,33.0,7.21,3600.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,11.99,10732.83
2015-5-29,4.0,245.0,13.5,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,47.21,10787.44
2015-5-30,1.0,100.0,13.5,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,48.71,10838.4
2015-5-31,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3.0,10835.4
2015-6-1,1.0,20.0,11.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,18.6,10854.18
2015-6-2,2.0,80.0,13.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,66.72,10924.31
2015-6-3,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.82,10923.48
2015-6-4,2.0,1000.0,12.08,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,998.27,11936.88
2015-6-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,16.12,11920.77
2015-6-6,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2.93,11917.84
2015-6-7,1.0,300.0,12.8,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,197.74,12125.18
2015-6-8,1.0,50.0,11.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,47.67,12173.31
2015-6-9,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,21.9,12151.4
2015-6-10,3.0,75.0,14.0,230.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,71.99,12227.33
2015-6-11,2.0,25.0,13.1,225.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,22.97,12251.88
2015-6-12,2.0,150.0,12.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,136.32,12389.69
2015-6-13,1.0,15.0,15.2,420.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,107.38,12284.97
2015-6-14,1.0,150.0,12.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,55.61,12230.86
2015-6-15,1.0,20.0,15.0,330.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,12.24,12221.38
2015-6-16,3.0,135.0,13.1,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,117.14,12342.19
2015-6-17,5.0,210.0,13.8,162.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,56.2,12406.97
2015-6-18,4.0,235.0,13.68,172.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,133.08,12549.28
2015-6-19,4.0,200.0,14.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,66.83,12624.94
2015-6-20,1.0,100.0,12.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,99.42,12725.37
2015-6-21,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,82.38,12642.98
2015-6-22,2.0,140.0,13.0,255.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,112.71,12770.42
2015-6-23,2.0,120.0,14.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,116.49,12890.85
2015-6-24,1.0,30.0,13.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,28.23,12919.73
2015-6-25,6.0,270.0,14.45,200.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,105.36,12830.67
2015-6-26,5.0,550.0,14.98,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,455.71,13309.04
2015-6-27,2.0,100.0,17.0,330.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,516.21,12808.41
2015-6-28,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,172.49,12635.92
2015-6-29,2.0,530.0,15.1,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,528.08,13178.4
2015-6-30,4.0,265.0,13.9,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,242.0,13431.54
2015-7-1,1.0,110.0,14.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,68.42,13502.52
2015-7-2,3.0,160.0,14.2,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,74.08,13433.24
2015-7-3,2.0,130.0,14.25,195.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,109.18,13551.25
2015-7-4,3.0,190.0,14.23,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,321.79,13240.87
2015-7-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,50.97,13189.9
2015-7-6,3.0,248.0,12.5,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,195.07,13387.56
2015-7-7,4.0,340.0,13.58,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,335.54,13739.19
2015-7-8,4.0,330.0,13.58,82.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,177.21,13926.7
2015-7-9,4.0,220.0,13.8,135.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,218.3,14152.45
2015-7-10,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,53.83,14098.63
2015-7-11,2.0,170.0,13.05,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,47.72,14149.76
2015-7-12,2.0,100.0,14.2,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,180.08,13975.61
2015-7-13,3.0,280.0,14.03,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,258.58,14242.37
2015-7-14,3.0,110.0,14.6,190.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,45.11,14203.38
2015-7-15,9.0,530.0,13.62,103.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,512.82,14732.55
2015-7-16,3.0,165.0,13.6,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,60.9,14799.51
2015-7-17,6.0,403.0,11.39,1260.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,278.38,15192.16
2015-7-18,6.0,272.0,10.91,1890.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,88.53,15386.84
2015-7-19,4.0,114.0,7.21,3600.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,40.06,15428.98
2015-7-20,6.0,344.0,11.92,1310.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,242.42,15751.78
2015-7-21,1.0,100.0,12.5,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,88.45,15841.27
2015-7-22,5.0,400.0,13.26,66.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,246.41,16095.97
2015-7-23,2.0,28.2,14.13,585.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,76.58,16025.57
2015-7-24,2.0,120.0,13.05,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,102.91,16130.2
2015-7-25,8.0,281.0,8.85,2501.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,126.3,16401.24
2015-7-26,4.0,241.0,7.21,2970.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,94.05,16450.67
2015-7-27,2.0,378.0,13.05,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,362.01,16818.46
2015-7-28,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1.8,16816.66
2015-7-29,4.0,167.0,14.12,555.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,58.45,16895.92
2015-7-30,1.0,300.0,12.5,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,104.19,17003.24
2015-7-31,10.0,492.0,13.87,507.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,439.52,17488.34
2015-8-1,1.0,30.0,12.5,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,6.53,17495.18
2015-8-2,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,92.1,17403.09
2015-8-3,1.0,15.0,14.26,1080.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,663.97,16745.53
