时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
当天金融在线
2015-3-28,1.0,300.0,12.0,90.0,1,300.0,no_data_yet,no_data_yet,199.0,4918.72
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,11.04,4907.68
2015-3-30,1.0,300.0,12.0,90.0,1,300.0,no_data_yet,no_data_yet,300.0,5216.68
2015-3-31,3.0,750.0,11.67,86.0,1,750.0,no_data_yet,no_data_yet,748.04,5986.03
2015-4-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,748.04,5986.03
2015-4-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.63,5984.41
2015-4-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.0,5983.41
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.48,5982.93
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.96,5981.97
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.13,5980.85
2015-4-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,198.97,5781.88
2015-4-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.92,5778.96
2015-4-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.46,5776.5
2015-4-10,1.0,400.0,11.5,90.0,1,400.0,no_data_yet,no_data_yet,400.0,6188.0
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,400.0,6188.0
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.13,6186.88
2015-4-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.13,6186.88
2015-4-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.13,6186.88
2015-4-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.96,6185.92
2015-4-16,1.0,200.0,11.5,73.0,1,200.0,no_data_yet,no_data_yet,194.17,6384.69
2015-4-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,194.17,6384.69
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,101.0,6283.69
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.17,6281.52
2015-4-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.17,6281.52
2015-4-21,1.0,200.0,12.0,90.0,1,200.0,no_data_yet,no_data_yet,199.04,6486.56
2015-4-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.96,6485.6
2015-4-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.96,6481.64
2015-4-24,1.0,150.0,12.0,90.0,1,150.0,no_data_yet,no_data_yet,149.0,6635.14
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,149.0,6635.14
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,149.0,6635.14
2015-4-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,183.49,6451.65
2015-4-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.96,6450.69
2015-4-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.96,6450.69
2015-4-30,1.0,200.0,12.0,90.0,1,200.0,no_data_yet,no_data_yet,198.04,6654.74
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,198.04,6654.74
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.63,6653.11
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,101.0,6552.11
2015-5-4,1.0,300.0,11.5,55.0,1,300.0,no_data_yet,no_data_yet,196.27,6753.58
2015-5-5,1.0,90.0,11.5,77.0,1,90.0,no_data_yet,no_data_yet,89.04,6844.81
2015-5-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,114.43,6730.38
2015-5-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,114.43,6730.38
2015-5-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,102.92,6627.46
2015-5-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.46,6625.01
2015-5-10,1.0,200.0,12.5,180.0,1,200.0,no_data_yet,no_data_yet,200.0,6837.51
2015-5-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,200.0,6837.51
2015-5-12,2.0,312.0,10.75,90.0,1,312.0,no_data_yet,no_data_yet,310.88,7157.3
2015-5-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,310.88,7157.3
2015-5-14,2.0,60.0,10.5,90.0,2,30.0,no_data_yet,no_data_yet,60.0,7218.92
2015-5-15,4.0,412.0,11.0,90.0,2,206.0,no_data_yet,no_data_yet,411.04,7641.76
2015-5-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,505.83,7135.93
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,505.83,7135.93
2015-5-18,1.0,100.0,12.0,90.0,1,100.0,no_data_yet,no_data_yet,100.0,7238.93
2015-5-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.17,7236.76
