时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
微贷网（浙）
2015-3-26,561.0,3300.36,13.41,70.9,558,5.915,no_data_yet,no_data_yet,818.5,144044.74
2015-3-27,502.0,3405.88,13.48,79.0,502,6.785,no_data_yet,no_data_yet,1447.93,145566.4
2015-3-28,443.0,2892.35,13.24,38.9,440,6.574,no_data_yet,no_data_yet,114.61,145488.92
2015-3-29,336.0,1933.27,13.2,29.7,336,5.754,no_data_yet,no_data_yet,1494.15,144015.65
2015-3-30,689.0,4422.65,13.4,63.2,685,6.456,no_data_yet,no_data_yet,4019.11,140078.98
2015-3-31,397.0,3086.25,13.58,85.8,397,7.774,no_data_yet,no_data_yet,542.9,140687.24
2015-4-1,416.0,2648.56,13.48,87.6,416,6.367,no_data_yet,no_data_yet,254.29,141005.4
2015-4-2,405.0,2515.82,13.26,75.2,403,6.243,no_data_yet,no_data_yet,21.97,141037.03
2015-4-3,494.0,3478.18,13.02,83.5,492,7.069,no_data_yet,no_data_yet,250.0,141364.82
2015-4-4,381.0,2445.26,12.44,29.8,381,6.418,no_data_yet,no_data_yet,1171.33,140219.34
2015-4-5,310.0,2080.2,12.75,29.9,309,6.732,no_data_yet,no_data_yet,846.22,139395.39
2015-4-6,328.0,2058.22,12.68,29.8,327,6.294,no_data_yet,no_data_yet,419.57,139836.15
2015-4-7,480.0,3327.28,12.87,73.4,477,6.975,no_data_yet,no_data_yet,876.75,140780.14
2015-4-8,489.0,3426.69,12.8,79.5,488,7.022,no_data_yet,no_data_yet,308.9,140545.26
2015-4-9,573.0,3528.85,12.69,70.0,573,6.159,no_data_yet,no_data_yet,101.37,140719.52
2015-4-10,593.0,4241.69,12.78,79.4,591,7.177,no_data_yet,no_data_yet,1229.52,142040.71
2015-4-11,404.0,2716.83,12.39,40.9,402,6.758,no_data_yet,no_data_yet,1259.09,140815.01
2015-4-12,437.0,2760.38,12.4,29.6,437,6.317,no_data_yet,no_data_yet,889.95,139953.33
2015-4-13,636.0,4218.86,12.67,66.6,633,6.665,no_data_yet,no_data_yet,1277.99,141309.4
2015-4-14,597.0,3975.71,12.84,88.9,595,6.682,no_data_yet,no_data_yet,496.12,141908.23
2015-4-15,594.0,3717.98,12.81,65.5,594,6.259,no_data_yet,no_data_yet,568.67,142549.68
2015-4-16,558.0,3259.91,12.68,74.2,558,5.842,no_data_yet,no_data_yet,332.14,142947.58
2015-4-17,549.0,4023.62,12.57,91.0,547,7.356,no_data_yet,no_data_yet,1503.58,144552.48
2015-4-18,308.0,1981.86,12.18,35.0,307,6.456,no_data_yet,no_data_yet,566.5,144008.17
2015-4-19,322.0,1748.66,12.38,29.8,320,5.465,no_data_yet,no_data_yet,924.86,143101.43
2015-4-20,669.0,4695.18,12.6,82.8,665,7.06,no_data_yet,no_data_yet,2355.06,145560.65
2015-4-21,555.0,3635.54,12.68,80.9,554,6.562,no_data_yet,no_data_yet,1222.05,146860.26
