时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
微金所
2015-3-26,11.0,650.01,8.59,90.1,3,216.67,no_data_yet,no_data_yet,426.26,60845.48
2015-3-27,12.0,645.01,8.36,95.7,3,215.003,no_data_yet,no_data_yet,335.31,61204.6
2015-3-28,7.0,480.0,9.67,102.9,3,160.0,no_data_yet,no_data_yet,363.1,60860.98
2015-3-29,4.0,320.0,9.35,82.5,2,160.0,no_data_yet,no_data_yet,951.35,59920.94
2015-3-30,10.0,835.0,9.09,87.7,4,208.75,no_data_yet,no_data_yet,155.43,60099.18
2015-3-31,10.0,834.0,9.89,129.0,5,166.8,no_data_yet,no_data_yet,13.11,60121.23
2015-4-1,4.0,225.0,7.2,31.8,1,225.0,no_data_yet,no_data_yet,94.41,60028.77
2015-4-2,9.0,730.0,9.61,113.3,5,146.0,no_data_yet,no_data_yet,591.47,60660.42
2015-4-3,8.0,545.0,9.13,113.4,5,109.0,no_data_yet,no_data_yet,353.54,61035.29
2015-4-4,3.0,130.0,9.03,90.0,1,130.0,no_data_yet,no_data_yet,312.0,60726.84
2015-4-5,3.0,540.0,9.67,80.0,3,180.0,no_data_yet,no_data_yet,123.14,60864.46
2015-4-6,1.0,40.0,9.8,60.0,1,40.0,no_data_yet,no_data_yet,790.73,60074.39
2015-4-7,8.0,495.0,8.6,72.1,4,123.75,no_data_yet,no_data_yet,15.59,60102.69
2015-4-8,8.0,645.0,9.68,105.9,6,107.5,no_data_yet,no_data_yet,136.5,60264.26
2015-4-9,7.0,740.0,9.97,94.3,5,148.0,no_data_yet,no_data_yet,184.28,60477.02
2015-4-10,10.0,761.0,10.28,144.7,7,108.714,no_data_yet,no_data_yet,501.13,61020.58
2015-4-11,3.0,180.0,9.7,90.0,2,90.0,no_data_yet,no_data_yet,364.45,60663.2
2015-4-12,4.0,315.0,9.83,135.0,3,105.0,no_data_yet,no_data_yet,32.12,60710.3
2015-4-13,2.0,245.0,8.1,93.5,2,122.5,no_data_yet,no_data_yet,533.68,60191.02
2015-4-14,5.0,280.0,9.2,90.0,2,140.0,no_data_yet,no_data_yet,26.26,60223.88
2015-4-15,7.0,625.0,9.01,73.9,4,156.25,no_data_yet,no_data_yet,245.55,60002.2
2015-4-16,5.0,350.0,10.04,156.0,3,116.667,no_data_yet,no_data_yet,107.85,59920.44
2015-4-17,8.0,911.0,9.55,87.1,5,182.2,no_data_yet,no_data_yet,414.14,60370.49
2015-4-18,4.0,382.0,11.28,217.5,4,95.5,no_data_yet,no_data_yet,230.53,60166.92
2015-4-19,5.0,660.0,10.48,108.0,4,165.0,no_data_yet,no_data_yet,239.5,60437.14
2015-4-20,6.0,315.0,8.7,71.2,2,157.5,no_data_yet,no_data_yet,181.23,60261.89
2015-4-21,4.0,390.0,11.55,240.0,3,130.0,no_data_yet,no_data_yet,49.65,60349.36
2015-4-22,4.0,250.0,9.38,60.0,2,125.0,no_data_yet,no_data_yet,134.29,60218.87
2015-4-23,5.0,540.0,10.86,150.0,5,108.0,no_data_yet,no_data_yet,269.22,60516.02
2015-4-24,10.0,840.0,10.17,96.0,7,120.0,no_data_yet,no_data_yet,711.52,61256.01
