时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
恒信易贷
2015-3-26,11.0,149.8,20.84,114.5,11,13.618,no_data_yet,no_data_yet,142.39,5352.67
2015-3-27,18.0,174.05,20.7,111.7,18,9.669,no_data_yet,no_data_yet,198.2,5162.16
2015-3-28,17.0,228.2,20.64,97.1,17,13.424,no_data_yet,no_data_yet,51.83,5224.36
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,137.24,5087.11
2015-3-30,12.0,79.2,19.83,28.8,12,6.6,no_data_yet,no_data_yet,247.2,4841.19
2015-3-31,20.0,155.7,20.14,73.5,20,7.785,no_data_yet,no_data_yet,119.62,4966.33
2015-4-1,15.0,143.4,20.52,113.0,15,9.56,no_data_yet,no_data_yet,8.09,4984.06
2015-4-2,16.0,125.15,20.4,58.1,16,7.822,no_data_yet,no_data_yet,71.9,5059.64
2015-4-3,31.0,181.1,20.4,65.8,31,5.842,no_data_yet,no_data_yet,144.55,5210.75
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,81.66,5129.09
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,41.67,5087.42
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,92.86,4994.56
2015-4-7,20.0,122.0,20.21,79.5,20,6.1,no_data_yet,no_data_yet,43.33,5041.16
2015-4-8,14.0,154.5,20.49,81.4,14,11.036,no_data_yet,no_data_yet,56.01,5103.12
2015-4-9,16.0,139.0,20.09,59.1,16,8.688,no_data_yet,no_data_yet,6.09,5101.35
2015-4-10,19.0,240.0,20.8,172.1,19,12.632,no_data_yet,no_data_yet,139.4,5253.34
2015-4-11,12.0,128.1,20.58,65.0,12,10.675,no_data_yet,no_data_yet,42.1,5299.44
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,85.17,5214.28
2015-4-13,17.0,179.7,20.06,33.5,17,10.571,no_data_yet,no_data_yet,31.04,5186.45
2015-4-14,17.0,258.3,20.16,64.4,17,15.194,no_data_yet,no_data_yet,236.3,5428.66
2015-4-15,20.0,241.8,20.34,93.0,20,12.09,no_data_yet,no_data_yet,89.05,5527.52
2015-4-16,18.0,105.0,20.43,73.3,18,5.833,no_data_yet,no_data_yet,0.38,5531.43
2015-4-17,12.0,94.0,20.43,126.3,12,7.833,no_data_yet,no_data_yet,42.51,5492.8
2015-4-18,11.0,138.5,20.67,92.7,11,12.591,no_data_yet,no_data_yet,74.58,5575.45
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,33.2,5542.25
2015-4-20,13.0,140.04,20.26,64.6,13,10.772,no_data_yet,no_data_yet,55.48,5601.3
2015-4-21,11.0,94.3,19.95,42.3,11,8.573,no_data_yet,no_data_yet,44.73,5647.82
2015-4-22,15.0,85.4,20.56,80.0,15,5.693,no_data_yet,no_data_yet,12.67,5664.35
2015-4-23,14.0,153.9,20.84,109.3,14,10.993,no_data_yet,no_data_yet,36.2,5709.11
2015-4-24,20.0,212.38,20.32,69.8,20,10.619,no_data_yet,no_data_yet,15.2,5731.35
2015-4-25,16.0,241.5,20.33,113.4,16,15.094,no_data_yet,no_data_yet,152.76,5896.05
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,80.41,5815.64
2015-4-27,18.0,138.45,20.27,73.3,18,7.692,no_data_yet,no_data_yet,48.19,5770.68
2015-4-28,18.0,147.0,20.22,49.2,18,8.167,no_data_yet,no_data_yet,87.57,5862.15
2015-4-29,19.0,188.2,20.44,69.5,19,9.905,no_data_yet,no_data_yet,91.99,5959.81
2015-4-30,28.0,294.3,20.44,69.1,28,10.511,no_data_yet,no_data_yet,189.61,6159.47
2015-5-1,2.0,33.0,21.2,225.0,2,16.5,no_data_yet,no_data_yet,54.73,6106.33
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,116.03,5990.3
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,84.32,5905.98
2015-5-4,22.0,192.15,19.95,36.8,22,8.734,no_data_yet,no_data_yet,173.78,6083.93
2015-5-5,22.0,123.5,20.14,43.0,22,5.614,no_data_yet,no_data_yet,49.53,6136.18
2015-5-6,17.0,106.1,20.13,67.9,17,6.241,no_data_yet,no_data_yet,25.57,6164.54
2015-5-7,23.0,184.2,20.13,37.8,23,8.009,no_data_yet,no_data_yet,58.46,6226.9
2015-5-8,15.0,169.8,20.33,54.0,15,11.32,no_data_yet,no_data_yet,14.98,6217.19
