时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
惠卡贷
2015-3-26,5.0,56.0,18.4,390.0,5,11.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,4.0,33.0,18.25,367.5,4,8.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,3.0,34.0,18.83,460.0,3,11.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,3.0,35.0,16.33,380.0,3,11.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,4.0,50.0,15.13,300.0,4,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,5.0,45.0,13.4,192.0,5,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,2.0,11.0,16.75,195.0,2,5.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,5.0,50.0,14.0,360.0,5,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,2.0,24.0,12.25,270.0,2,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,4.0,41.0,13.63,412.5,4,10.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,3.0,34.0,13.33,390.0,3,11.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,3.0,32.0,13.67,440.0,3,10.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,4.0,40.0,13.88,300.0,4,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,1.0,10.0,12.0,240.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,4.0,45.0,13.75,435.0,4,11.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,3.0,42.0,14.67,340.0,3,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,3.0,36.0,13.33,410.0,3,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,4.0,39.0,15.0,457.5,4,9.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,4.0,65.0,13.5,315.0,4,16.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,4.0,45.0,14.63,420.0,4,11.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,4.0,32.0,13.0,360.0,4,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,3.0,28.0,14.67,370.0,3,9.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,4.0,45.0,13.5,405.0,4,11.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,3.0,31.0,12.5,310.0,3,10.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,2.0,22.0,15.5,630.0,2,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,4.0,47.0,13.5,397.5,4,11.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,3.0,31.0,14.67,360.0,3,10.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,4.0,38.0,15.13,450.0,4,9.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,2.0,20.0,14.25,510.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,2.0,25.0,13.25,375.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,2.0,20.0,13.5,405.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,2.0,24.0,13.5,390.0,2,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,3.0,32.0,14.67,540.0,3,10.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,2.0,22.0,12.5,315.0,2,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,4.0,45.0,15.5,330.0,4,11.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,4.0,50.0,14.25,210.0,4,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,2.0,24.0,12.5,315.0,2,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,3.0,33.0,14.0,450.0,3,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,2.0,22.0,12.5,315.0,2,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,4.0,40.0,13.5,270.0,4,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,4.0,35.0,16.0,390.0,4,8.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,3.0,70.0,13.67,260.0,3,23.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,4.0,113.0,14.13,217.5,4,28.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,1.0,90.0,15.0,60.0,1,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,2.0,111.0,15.0,300.0,2,55.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,2.0,51.0,15.5,390.0,2,25.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,3.0,74.0,15.67,340.0,3,24.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,1.0,100.0,15.0,60.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,3.0,26.0,14.0,280.0,3,8.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,1.0,11.0,12.0,270.0,1,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,3.0,110.0,17.0,270.0,3,36.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,2.0,75.0,18.0,135.0,2,37.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,2.0,70.0,18.0,135.0,2,35.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,2.0,55.0,18.0,135.0,2,27.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,2.0,55.0,18.0,135.0,2,27.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,3.0,90.0,17.33,120.0,2,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,2.0,75.0,18.0,135.0,2,37.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,4.0,160.0,18.0,135.0,2,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,2.0,55.0,18.0,135.0,2,27.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,4.0,110.0,18.0,135.0,2,55.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,1.0,50.0,20.0,180.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,3.0,120.0,17.33,120.0,2,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,1.0,25.0,16.0,90.0,1,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,3.0,130.0,18.67,150.0,2,65.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-31,2.0,100.0,18.0,135.0,2,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-1,1.0,25.0,16.0,90.0,1,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-4,1.0,6.0,14.0,180.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-16,2.0,100.0,18.5,270.0,2,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-17,2.0,100.0,18.5,270.0,2,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
