时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
感投网
2015-3-26,4.0,42.0,20.25,75.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,41.11,959.11
2015-3-27,5.0,45.0,20.72,78.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,44.47,1005.6
2015-3-28,5.0,53.0,21.24,78.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,52.53,1060.61
2015-3-29,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,15.53,1045.09
2015-3-30,2.0,15.0,18.5,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,14.92,1060.69
2015-3-31,1.0,5.0,19.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5.48,1055.45
2015-4-1,1.0,5.0,19.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4.6,1060.28
2015-4-2,1.0,10.0,18.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.85,1070.58
2015-4-3,1.0,5.0,19.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5.0,1075.82
2015-4-4,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.4,1075.42
2015-4-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.36,1075.06
2015-4-6,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.15,1074.91
2015-4-7,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.16,1064.76
2015-4-8,1.0,5.0,19.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4.28,1069.28
2015-4-9,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.33,1058.95
2015-4-10,1.0,5.0,19.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4.3,1063.49
2015-4-11,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.48,1053.01
2015-4-12,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,21.12,1031.89
2015-4-13,1.0,5.0,19.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5.0,1037.13
2015-4-14,2.0,15.0,16.25,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,15.0,1052.48
2015-4-15,1.0,5.0,19.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4.75,1057.46
2015-4-16,1.0,10.0,13.5,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.32,1057.26
2015-4-17,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.52,1046.73
2015-4-18,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.49,1036.24
2015-4-19,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.73,1025.52
2015-4-20,1.0,10.0,13.5,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.33,1015.3
2015-4-21,1.0,5.0,19.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,25.74,989.8
2015-4-22,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.94,978.86
2015-4-23,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,15.51,963.35
2015-4-24,1.0,10.0,13.5,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.03,972.49
2015-4-25,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,21.6,950.89
2015-4-26,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,11.32,939.57
2015-4-27,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,31.41,908.16
2015-4-28,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.29,907.87
2015-4-29,1.0,10.0,13.5,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.69,917.67
2015-4-30,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.4,907.27
2015-5-1,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.48,906.79
2015-5-2,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.3,896.49
2015-5-3,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.08,896.41
2015-5-4,1.0,5.0,13.5,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4.6,901.06
2015-5-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,15.36,885.7
2015-5-6,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.15,875.55
2015-5-7,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.15,875.55
2015-5-8,1.0,5.0,13.5,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5.8,869.82
2015-5-9,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.16,869.66
2015-5-10,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,43.78,825.88
2015-5-11,1.0,10.0,18.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.32,826.01
2015-5-12,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,36.27,789.74
2015-5-13,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.08,789.67
2015-5-14,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.11,779.55
2015-5-15,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5.33,774.22
2015-5-16,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.26,763.96
2015-5-17,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.37,753.6
2015-5-18,1.0,5.0,13.5,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5.33,748.33
2015-5-19,1.0,10.0,18.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,15.56,733.22
2015-5-20,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.11,723.1
2015-5-21,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.32,722.78
2015-5-22,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.78,722.0
2015-5-23,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5.26,716.74
2015-5-24,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,11.08,705.66
2015-5-25,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,56.29,649.37
2015-5-26,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,36.15,613.22
2015-5-27,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.93,612.29
2015-5-28,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.29,602.0
2015-5-29,1.0,10.0,18.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5.43,597.02
2015-5-30,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.25,586.78
2015-5-31,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,30.48,556.3
2015-6-1,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.15,556.15
2015-6-2,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.08,556.07
