时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
找银子
2015-3-26,3.0,150.0,16.33,20.0,1,150.0,no_data_yet,no_data_yet,37.23,11989.17
2015-3-27,13.0,729.0,15.73,60.0,2,364.5,no_data_yet,no_data_yet,336.76,12343.29
2015-3-28,1.0,50.0,20.0,15.0,1,50.0,no_data_yet,no_data_yet,40.34,12303.36
2015-3-29,2.0,100.0,20.0,15.0,2,50.0,no_data_yet,no_data_yet,102.21,12201.97
2015-3-30,7.0,410.0,15.29,27.9,1,410.0,no_data_yet,no_data_yet,359.63,12564.85
2015-3-31,5.0,210.0,18.0,30.0,1,210.0,no_data_yet,no_data_yet,47.83,12518.91
2015-4-1,4.0,120.0,9.0,41.3,1,120.0,no_data_yet,no_data_yet,328.27,12191.49
2015-4-2,4.0,113.5,15.63,75.0,2,56.75,no_data_yet,no_data_yet,45.74,12149.52
2015-4-3,8.0,241.5,11.5,28.1,1,241.5,no_data_yet,no_data_yet,33.28,12118.15
2015-4-4,3.0,112.7,16.67,40.0,1,112.7,no_data_yet,no_data_yet,200.78,11918.46
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,451.97,11466.49
2015-4-6,2.0,100.0,8.5,22.5,1,100.0,no_data_yet,no_data_yet,21.81,11445.22
2015-4-7,12.0,307.9,13.25,53.8,1,307.9,no_data_yet,no_data_yet,171.62,11278.81
2015-4-8,15.0,593.7,13.87,19.0,1,593.7,no_data_yet,no_data_yet,204.46,11078.45
2015-4-9,22.0,1038.8,11.36,72.3,2,519.4,no_data_yet,no_data_yet,624.11,11734.35
2015-4-10,16.0,674.8,14.34,78.8,2,337.4,no_data_yet,no_data_yet,533.68,12295.51
2015-4-11,4.0,211.5,20.0,15.0,1,211.5,no_data_yet,no_data_yet,299.37,11997.88
2015-4-12,5.0,170.0,11.3,33.0,1,170.0,no_data_yet,no_data_yet,11.83,12011.77
2015-4-13,17.0,346.0,15.85,49.4,2,173.0,no_data_yet,no_data_yet,155.15,12173.62
2015-4-14,8.0,362.7,18.5,15.0,1,362.7,no_data_yet,no_data_yet,10.07,12186.42
2015-4-15,27.0,1435.0,15.24,100.6,2,717.5,no_data_yet,no_data_yet,1101.46,13344.05
2015-4-16,16.0,279.1,17.13,16.9,1,279.1,no_data_yet,no_data_yet,47.09,13393.08
2015-4-17,16.0,407.6,17.31,25.3,1,407.6,no_data_yet,no_data_yet,353.66,13750.39
2015-4-18,3.0,94.0,20.0,15.0,1,94.0,no_data_yet,no_data_yet,163.9,13587.26
2015-4-19,1.0,10.0,20.0,15.0,1,10.0,no_data_yet,no_data_yet,186.02,13401.32
2015-4-20,14.0,410.2,14.93,43.9,2,205.1,no_data_yet,no_data_yet,379.98,13789.25
2015-4-21,6.0,100.5,20.0,15.0,1,100.5,no_data_yet,no_data_yet,29.84,13819.91
2015-4-22,7.0,165.0,17.0,27.9,1,165.0,no_data_yet,no_data_yet,103.81,13717.75
2015-4-23,14.0,300.0,18.61,26.8,2,150.0,no_data_yet,no_data_yet,148.34,13575.37
2015-4-24,16.0,441.1,16.0,30.9,1,441.1,no_data_yet,no_data_yet,38.9,13618.5
2015-4-25,4.0,130.7,20.0,15.0,1,130.7,no_data_yet,no_data_yet,175.54,13444.03
2015-4-26,1.0,10.0,20.0,15.0,1,10.0,no_data_yet,no_data_yet,274.1,13170.01
2015-4-27,15.0,351.5,14.97,33.0,2,175.75,no_data_yet,no_data_yet,231.89,13407.05
2015-4-28,14.0,521.5,18.07,33.2,2,260.75,no_data_yet,no_data_yet,289.41,13706.09
2015-4-29,17.0,601.5,15.41,25.6,1,601.5,no_data_yet,no_data_yet,94.88,13615.93
2015-4-30,9.0,278.4,12.56,28.3,1,278.4,no_data_yet,no_data_yet,232.77,13385.25
2015-5-1,3.0,170.0,20.0,15.0,1,170.0,no_data_yet,no_data_yet,100.97,13285.68
2015-5-2,1.0,50.0,20.0,15.0,1,50.0,no_data_yet,no_data_yet,305.62,12980.46
2015-5-3,3.0,150.0,20.0,15.0,1,150.0,no_data_yet,no_data_yet,91.22,12890.48
2015-5-4,14.0,537.7,15.18,51.4,2,268.85,no_data_yet,no_data_yet,527.62,13430.67
2015-5-5,12.0,671.1,14.71,37.5,2,335.55,no_data_yet,no_data_yet,295.0,13735.83
2015-5-6,11.0,629.5,14.95,68.2,2,314.75,no_data_yet,no_data_yet,323.55,14079.12
2015-5-7,9.0,334.5,14.5,61.7,2,167.25,no_data_yet,no_data_yet,12.48,14100.53
2015-5-8,18.0,629.8,13.72,23.3,1,629.8,no_data_yet,no_data_yet,182.94,14288.44
2015-5-9,2.0,38.0,15.0,52.5,1,38.0,no_data_yet,no_data_yet,512.76,13776.32
2015-5-10,4.0,200.0,11.5,22.5,1,200.0,no_data_yet,no_data_yet,72.19,13705.45
2015-5-11,12.0,356.1,12.83,41.3,1,356.1,no_data_yet,no_data_yet,294.6,14004.13
2015-5-12,14.0,561.3,13.93,41.8,1,561.3,no_data_yet,no_data_yet,236.89,14247.39
2015-5-13,15.0,545.9,15.23,48.0,1,545.9,no_data_yet,no_data_yet,2.01,14257.15
2015-5-14,12.0,513.4,13.71,37.5,2,256.7,no_data_yet,no_data_yet,258.72,14005.31
2015-5-15,17.0,763.8,14.47,64.4,2,381.9,no_data_yet,no_data_yet,531.94,14553.46
2015-5-16,6.0,245.2,16.0,15.0,1,245.2,no_data_yet,no_data_yet,117.51,14437.6
2015-5-17,1.0,50.0,9.0,30.0,1,50.0,no_data_yet,no_data_yet,217.13,14220.85
2015-5-18,12.0,386.4,13.04,40.0,1,386.4,no_data_yet,no_data_yet,235.17,14460.76
2015-5-19,13.0,456.9,11.04,56.5,2,228.45,no_data_yet,no_data_yet,173.92,14643.85
2015-5-20,8.0,340.0,13.69,50.6,2,170.0,no_data_yet,no_data_yet,250.38,14399.21
2015-5-21,9.0,280.0,12.28,68.3,2,140.0,no_data_yet,no_data_yet,16.67,14387.79
2015-5-22,14.0,471.6,11.61,45.0,1,471.6,no_data_yet,no_data_yet,253.95,14647.3
2015-5-23,4.0,140.2,17.25,18.8,1,140.2,no_data_yet,no_data_yet,363.08,14285.36
2015-5-24,3.0,137.0,13.0,45.0,1,137.0,no_data_yet,no_data_yet,67.12,14219.67
2015-5-25,16.0,561.2,14.72,34.7,2,280.6,no_data_yet,no_data_yet,439.54,14667.03
2015-5-26,7.0,205.5,14.14,49.3,1,205.5,no_data_yet,no_data_yet,128.09,14541.32
2015-5-27,10.0,430.9,13.65,42.0,2,215.45,no_data_yet,no_data_yet,103.37,14444.63
2015-5-28,9.0,301.5,15.11,26.7,1,301.5,no_data_yet,no_data_yet,202.42,14244.75
2015-5-29,16.0,425.8,11.88,29.1,1,425.8,no_data_yet,no_data_yet,56.95,14191.17
2015-5-30,4.0,136.0,14.75,37.5,1,136.0,no_data_yet,no_data_yet,383.24,13809.33
2015-5-31,2.0,70.0,15.0,52.5,1,70.0,no_data_yet,no_data_yet,197.34,13612.89
