时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
投哪网
2015-3-26,131.0,3047.25,11.63,100.4,126,24.185,no_data_yet,no_data_yet,1697.29,102755.51
2015-3-27,175.0,2824.45,11.62,89.0,169,16.713,no_data_yet,no_data_yet,1684.1,104494.13
2015-3-28,90.0,1720.29,11.61,46.7,89,19.329,no_data_yet,no_data_yet,538.46,105054.9
2015-3-29,90.0,1349.65,11.53,42.7,86,15.694,no_data_yet,no_data_yet,18.36,105052.12
2015-3-30,128.0,2003.36,11.57,85.8,124,16.156,no_data_yet,no_data_yet,798.51,104288.56
2015-3-31,125.0,1415.4,11.78,108.2,122,11.602,no_data_yet,no_data_yet,27.28,104348.61
2015-4-1,126.0,2025.59,11.79,107.3,116,17.462,no_data_yet,no_data_yet,335.96,104722.45
2015-4-2,133.0,2402.24,11.86,102.3,124,19.373,no_data_yet,no_data_yet,529.27,105295.82
2015-4-3,205.0,3211.89,11.91,104.2,199,16.14,no_data_yet,no_data_yet,1932.21,107289.31
2015-4-4,107.0,1524.14,11.83,45.7,107,14.244,no_data_yet,no_data_yet,209.72,107103.81
2015-4-5,56.0,1420.2,11.36,30.0,50,28.404,no_data_yet,no_data_yet,353.11,107470.15
2015-4-6,49.0,1224.94,11.49,29.1,46,26.629,no_data_yet,no_data_yet,112.24,107592.46
2015-4-7,136.0,2250.94,11.79,90.5,125,18.007,no_data_yet,no_data_yet,1191.04,108823.31
2015-4-8,128.0,2443.54,11.92,92.6,118,20.708,no_data_yet,no_data_yet,364.16,109233.62
2015-4-9,176.0,3371.9,12.02,131.6,162,20.814,no_data_yet,no_data_yet,1104.49,110407.68
2015-4-10,192.0,3113.85,11.98,97.6,171,18.21,no_data_yet,no_data_yet,1695.71,112169.4
2015-4-11,102.0,1578.34,11.84,73.1,90,17.537,no_data_yet,no_data_yet,962.64,111236.16
2015-4-12,128.0,2537.61,11.66,33.6,113,22.457,no_data_yet,no_data_yet,409.24,111676.65
2015-4-13,116.0,2850.59,11.9,97.9,95,30.006,no_data_yet,no_data_yet,1037.39,112775.69
2015-4-14,189.0,2866.84,11.95,90.1,173,16.571,no_data_yet,no_data_yet,969.39,113807.26
2015-4-15,169.0,2690.99,11.99,104.6,160,16.819,no_data_yet,no_data_yet,1143.82,115011.14
2015-4-16,156.0,2201.44,12.1,105.9,146,15.078,no_data_yet,no_data_yet,596.95,114458.94
2015-4-17,257.0,3739.75,12.02,102.8,237,15.78,no_data_yet,no_data_yet,1713.06,116258.28
2015-4-18,124.0,2189.89,11.9,73.3,116,18.878,no_data_yet,no_data_yet,600.99,116896.57
2015-4-19,107.0,1718.04,11.58,45.0,97,17.712,no_data_yet,no_data_yet,21.3,116942.94
2015-4-20,150.0,2435.3,12.05,99.4,131,18.59,no_data_yet,no_data_yet,1277.07,118265.28
2015-4-21,153.0,2431.76,12.01,93.5,144,16.887,no_data_yet,no_data_yet,1219.32,119542.59
2015-4-22,219.0,2879.41,12.04,89.3,202,14.255,no_data_yet,no_data_yet,856.12,120467.5
2015-4-23,202.0,3285.36,12.12,115.0,191,17.201,no_data_yet,no_data_yet,3.8,120535.66
2015-4-24,215.0,4041.26,12.04,96.1,208,19.429,no_data_yet,no_data_yet,1533.63,122145.46
2015-4-25,75.0,1813.86,11.79,108.4,70,25.912,no_data_yet,no_data_yet,1101.44,121079.7
2015-4-26,141.0,2961.06,11.81,72.9,132,22.432,no_data_yet,no_data_yet,387.22,121510.25
2015-4-27,159.0,2430.88,11.99,94.8,152,15.993,no_data_yet,no_data_yet,14.58,121573.35
2015-4-28,206.0,3270.89,12.17,97.1,198,16.52,no_data_yet,no_data_yet,1269.66,122926.43
2015-4-29,204.0,2864.62,12.28,115.1,197,14.541,no_data_yet,no_data_yet,713.72,123717.06
2015-4-30,254.0,3695.12,12.0,78.2,252,14.663,no_data_yet,no_data_yet,1933.73,125730.33
2015-5-1,125.0,2116.08,11.76,53.3,124,17.065,no_data_yet,no_data_yet,739.32,126506.16
2015-5-2,125.0,2106.52,11.98,79.2,119,17.702,no_data_yet,no_data_yet,251.48,126796.46
2015-5-3,108.0,2178.11,11.97,90.0,104,20.943,no_data_yet,no_data_yet,824.63,126009.32
2015-5-4,236.0,4879.26,11.93,68.1,220,22.178,no_data_yet,no_data_yet,2670.86,128807.6
2015-5-5,275.0,3873.36,11.92,77.1,264,14.672,no_data_yet,no_data_yet,1729.75,130612.19
2015-5-6,232.0,4138.32,12.07,104.6,222,18.641,no_data_yet,no_data_yet,2415.44,133126.37
2015-5-7,231.0,4968.28,12.0,93.2,226,21.984,no_data_yet,no_data_yet,3026.68,136270.23
2015-5-8,198.0,3781.77,11.89,98.3,189,20.009,no_data_yet,no_data_yet,1761.15,138131.03
2015-5-9,130.0,2444.72,11.62,79.7,126,19.403,no_data_yet,no_data_yet,157.85,138337.74
2015-5-10,111.0,1616.76,11.1,39.8,104,15.546,no_data_yet,no_data_yet,218.01,138148.16
2015-5-11,225.0,3351.42,11.92,96.7,214,15.661,no_data_yet,no_data_yet,1787.84,140027.32
2015-5-12,257.0,4360.75,11.86,89.5,242,18.02,no_data_yet,no_data_yet,1777.64,141916.48
