时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
招商贷
2015-3-26,11.0,860.0,19.29,81.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,405.67,43591.8
2015-3-27,8.0,917.0,19.53,93.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,517.69,44142.17
2015-3-28,5.0,677.0,19.52,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,269.81,44435.26
2015-3-29,7.0,492.0,19.23,77.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,470.08,43982.67
2015-3-30,9.0,650.0,19.58,93.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,469.81,43535.95
2015-3-31,6.0,507.0,19.27,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,505.81,43045.94
2015-4-1,12.0,1010.0,19.35,82.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,33.77,43112.74
2015-4-2,14.0,1088.0,19.41,87.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,362.0,43512.42
2015-4-3,12.0,851.0,19.35,82.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.58,43532.69
2015-4-4,9.0,807.0,19.18,73.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,35.93,43523.55
2015-4-5,9.0,621.0,19.18,73.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,227.23,43315.76
2015-4-6,11.0,1072.0,19.38,84.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,136.89,43491.38
2015-4-7,8.0,806.0,19.08,71.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,53.14,43463.69
2015-4-8,8.0,610.0,19.13,63.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,312.93,43166.56
2015-4-9,8.0,633.0,19.28,86.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,224.75,42963.21
2015-4-10,12.0,960.0,19.48,92.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,64.15,43058.95
2015-4-11,12.0,684.0,19.35,82.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,59.87,43021.25
2015-4-12,9.0,778.0,19.36,86.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,239.88,43286.73
2015-4-13,9.0,686.0,19.07,70.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,161.51,43469.32
2015-4-14,9.0,691.0,19.24,83.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,56.42,43547.92
2015-4-15,9.0,771.0,19.36,86.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,103.95,43677.7
2015-4-16,10.0,930.0,19.16,72.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,297.06,44002.95
2015-4-17,10.0,936.0,19.32,84.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,348.94,44383.36
2015-4-18,11.0,901.0,19.47,87.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,323.02,44738.71
2015-4-19,8.0,809.0,19.4,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,306.87,45073.18
2015-4-20,9.0,806.0,19.53,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,258.56,45358.1
2015-4-21,13.0,882.0,19.25,78.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,368.69,45756.48
2015-4-22,11.0,870.0,19.38,84.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,326.42,46115.8
2015-4-23,11.0,743.0,19.47,87.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,285.55,46425.9
2015-4-24,13.0,909.0,19.37,87.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,344.95,46802.77
2015-4-25,9.0,834.0,19.29,76.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,217.33,47049.78
2015-4-26,8.0,498.0,19.33,78.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,39.8,47025.17
2015-4-27,7.0,777.0,19.74,102.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,263.21,47318.23
2015-4-28,8.0,723.0,19.58,86.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,93.38,47434.84
2015-4-29,9.0,628.0,19.4,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,322.64,47132.14
2015-4-30,12.0,1025.0,19.35,82.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,176.47,47345.68
2015-5-1,11.0,1075.0,19.38,84.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,39.19,47421.62
2015-5-2,9.0,1043.0,19.58,93.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,98.98,47558.5
2015-5-3,7.0,643.0,19.51,85.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,179.58,47398.75
