时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
携银网
2015-3-26,2.0,40.0,11.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,37.4,3519.33
2015-3-27,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,37.4,3519.33
2015-3-28,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,37.4,3519.33
2015-3-29,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.1,3519.23
2015-3-30,2.0,40.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,40.0,3559.56
2015-3-31,2.0,40.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,39.5,3599.4
2015-4-1,2.0,40.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.4,3599.33
2015-4-2,2.0,40.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.4,3599.26
2015-4-3,2.0,40.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.6,3599.0
2015-4-4,1.0,20.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.6,3588.56
2015-4-5,1.0,20.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.2,3588.53
2015-4-6,1.0,20.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,16.25,3604.95
2015-4-7,1.0,50.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,50.0,3655.36
2015-4-8,3.0,80.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,39.6,3695.63
2015-4-9,2.0,50.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,29.8,3725.85
2015-4-10,1.0,30.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,29.9,3756.0
2015-4-11,1.0,30.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,29.8,3786.05
2015-4-12,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,20.3,3765.75
2015-4-13,1.0,30.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,28.75,3794.75
2015-4-14,1.0,30.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,30.0,3825.0
2015-4-15,1.0,30.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.8,3835.05
2015-4-16,1.0,30.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,28.13,3863.42
2015-4-17,2.0,60.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,38.58,3902.5
2015-4-18,1.0,30.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.83,3912.59
2015-4-19,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,20.17,3892.42
2015-4-20,1.0,30.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,30.0,3922.67
2015-4-21,2.0,60.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,39.8,3962.97
2015-4-22,2.0,60.0,11.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,39.83,4003.95
2015-4-23,1.0,30.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.83,4014.04
2015-4-24,1.0,30.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,30.0,4044.29
2015-4-25,2.0,60.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,7.03,4051.82
2015-4-26,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,7.03,4051.82
2015-4-27,2.0,60.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,60.0,4112.32
2015-4-28,2.0,60.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,49.9,4162.72
2015-4-29,4.0,110.0,10.5,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,69.67,4233.74
2015-4-30,3.0,100.0,10.33,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.17,4243.77
2015-5-1,3.0,90.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,49.67,4294.19
2015-5-2,3.0,90.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,49.67,4344.6
2015-5-3,3.0,90.0,10.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,39.47,4384.82
