时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
新华贷
2015-3-26,4.0,80.0,11.43,210.0,3,26.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,12.0,250.0,17.11,137.5,3,83.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,7.0,100.0,19.55,102.9,4,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,3.0,50.0,15.22,160.0,3,16.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,6.0,100.0,19.01,105.0,3,33.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,8.0,130.0,14.27,183.8,3,43.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,8.0,97.0,19.2,60.0,3,32.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,3.0,40.0,18.0,40.0,2,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,6.0,70.0,18.0,75.0,4,17.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,4.0,60.0,13.51,120.0,3,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,4.0,80.0,13.51,127.5,3,26.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,4.0,40.0,18.0,37.5,2,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,6.0,100.0,15.01,115.0,4,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,3.0,30.0,18.0,30.0,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,6.0,100.0,15.01,100.0,4,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,5.0,50.0,18.0,66.0,3,16.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,1.0,20.0,18.0,30.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,3.0,30.0,18.0,50.0,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,7.0,70.0,18.0,64.3,4,17.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,7.0,110.0,15.44,98.6,4,27.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,6.0,90.0,15.01,135.0,5,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,6.0,60.0,18.0,55.0,3,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,2.0,20.0,18.0,30.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,7.0,100.0,15.44,102.9,4,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,8.0,190.0,11.27,161.3,3,63.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,6.0,80.0,12.02,150.0,3,26.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,5.0,90.0,18.0,48.0,3,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,2.0,60.0,9.03,195.0,2,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,7.0,170.0,15.44,150.0,4,42.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,6.0,80.0,15.01,95.0,4,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,4.0,70.0,13.51,150.0,3,23.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,5.0,80.0,14.41,120.0,3,26.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
