时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
新新贷
2015-3-26,20.0,162.65,13.8,288.0,20,8.133,no_data_yet,no_data_yet,170.94,53118.04
2015-3-27,25.0,181.4,13.68,280.8,25,7.256,no_data_yet,no_data_yet,285.31,52847.69
2015-3-28,3.0,0.6,12.0,180.0,3,0.2,no_data_yet,no_data_yet,349.44,52498.27
2015-3-29,1.0,0.2,12.0,180.0,1,0.2,no_data_yet,no_data_yet,863.24,51635.05
2015-3-30,19.0,230.15,12.95,246.3,19,12.113,no_data_yet,no_data_yet,63.05,51588.48
2015-3-31,20.0,83.5,13.2,252.0,20,4.175,no_data_yet,no_data_yet,175.13,51420.16
2015-4-1,20.0,273.15,13.9,297.0,20,13.658,no_data_yet,no_data_yet,153.05,51595.35
2015-4-2,18.0,199.85,13.89,300.0,18,11.103,no_data_yet,no_data_yet,56.24,51665.88
2015-4-3,21.0,272.7,13.29,257.1,20,13.635,no_data_yet,no_data_yet,87.13,51775.54
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,231.0,51544.54
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,284.56,51259.98
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,225.1,51034.88
2015-4-7,18.0,202.77,13.28,260.0,17,11.928,no_data_yet,no_data_yet,31.6,51019.04
2015-4-8,35.0,535.79,13.57,282.9,34,15.759,no_data_yet,no_data_yet,318.19,51378.92
2015-4-9,32.0,517.87,14.22,315.0,31,16.706,no_data_yet,no_data_yet,225.66,51647.26
2015-4-10,31.0,255.78,13.42,267.1,30,8.526,no_data_yet,no_data_yet,52.92,51615.16
2015-4-11,12.0,2.55,12.0,180.0,12,0.213,no_data_yet,no_data_yet,358.36,51256.9
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,312.22,50944.68
2015-4-13,22.0,222.0,13.23,253.6,22,10.091,no_data_yet,no_data_yet,104.6,50858.39
2015-4-14,24.0,215.01,13.5,270.0,24,8.959,no_data_yet,no_data_yet,239.4,50636.73
2015-4-15,25.0,334.52,13.68,280.8,25,13.381,no_data_yet,no_data_yet,20.99,50685.41
2015-4-16,30.0,266.7,13.2,258.0,29,9.197,no_data_yet,no_data_yet,523.25,50183.16
2015-4-17,29.0,468.54,13.9,297.9,28,16.734,no_data_yet,no_data_yet,168.2,50389.65
2015-4-18,14.0,20.45,12.14,192.9,14,1.461,no_data_yet,no_data_yet,319.15,50071.8
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,351.34,49720.46
2015-4-20,35.0,323.31,13.37,267.4,32,10.104,no_data_yet,no_data_yet,32.2,49777.68
2015-4-21,25.0,196.08,13.64,280.8,24,8.17,no_data_yet,no_data_yet,111.47,49682.12
2015-4-22,27.0,529.93,13.96,306.7,25,21.197,no_data_yet,no_data_yet,167.73,49554.41
2015-4-23,31.0,293.12,13.13,249.7,31,9.455,no_data_yet,no_data_yet,88.18,49488.99
2015-4-24,20.0,227.63,13.6,279.0,20,11.382,no_data_yet,no_data_yet,116.32,49391.23
2015-4-25,25.0,180.8,12.64,223.2,25,7.232,no_data_yet,no_data_yet,151.59,49253.36
2015-4-26,15.0,3.2,12.0,180.0,15,0.213,no_data_yet,no_data_yet,998.75,48254.72
2015-4-27,23.0,342.94,12.96,242.6,23,14.91,no_data_yet,no_data_yet,18.3,48300.26
2015-4-28,39.0,724.45,13.95,300.0,38,19.065,no_data_yet,no_data_yet,50.51,48410.01
2015-4-29,47.0,473.53,12.96,241.3,45,10.523,no_data_yet,no_data_yet,59.95,48501.11
2015-4-30,39.0,769.79,13.92,300.0,38,20.258,no_data_yet,no_data_yet,503.42,49065.28
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,145.67,48919.61
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,165.4,48754.22
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,303.35,48450.87
2015-5-4,17.0,216.08,13.12,254.1,17,12.711,no_data_yet,no_data_yet,1.81,48460.67
2015-5-5,21.0,114.58,12.86,227.1,20,5.729,no_data_yet,no_data_yet,166.96,48303.09
