时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
方圆财富
2015-3-26,8.0,40.0,21.6,52.5,1,40.0,no_data_yet,no_data_yet,35.66,1107.32
2015-3-27,7.0,37.3,21.6,60.0,1,37.3,no_data_yet,no_data_yet,22.85,1131.59
2015-3-28,7.0,35.0,21.6,55.7,1,35.0,no_data_yet,no_data_yet,24.57,1157.36
2015-3-29,5.0,30.0,21.6,60.0,1,30.0,no_data_yet,no_data_yet,6.41,1164.88
2015-3-30,5.0,32.0,21.6,60.0,1,32.0,no_data_yet,no_data_yet,18.23,1184.3
2015-3-31,4.0,20.0,21.6,52.5,1,20.0,no_data_yet,no_data_yet,11.5,1196.46
2015-4-1,5.0,25.0,21.6,54.0,1,25.0,no_data_yet,no_data_yet,6.23,1203.53
2015-4-2,5.0,30.0,21.6,60.0,1,30.0,no_data_yet,no_data_yet,16.41,1220.96
2015-4-3,6.0,35.0,21.6,65.0,1,35.0,no_data_yet,no_data_yet,16.32,1238.58
2015-4-4,6.0,31.0,21.6,50.0,1,31.0,no_data_yet,no_data_yet,7.32,1246.86
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,36.92,1209.95
2015-4-6,7.0,40.0,21.6,51.4,1,40.0,no_data_yet,no_data_yet,12.26,1223.59
2015-4-7,8.0,50.0,21.6,56.3,1,50.0,no_data_yet,no_data_yet,7.05,1218.38
2015-4-8,6.0,33.0,21.6,60.0,1,33.0,no_data_yet,no_data_yet,19.5,1239.08
2015-4-9,3.0,13.0,21.6,60.0,1,13.0,no_data_yet,no_data_yet,8.63,1230.94
2015-4-10,5.0,24.2,21.6,78.0,1,24.2,no_data_yet,no_data_yet,2.3,1234.48
2015-4-11,4.0,18.0,21.6,67.5,1,18.0,no_data_yet,no_data_yet,6.77,1228.46
2015-4-12,4.0,18.0,21.6,52.5,1,18.0,no_data_yet,no_data_yet,6.46,1235.5
2015-4-13,4.0,18.0,21.6,67.5,1,18.0,no_data_yet,no_data_yet,11.64,1247.9
2015-4-14,4.0,18.0,21.6,90.0,1,18.0,no_data_yet,no_data_yet,12.91,1261.83
2015-4-15,5.0,24.0,21.6,60.0,1,24.0,no_data_yet,no_data_yet,13.83,1248.9
2015-4-16,4.0,18.0,21.6,52.5,1,18.0,no_data_yet,no_data_yet,1.74,1247.74
2015-4-17,5.0,23.0,21.6,48.0,1,23.0,no_data_yet,no_data_yet,13.32,1261.72
2015-4-18,4.0,19.0,21.6,90.0,1,19.0,no_data_yet,no_data_yet,9.35,1272.21
2015-4-19,4.0,18.0,21.6,52.5,1,18.0,no_data_yet,no_data_yet,8.55,1281.34
2015-4-20,4.0,19.1,21.6,67.5,1,19.1,no_data_yet,no_data_yet,14.83,1296.98
2015-4-21,5.0,23.0,21.6,66.0,1,23.0,no_data_yet,no_data_yet,23.0,1320.92
2015-4-22,3.0,13.0,21.6,60.0,1,13.0,no_data_yet,no_data_yet,1.77,1319.63
2015-4-23,4.0,19.0,21.6,67.5,1,19.0,no_data_yet,no_data_yet,16.03,1304.41
2015-4-24,6.0,36.0,21.6,65.0,1,36.0,no_data_yet,no_data_yet,21.33,1327.26
2015-4-25,7.0,35.5,21.6,81.4,1,35.5,no_data_yet,no_data_yet,15.51,1344.59
2015-4-26,5.0,24.5,21.6,60.0,1,24.5,no_data_yet,no_data_yet,4.63,1350.09
2015-4-27,6.0,43.0,21.6,70.0,1,43.0,no_data_yet,no_data_yet,22.12,1374.22
2015-4-28,4.0,18.0,21.6,67.5,1,18.0,no_data_yet,no_data_yet,7.28,1382.26
2015-4-29,4.0,18.0,21.6,67.5,1,18.0,no_data_yet,no_data_yet,3.12,1379.9
2015-4-30,4.0,18.0,21.6,67.5,1,18.0,no_data_yet,no_data_yet,2.28,1382.94
2015-5-1,3.0,13.0,21.6,60.0,1,13.0,no_data_yet,no_data_yet,7.9,1375.52
2015-5-2,6.0,28.0,21.6,65.0,1,28.0,no_data_yet,no_data_yet,2.9,1373.74
2015-5-3,4.0,18.0,21.6,52.5,1,18.0,no_data_yet,no_data_yet,2.99,1371.32
2015-5-4,5.0,23.0,21.6,108.0,1,23.0,no_data_yet,no_data_yet,2.83,1370.06
2015-5-5,5.0,23.0,21.6,48.0,1,23.0,no_data_yet,no_data_yet,11.73,1382.46
2015-5-6,6.0,29.02,21.6,60.0,1,29.02,no_data_yet,no_data_yet,0.95,1382.59
2015-5-7,5.0,27.0,21.6,66.0,1,27.0,no_data_yet,no_data_yet,1.21,1382.46
2015-5-8,5.0,25.0,21.6,66.0,1,25.0,no_data_yet,no_data_yet,4.14,1387.64
2015-5-9,5.0,23.0,21.6,84.0,1,23.0,no_data_yet,no_data_yet,13.51,1402.36
2015-5-10,4.0,18.0,21.6,60.0,1,18.0,no_data_yet,no_data_yet,11.96,1391.07
2015-5-11,3.0,13.0,21.6,60.0,1,13.0,no_data_yet,no_data_yet,6.67,1384.89
2015-5-12,5.0,26.0,21.6,54.0,1,26.0,no_data_yet,no_data_yet,1.33,1387.03
2015-5-13,4.0,18.0,21.6,67.5,1,18.0,no_data_yet,no_data_yet,3.42,1391.21
2015-5-14,4.0,29.0,21.6,67.5,1,29.0,no_data_yet,no_data_yet,24.68,1417.13
2015-5-15,4.0,19.1,21.6,52.5,1,19.1,no_data_yet,no_data_yet,4.51,1422.23
2015-5-16,5.0,25.0,21.6,54.0,1,25.0,no_data_yet,no_data_yet,0.72,1422.34
2015-5-17,4.0,19.0,21.6,60.0,1,19.0,no_data_yet,no_data_yet,0.94,1422.1
2015-5-18,7.0,34.5,21.6,64.3,1,34.5,no_data_yet,no_data_yet,13.67,1437.13
2015-5-19,4.0,18.0,21.6,90.0,1,18.0,no_data_yet,no_data_yet,3.39,1441.54
