时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
易宝金融
2015-3-26,8.0,470.0,9.31,70.5,4,117.5,no_data_yet,no_data_yet,470.0,32119.65
2015-3-27,10.0,485.5,8.6,38.7,6,80.917,no_data_yet,no_data_yet,152.27,31973.6
2015-3-28,2.0,200.0,11.25,135.0,2,100.0,no_data_yet,no_data_yet,407.19,31575.04
2015-3-29,3.0,135.0,8.0,24.0,2,67.5,no_data_yet,no_data_yet,310.92,31264.88
2015-3-30,16.0,888.6,8.91,65.1,10,88.86,no_data_yet,no_data_yet,289.96,31581.44
2015-3-31,13.0,314.5,8.15,39.8,11,28.591,no_data_yet,no_data_yet,32.0,31622.6
2015-4-1,10.0,527.5,8.65,71.7,9,58.611,no_data_yet,no_data_yet,59.19,31696.92
2015-4-2,8.0,338.7,7.81,30.0,7,48.386,no_data_yet,no_data_yet,177.01,31877.24
2015-4-3,9.0,685.5,9.06,86.6,6,114.25,no_data_yet,no_data_yet,50.13,31970.89
2015-4-4,3.0,100.0,10.0,134.0,2,50.0,no_data_yet,no_data_yet,316.3,31665.17
2015-4-5,1.0,100.0,8.0,30.0,1,100.0,no_data_yet,no_data_yet,109.54,31556.31
2015-4-6,1.0,5.0,10.0,30.0,1,5.0,no_data_yet,no_data_yet,576.77,30979.58
2015-4-7,17.0,725.0,8.3,52.6,6,120.833,no_data_yet,no_data_yet,159.53,31156.66
2015-4-8,12.0,495.0,7.91,29.3,3,165.0,no_data_yet,no_data_yet,112.17,31272.4
2015-4-9,12.0,755.0,8.61,60.3,5,151.0,no_data_yet,no_data_yet,381.14,31674.03
2015-4-10,7.0,437.0,8.61,57.4,6,72.833,no_data_yet,no_data_yet,61.23,31623.06
2015-4-11,4.0,255.0,9.0,63.0,3,85.0,no_data_yet,no_data_yet,294.76,31336.85
2015-4-12,3.0,75.0,8.1,29.0,1,75.0,no_data_yet,no_data_yet,361.94,30975.5
2015-4-13,14.0,812.9,8.45,51.7,7,116.129,no_data_yet,no_data_yet,570.02,31563.46
2015-4-14,9.0,623.5,9.33,90.6,8,77.938,no_data_yet,no_data_yet,398.16,31991.58
2015-4-15,10.0,653.62,8.98,89.0,7,93.374,no_data_yet,no_data_yet,107.46,32126.27
2015-4-16,7.0,261.5,8.57,60.3,5,52.3,no_data_yet,no_data_yet,365.31,31772.52
2015-4-17,14.0,970.0,8.56,64.5,5,194.0,no_data_yet,no_data_yet,545.36,32342.92
2015-4-18,2.0,35.0,8.0,21.0,1,35.0,no_data_yet,no_data_yet,258.08,32084.94
2015-4-19,2.0,105.0,11.0,105.0,2,52.5,no_data_yet,no_data_yet,751.26,31339.72
2015-4-20,10.0,495.0,7.83,33.3,2,247.5,no_data_yet,no_data_yet,221.22,31566.35
2015-4-21,13.0,855.0,9.28,99.5,5,171.0,no_data_yet,no_data_yet,548.57,32155.83
2015-4-22,6.0,249.3,7.88,26.2,2,124.65,no_data_yet,no_data_yet,57.4,32100.11
2015-4-23,6.0,315.0,8.38,51.5,2,157.5,no_data_yet,no_data_yet,87.17,32020.28
2015-4-24,7.0,623.68,10.33,134.6,3,207.893,no_data_yet,no_data_yet,200.19,32268.11
2015-4-25,4.0,185.0,8.08,29.3,1,185.0,no_data_yet,no_data_yet,141.62,32127.77
2015-4-26,2.0,130.0,9.65,156.0,2,65.0,no_data_yet,no_data_yet,514.33,31624.58
2015-4-27,13.0,1195.0,9.09,79.2,4,298.75,no_data_yet,no_data_yet,1041.0,32724.27
2015-4-28,9.0,260.0,8.48,44.3,5,52.0,no_data_yet,no_data_yet,69.01,32662.24
2015-4-29,16.0,518.62,7.89,41.4,10,51.862,no_data_yet,no_data_yet,5.41,32679.99
2015-4-30,15.0,671.4,8.73,63.6,10,67.14,no_data_yet,no_data_yet,294.21,33000.87
2015-5-1,2.0,44.3,7.0,21.0,2,22.15,no_data_yet,no_data_yet,382.82,32618.2
2015-5-2,5.0,272.7,8.4,88.8,3,90.9,no_data_yet,no_data_yet,179.12,32453.95
2015-5-3,3.0,65.0,8.0,24.0,2,32.5,no_data_yet,no_data_yet,294.91,32159.35
