时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
易通贷
2015-3-26,18.0,413.0,17.02,130.0,9,45.889,no_data_yet,no_data_yet,161.51,45162.53
2015-3-27,23.0,536.0,17.04,139.6,6,89.333,no_data_yet,no_data_yet,155.27,45360.01
2015-3-28,16.0,336.0,16.19,105.0,6,56.0,no_data_yet,no_data_yet,13.54,45366.74
2015-3-29,16.0,351.0,16.98,88.1,6,58.5,no_data_yet,no_data_yet,134.89,45245.19
2015-3-30,27.0,588.0,16.93,141.1,7,84.0,no_data_yet,no_data_yet,22.15,45312.68
2015-3-31,22.0,493.0,16.86,125.5,6,82.167,no_data_yet,no_data_yet,138.61,45484.22
2015-4-1,21.0,477.0,16.76,118.6,6,79.5,no_data_yet,no_data_yet,70.19,45585.48
2015-4-2,24.0,530.0,16.75,107.5,9,58.889,no_data_yet,no_data_yet,156.37,45770.22
2015-4-3,26.0,615.0,17.62,153.5,6,102.5,no_data_yet,no_data_yet,257.7,46079.71
2015-4-4,18.0,405.0,17.24,130.0,6,67.5,no_data_yet,no_data_yet,2.8,46106.95
2015-4-5,18.0,400.0,17.13,125.0,6,66.667,no_data_yet,no_data_yet,57.43,46192.54
2015-4-6,17.0,366.0,17.14,121.8,7,52.286,no_data_yet,no_data_yet,5.89,46221.33
2015-4-7,23.0,473.0,16.65,104.3,7,67.571,no_data_yet,no_data_yet,139.38,46385.53
2015-4-8,20.0,425.0,16.85,129.0,4,106.25,no_data_yet,no_data_yet,9.96,46406.84
2015-4-9,26.0,551.0,16.88,124.6,8,68.875,no_data_yet,no_data_yet,149.77,46592.92
2015-4-10,24.0,493.0,16.79,126.3,7,70.429,no_data_yet,no_data_yet,61.48,46688.54
2015-4-11,19.0,407.0,16.69,96.3,6,67.833,no_data_yet,no_data_yet,1.22,46708.9
2015-4-12,19.0,415.0,16.63,107.4,7,59.286,no_data_yet,no_data_yet,0.42,46732.95
2015-4-13,21.0,467.0,16.67,118.6,7,66.714,no_data_yet,no_data_yet,55.84,46818.47
2015-4-14,23.0,484.0,16.2,110.9,7,69.143,no_data_yet,no_data_yet,25.23,46822.42
2015-4-15,25.0,555.0,16.74,134.4,6,92.5,no_data_yet,no_data_yet,6.39,46856.37
2015-4-16,23.0,453.0,15.93,88.7,7,64.714,no_data_yet,no_data_yet,56.84,46819.36
2015-4-17,30.0,631.0,16.99,129.0,8,78.875,no_data_yet,no_data_yet,251.29,47113.53
2015-4-18,21.0,437.0,16.82,108.6,8,54.625,no_data_yet,no_data_yet,6.38,47131.56
2015-4-19,21.0,448.0,16.96,104.3,7,64.0,no_data_yet,no_data_yet,25.78,47179.18
2015-4-20,32.0,698.0,17.28,134.1,9,77.556,no_data_yet,no_data_yet,255.35,47483.28
2015-4-21,37.0,816.0,17.58,148.4,8,102.0,no_data_yet,no_data_yet,514.61,48056.76
2015-4-22,25.0,544.0,17.17,120.0,6,90.667,no_data_yet,no_data_yet,168.54,48256.95
2015-4-23,22.0,435.0,16.12,99.5,6,72.5,no_data_yet,no_data_yet,55.23,48335.78
2015-4-24,32.0,804.0,17.6,133.1,8,100.5,no_data_yet,no_data_yet,514.37,48897.84
2015-4-25,20.0,452.0,16.29,103.5,7,64.571,no_data_yet,no_data_yet,138.81,49060.82
2015-4-26,18.0,416.0,16.57,101.7,7,59.429,no_data_yet,no_data_yet,2.87,49078.01
2015-4-27,23.0,521.0,16.59,134.3,6,86.833,no_data_yet,no_data_yet,109.43,49226.34
2015-4-28,22.0,505.0,16.73,121.4,7,72.143,no_data_yet,no_data_yet,77.5,49334.29
2015-4-29,18.0,450.0,17.52,150.0,8,56.25,no_data_yet,no_data_yet,16.86,49384.52
2015-4-30,31.0,715.0,16.92,137.4,7,102.143,no_data_yet,no_data_yet,299.72,49734.43
2015-5-1,18.0,460.0,17.53,123.3,8,57.5,no_data_yet,no_data_yet,106.47,49866.86
2015-5-2,22.0,510.0,16.96,120.0,8,63.75,no_data_yet,no_data_yet,98.4,49996.7
2015-5-3,23.0,570.0,17.72,123.9,6,95.0,no_data_yet,no_data_yet,175.08,50202.78
2015-5-4,24.0,515.0,16.88,133.8,7,73.571,no_data_yet,no_data_yet,182.09,50420.22
2015-5-5,25.0,550.0,17.09,134.4,7,78.571,no_data_yet,no_data_yet,298.1,50755.5
2015-5-6,25.0,530.0,16.63,122.4,7,75.714,no_data_yet,no_data_yet,200.9,50988.84
2015-5-7,22.0,485.0,17.05,145.9,6,80.833,no_data_yet,no_data_yet,167.25,51194.43
2015-5-8,31.0,662.0,16.76,134.5,9,73.556,no_data_yet,no_data_yet,366.78,51610.44
2015-5-9,21.0,500.0,17.1,112.9,6,83.333,no_data_yet,no_data_yet,186.77,51824.5
2015-5-10,20.0,436.0,16.6,106.5,7,62.286,no_data_yet,no_data_yet,66.82,51915.97
2015-5-11,31.0,712.0,17.29,135.5,8,89.0,no_data_yet,no_data_yet,292.94,52256.75
2015-5-12,28.0,583.0,16.81,145.7,6,97.167,no_data_yet,no_data_yet,245.36,52548.99
2015-5-13,22.0,484.0,16.63,114.5,7,69.143,no_data_yet,no_data_yet,147.29,52724.94
2015-5-14,39.0,802.0,16.3,120.0,8,100.25,no_data_yet,no_data_yet,229.61,53007.58
2015-5-15,32.0,688.0,16.54,115.3,8,86.0,no_data_yet,no_data_yet,144.98,53193.59
2015-5-16,26.0,582.0,16.6,105.0,7,83.143,no_data_yet,no_data_yet,85.34,53307.59
2015-5-17,25.0,530.0,16.59,111.6,7,75.714,no_data_yet,no_data_yet,16.43,53322.87
2015-5-18,27.0,628.0,17.22,125.6,6,104.667,no_data_yet,no_data_yet,59.75,53422.33
2015-5-19,31.0,677.0,16.73,111.3,7,96.714,no_data_yet,no_data_yet,226.76,53686.74
2015-5-20,22.0,495.0,17.15,124.1,7,70.714,no_data_yet,no_data_yet,39.28,53757.51
2015-5-21,25.0,525.0,16.42,121.2,5,105.0,no_data_yet,no_data_yet,114.88,53907.37
2015-5-22,26.0,570.0,16.92,116.5,9,63.333,no_data_yet,no_data_yet,134.19,54075.02
2015-5-23,20.0,398.0,16.13,105.0,5,79.6,no_data_yet,no_data_yet,13.24,54084.29
2015-5-24,20.0,418.0,16.65,111.0,6,69.667,no_data_yet,no_data_yet,24.33,54083.96
2015-5-25,20.0,441.0,17.01,109.5,6,73.5,no_data_yet,no_data_yet,30.08,54138.16
2015-5-26,30.0,642.0,16.93,120.0,8,80.25,no_data_yet,no_data_yet,264.35,54442.54
2015-5-27,23.0,500.0,16.78,104.3,7,71.429,no_data_yet,no_data_yet,29.45,54498.33
2015-5-28,26.0,585.0,16.88,124.6,6,97.5,no_data_yet,no_data_yet,88.89,54625.05
2015-5-29,27.0,592.0,16.55,100.0,9,65.778,no_data_yet,no_data_yet,48.95,54703.31
2015-5-30,21.0,450.0,16.76,105.7,5,90.0,no_data_yet,no_data_yet,18.33,54709.52
2015-5-31,13.0,280.0,16.8,103.8,5,56.0,no_data_yet,no_data_yet,154.34,54569.69
2015-6-1,25.0,552.0,17.09,116.4,8,69.0,no_data_yet,no_data_yet,114.91,54717.43
2015-6-2,30.0,660.0,16.61,107.0,8,82.5,no_data_yet,no_data_yet,213.8,54966.96
2015-6-3,25.0,565.0,17.04,121.2,7,80.714,no_data_yet,no_data_yet,149.91,55149.86
2015-6-4,28.0,667.0,17.07,124.3,9,74.111,no_data_yet,no_data_yet,241.01,55431.71
2015-6-5,22.0,540.0,17.33,136.4,6,90.0,no_data_yet,no_data_yet,131.82,55600.56
2015-6-6,28.0,690.0,17.11,114.6,7,98.571,no_data_yet,no_data_yet,224.31,55862.68
2015-6-7,25.0,557.0,16.38,112.8,7,79.571,no_data_yet,no_data_yet,81.24,55976.37
2015-6-8,34.0,875.0,17.83,149.1,7,125.0,no_data_yet,no_data_yet,391.87,56426.82
2015-6-9,28.0,660.0,16.89,122.1,7,94.286,no_data_yet,no_data_yet,228.11,56695.17
2015-6-10,23.0,522.0,16.6,117.4,7,74.571,no_data_yet,no_data_yet,58.1,56784.58
2015-6-11,26.0,590.0,16.68,125.8,6,98.333,no_data_yet,no_data_yet,125.68,56948.69
2015-6-12,28.0,635.0,17.17,151.1,7,90.714,no_data_yet,no_data_yet,215.78,57212.3
2015-6-13,19.0,382.0,15.93,115.3,6,63.667,no_data_yet,no_data_yet,181.61,57053.68
2015-6-14,17.0,365.0,16.72,112.9,8,45.625,no_data_yet,no_data_yet,185.85,56887.87
2015-6-15,26.0,569.5,16.48,118.8,7,81.357,no_data_yet,no_data_yet,38.43,56886.43
2015-6-16,29.0,670.0,16.81,115.9,5,134.0,no_data_yet,no_data_yet,105.45,57032.27
2015-6-17,33.0,800.0,17.73,168.2,5,160.0,no_data_yet,no_data_yet,273.44,57376.25
2015-6-18,35.0,789.5,16.63,123.4,10,78.95,no_data_yet,no_data_yet,291.4,57719.72
2015-6-19,34.0,760.0,16.93,109.4,7,108.571,no_data_yet,no_data_yet,292.06,58053.11
2015-6-20,23.0,469.5,16.47,113.5,7,67.071,no_data_yet,no_data_yet,50.22,58031.55
2015-6-21,19.0,425.0,17.01,115.3,6,70.833,no_data_yet,no_data_yet,52.34,58003.39
2015-6-22,26.0,589.0,17.35,129.2,6,98.167,no_data_yet,no_data_yet,113.53,58155.75
2015-6-23,38.0,841.5,17.07,135.8,9,93.5,no_data_yet,no_data_yet,352.1,58567.24
2015-6-24,39.0,856.0,16.51,116.9,9,95.111,no_data_yet,no_data_yet,475.11,59094.44
2015-6-25,45.0,917.0,16.64,116.7,9,101.889,no_data_yet,no_data_yet,489.62,59641.35
2015-6-26,39.0,822.0,16.96,132.3,10,82.2,no_data_yet,no_data_yet,468.79,60166.95
2015-6-27,36.0,790.5,17.11,122.5,7,112.929,no_data_yet,no_data_yet,316.76,60534.36
2015-6-28,24.0,527.5,16.7,116.3,6,87.917,no_data_yet,no_data_yet,54.97,60622.1
2015-6-29,35.0,826.5,17.34,141.4,6,137.75,no_data_yet,no_data_yet,371.6,61055.37
2015-6-30,38.0,853.5,17.2,145.3,9,94.833,no_data_yet,no_data_yet,480.7,61600.88
2015-7-1,34.0,815.0,17.5,139.4,7,116.429,no_data_yet,no_data_yet,399.27,62055.62
2015-7-2,42.0,1000.5,17.28,140.0,9,111.167,no_data_yet,no_data_yet,503.28,62628.1
2015-7-3,43.0,1009.0,17.27,143.0,9,112.111,no_data_yet,no_data_yet,557.29,63255.23
2015-7-4,33.0,799.0,17.4,129.1,7,114.143,no_data_yet,no_data_yet,356.47,63659.3
2015-7-5,34.0,834.5,17.57,129.7,10,83.45,no_data_yet,no_data_yet,466.63,64175.57
2015-7-6,35.0,825.0,17.19,137.1,7,117.857,no_data_yet,no_data_yet,359.78,64591.69
2015-7-7,37.0,891.5,17.32,138.6,9,99.056,no_data_yet,no_data_yet,442.86,65095.89
2015-7-8,41.0,959.5,17.2,144.1,8,119.938,no_data_yet,no_data_yet,438.25,65602.53
2015-7-9,33.0,775.5,17.18,136.4,8,96.938,no_data_yet,no_data_yet,311.68,65966.51
2015-7-10,34.0,829.0,17.23,127.1,8,103.625,no_data_yet,no_data_yet,332.83,66350.44
2015-7-11,26.0,533.0,16.08,96.9,5,106.6,no_data_yet,no_data_yet,57.56,66434.87
2015-7-12,25.0,508.5,16.1,96.0,6,84.75,no_data_yet,no_data_yet,2.46,66462.64
2015-7-13,36.0,774.0,16.82,114.2,6,129.0,no_data_yet,no_data_yet,290.03,66797.52
2015-7-14,38.0,811.5,16.69,111.3,9,90.167,no_data_yet,no_data_yet,349.49,67192.85
2015-7-15,37.0,784.0,16.79,113.5,7,112.0,no_data_yet,no_data_yet,323.18,67561.29
2015-7-16,36.0,766.5,16.73,120.0,7,109.5,no_data_yet,no_data_yet,263.72,67873.32
2015-7-17,41.0,869.5,16.76,112.0,8,108.688,no_data_yet,no_data_yet,351.54,68273.3
2015-7-18,36.0,750.0,16.58,113.3,5,150.0,no_data_yet,no_data_yet,195.51,68515.9
2015-7-19,32.0,688.0,17.08,138.8,8,86.0,no_data_yet,no_data_yet,167.87,68735.19
2015-7-20,36.0,826.5,17.59,133.3,9,91.833,no_data_yet,no_data_yet,341.77,69130.86
2015-7-21,44.0,998.0,17.1,128.9,9,110.889,no_data_yet,no_data_yet,528.64,69727.72
2015-7-22,39.0,843.5,16.48,119.2,7,120.5,no_data_yet,no_data_yet,453.35,70237.42
2015-7-23,40.0,890.5,17.04,125.3,8,111.313,no_data_yet,no_data_yet,324.37,70618.38
2015-7-24,38.0,829.0,16.74,118.4,9,92.111,no_data_yet,no_data_yet,334.54,71002.72
2015-7-25,31.0,636.5,15.99,100.6,7,90.929,no_data_yet,no_data_yet,89.3,71127.26
2015-7-26,31.0,641.5,16.59,106.5,7,91.643,no_data_yet,no_data_yet,134.92,71297.95
2015-7-27,45.0,893.0,16.41,110.0,8,111.625,no_data_yet,no_data_yet,385.84,71735.46
2015-7-28,49.0,1007.5,17.11,129.2,9,111.944,no_data_yet,no_data_yet,561.13,72359.66
2015-7-29,44.0,888.0,16.63,124.8,8,111.0,no_data_yet,no_data_yet,350.27,72770.0
2015-7-30,44.0,950.5,17.1,139.1,10,95.05,no_data_yet,no_data_yet,473.83,73313.19
2015-7-31,41.0,964.5,17.58,149.3,7,137.786,no_data_yet,no_data_yet,419.17,73802.56
2015-8-1,33.0,757.5,17.36,127.3,7,108.214,no_data_yet,no_data_yet,111.01,73960.96
2015-8-2,28.0,630.5,16.81,102.9,6,105.083,no_data_yet,no_data_yet,99.71,74091.06
2015-8-3,53.0,1221.5,17.57,131.3,9,135.722,no_data_yet,no_data_yet,694.45,74861.11
2015-8-4,42.0,996.0,17.6,142.1,9,110.667,no_data_yet,no_data_yet,521.41,75451.5
2015-8-5,42.0,993.5,17.4,132.1,9,110.389,no_data_yet,no_data_yet,486.29,76000.39
2015-8-6,61.0,1373.0,17.6,154.9,12,114.417,no_data_yet,no_data_yet,787.15,76894.46
2015-8-7,56.0,1270.0,17.81,148.9,9,141.111,no_data_yet,no_data_yet,618.58,77599.45
2015-8-8,42.0,969.5,17.32,124.3,9,107.722,no_data_yet,no_data_yet,413.49,78066.83
2015-8-9,35.0,787.0,16.77,114.9,9,87.444,no_data_yet,no_data_yet,205.54,78315.78
2015-8-10,56.0,1295.5,17.5,138.2,8,161.938,no_data_yet,no_data_yet,846.49,79248.51
2015-8-11,50.0,1169.5,17.42,141.0,11,106.318,no_data_yet,no_data_yet,730.61,80056.93
2015-8-12,55.0,1328.0,17.07,134.7,9,147.556,no_data_yet,no_data_yet,681.8,80825.61
2015-8-13,65.0,1381.5,17.3,158.3,12,115.125,no_data_yet,no_data_yet,761.24,81701.03
2015-8-14,72.0,1482.5,17.25,143.8,9,164.722,no_data_yet,no_data_yet,916.29,82724.79
2015-8-15,50.0,1079.0,17.55,156.6,9,119.889,no_data_yet,no_data_yet,462.56,83274.94
2015-8-16,47.0,1015.5,16.79,109.8,9,112.833,no_data_yet,no_data_yet,359.04,83683.45
2015-8-17,58.0,1241.5,17.35,148.4,8,155.188,no_data_yet,no_data_yet,567.3,84342.28
2015-8-18,81.0,1671.0,17.15,144.8,12,139.25,no_data_yet,no_data_yet,1139.44,85605.73
2015-8-19,48.0,1083.5,17.17,118.1,10,108.35,no_data_yet,no_data_yet,598.81,86263.43
2015-8-20,53.0,1164.5,16.94,130.8,10,116.45,no_data_yet,no_data_yet,567.63,86906.68
2015-8-21,49.0,1152.5,17.34,153.7,8,144.063,no_data_yet,no_data_yet,678.22,87673.43
2015-8-22,45.0,1015.0,16.58,113.3,8,126.875,no_data_yet,no_data_yet,433.45,88163.02
2015-8-23,35.0,780.0,16.38,103.7,9,86.667,no_data_yet,no_data_yet,237.14,88438.61
2015-8-24,50.0,1142.5,16.86,132.0,8,142.813,no_data_yet,no_data_yet,512.54,89025.95
2015-8-25,54.0,1267.5,17.07,142.2,10,126.75,no_data_yet,no_data_yet,701.15,89816.06
2015-8-26,57.0,1285.0,17.01,128.4,9,142.778,no_data_yet,no_data_yet,606.47,90499.63
2015-8-27,59.0,1282.5,16.91,133.7,9,142.5,no_data_yet,no_data_yet,609.14,91195.0
2015-8-28,53.0,1237.0,17.44,151.7,9,137.444,no_data_yet,no_data_yet,610.91,91898.06
2015-8-29,40.0,950.0,17.24,131.3,7,135.714,no_data_yet,no_data_yet,452.66,92407.54
2015-8-30,38.0,870.0,16.77,116.1,8,108.75,no_data_yet,no_data_yet,195.04,92649.43
2015-8-31,49.0,1137.0,17.62,155.5,8,142.125,no_data_yet,no_data_yet,471.19,93205.98
2015-9-1,58.0,1306.0,17.54,153.6,10,130.6,no_data_yet,no_data_yet,718.16,94022.88
2015-9-2,56.0,1281.0,17.31,148.9,11,116.455,no_data_yet,no_data_yet,574.88,94691.55
2015-9-3,44.0,1119.0,17.58,138.4,8,139.875,no_data_yet,no_data_yet,476.41,95236.64
2015-9-4,37.0,904.0,17.18,126.5,9,100.444,no_data_yet,no_data_yet,211.57,95501.65
2015-9-5,32.0,759.0,16.78,110.6,7,108.429,no_data_yet,no_data_yet,100.38,95640.86
2015-9-6,53.0,1201.0,17.37,137.5,9,133.444,no_data_yet,no_data_yet,474.05,96193.62
2015-9-7,61.0,1324.0,17.25,144.6,10,132.4,no_data_yet,no_data_yet,665.9,96952.91
2015-9-8,69.0,1446.0,17.2,139.6,10,144.6,no_data_yet,no_data_yet,833.53,97883.59
2015-9-9,53.0,1147.0,17.29,132.5,9,127.444,no_data_yet,no_data_yet,547.41,98503.14
2015-9-10,55.0,1236.0,17.6,155.5,11,112.364,no_data_yet,no_data_yet,629.55,99226.81
2015-9-11,58.0,1241.0,17.2,137.6,9,137.889,no_data_yet,no_data_yet,669.75,99978.26
2015-9-12,48.0,1053.0,17.2,131.9,10,105.3,no_data_yet,no_data_yet,498.79,100542.55
2015-9-13,43.0,967.0,16.96,114.4,8,120.875,no_data_yet,no_data_yet,271.6,100866.24
2015-9-14,64.0,1402.0,17.26,143.0,11,127.455,no_data_yet,no_data_yet,768.85,101732.78
2015-9-15,63.0,1338.0,17.37,140.5,10,133.8,no_data_yet,no_data_yet,578.93,102401.24
2015-9-16,66.0,1360.0,17.13,141.4,9,151.111,no_data_yet,no_data_yet,600.57,103099.01
2015-9-17,64.0,1339.0,17.3,139.2,10,133.9,no_data_yet,no_data_yet,481.64,103674.6
2015-9-18,64.0,1310.0,17.2,138.3,12,109.167,no_data_yet,no_data_yet,713.06,104479.62
2015-9-19,48.0,978.0,17.1,128.8,11,88.909,no_data_yet,no_data_yet,371.87,104913.98
2015-9-20,53.0,1092.0,17.07,130.8,10,109.2,no_data_yet,no_data_yet,437.5,105422.11
2015-9-21,87.0,1778.0,17.39,150.0,10,177.8,no_data_yet,no_data_yet,966.37,106520.64
2015-9-22,107.0,2125.0,17.34,154.8,10,212.5,no_data_yet,no_data_yet,1298.6,107990.66
2015-9-23,83.0,1637.5,17.1,134.5,12,136.458,no_data_yet,no_data_yet,820.71,108919.8
2015-9-24,77.0,1495.0,17.16,133.6,8,186.875,no_data_yet,no_data_yet,676.23,109692.48
2015-9-25,77.0,1497.5,17.18,143.0,12,124.792,no_data_yet,no_data_yet,513.8,110317.53
2015-9-26,55.0,1165.0,17.52,144.0,11,105.909,1237,0.942,378.66,110776.27
2015-9-27,49.0,1020.0,16.91,120.0,8,127.5,1184,0.861,221.6,111057.23
2015-9-28,86.0,1730.0,17.19,145.1,9,192.222,1739,0.995,958.08,112143.5
2015-9-29,95.0,1932.0,17.38,155.4,10,193.2,1611,1.199,1092.25,113392.49
2015-9-30,110.0,2391.0,17.6,161.7,14,170.786,1871,1.278,1638.52,115219.2
2015-10-1,73.0,1655.0,17.52,143.8,8,206.875,1413,1.171,806.14,116131.8
2015-10-2,56.0,1290.0,17.51,132.9,8,161.25,1381,0.934,454.3,116658.4
2015-10-3,48.0,1108.0,17.43,130.6,8,138.5,1305,0.849,241.22,116962.89
2015-10-4,49.0,1133.0,17.49,142.7,8,141.625,1348,0.841,343.78,117382.43
2015-10-5,47.0,1089.0,17.47,135.3,10,108.9,1378,0.79,153.12,117601.84
2015-10-6,50.0,1164.0,17.58,141.6,8,145.5,1386,0.84,251.0,117926.88
2015-10-7,51.0,1171.0,17.43,133.5,9,130.111,1502,0.78,350.65,118347.02
2015-10-8,116.0,2496.0,16.93,147.4,12,208.0,2035,1.227,1563.59,120090.85
2015-10-9,90.0,1984.0,16.03,125.0,13,152.615,2064,0.961,1281.26,121502.84
2015-10-10,88.0,1964.0,16.04,123.8,14,140.286,2078,0.945,1265.77,122895.66
2015-10-11,63.0,1451.0,16.99,133.8,10,145.1,1794,0.809,546.65,123537.13
2015-10-12,76.0,1746.0,16.66,140.1,12,145.5,1990,0.877,837.8,124500.52
2015-10-13,92.0,1909.0,15.95,123.3,13,146.846,1943,0.983,1027.27,125652.39
2015-10-14,81.0,1778.0,16.79,145.9,12,148.167,1927,0.923,955.2,126737.43
2015-10-15,93.0,1962.0,16.37,140.0,12,163.5,1905,1.03,1068.27,127946.6
2015-10-16,92.0,2075.0,17.15,160.4,13,159.615,2264,0.917,1178.74,129295.03
2015-10-17,66.0,1522.0,16.52,126.4,13,117.077,1835,0.829,687.01,130075.17
2015-10-18,69.0,1470.0,16.41,119.6,11,133.636,1917,0.767,609.95,130772.76
2015-10-19,89.0,1875.0,16.65,128.4,12,156.25,1993,0.941,1008.56,131903.69
2015-10-20,89.0,1872.0,16.45,127.4,11,170.182,2054,0.911,1048.41,133076.48
2015-10-21,88.0,1934.0,16.78,140.8,13,148.769,2131,0.908,988.35,134208.32
2015-10-22,78.0,1772.0,16.66,140.0,15,118.133,1879,0.943,767.87,135106.23
2015-10-23,80.0,1826.0,16.37,132.4,11,166.0,1682,1.086,1001.75,136232.57
2015-10-24,57.0,1293.0,16.58,114.7,11,117.545,1733,0.746,402.44,136701.63
2015-10-25,45.0,1066.0,16.85,126.7,12,88.833,1449,0.736,120.31,136887.59
2015-10-26,74.0,1737.0,16.56,133.0,14,124.071,1953,0.889,868.28,137871.7
2015-10-27,69.0,1653.0,16.44,124.8,12,137.75,1880,0.879,879.26,138849.56
2015-10-28,71.0,1700.0,16.68,132.7,11,154.545,2030,0.837,816.7,139776.58
2015-10-29,77.0,1819.0,16.58,141.8,11,165.364,1841,0.988,894.37,140804.23
2015-10-30,81.0,1823.0,16.31,125.2,15,121.533,1818,1.003,777.95,141686.65
2015-10-31,54.0,1243.0,17.0,136.1,13,95.615,1305,0.952,349.69,142114.23
2015-11-1,63.0,1438.0,16.43,126.2,11,130.727,1611,0.893,329.76,142526.53
2015-11-2,74.0,1737.0,17.04,150.4,11,157.909,1793,0.969,819.11,143474.89
2015-11-3,74.0,1787.0,17.04,152.0,13,137.462,1802,0.992,843.13,144456.29
2015-11-4,77.0,1795.0,16.12,128.2,12,149.583,1840,0.976,779.91,145353.38
2015-11-5,76.0,1850.0,16.51,134.6,12,154.167,1848,1.001,703.16,146180.46
2015-11-6,65.0,1595.0,16.87,136.6,12,132.917,1870,0.853,600.35,146888.43
2015-11-7,54.0,1320.0,16.69,127.2,10,132.0,1558,0.847,156.1,147127.06
2015-11-8,52.0,1270.0,16.79,131.5,11,115.455,1794,0.708,155.27,147055.72
2015-11-9,68.0,1575.0,16.37,131.5,11,143.182,2341,0.673,162.29,147317.08
2015-11-10,84.0,1994.0,16.95,147.9,12,166.167,2221,0.898,658.96,148115.88
2015-11-11,75.0,1784.0,16.24,128.0,12,148.667,2200,0.811,593.04,148822.85
2015-11-12,90.0,2085.0,16.32,136.0,15,139.0,2404,0.867,687.79,149649.22
2015-11-13,91.0,2010.0,16.29,131.2,13,154.615,2385,0.843,865.87,150641.23
2015-11-14,68.0,1543.0,16.46,127.1,13,118.692,1752,0.881,293.2,151026.44
2015-11-15,56.0,1298.0,16.88,131.3,11,118.0,1739,0.746,126.38,151232.97
2015-11-16,92.0,2090.0,16.81,152.0,12,174.167,2294,0.911,745.92,152136.86
2015-11-17,95.0,2020.0,16.09,130.4,14,144.286,2217,0.911,813.29,153084.35
2015-11-18,77.0,1758.0,16.84,143.8,13,135.231,2174,0.809,621.04,153826.7
2015-11-19,77.0,1695.0,16.57,135.6,14,121.071,2187,0.775,563.41,154499.85
2015-11-20,84.0,1775.0,16.1,125.4,14,126.786,2071,0.857,535.72,155144.49
