时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
春鹏易贷
2015-3-26,5.0,50.0,20.8,84.0,3,16.667,no_data_yet,no_data_yet,15.58,3103.33
2015-3-27,8.0,80.0,20.5,63.8,3,26.667,no_data_yet,no_data_yet,55.58,3161.44
2015-3-28,5.0,57.0,21.0,102.0,3,19.0,no_data_yet,no_data_yet,11.1,3152.96
2015-3-29,3.0,30.0,21.0,100.0,3,10.0,no_data_yet,no_data_yet,25.1,3129.21
2015-3-30,5.0,50.0,20.8,84.0,3,16.667,no_data_yet,no_data_yet,8.03,3123.21
2015-3-31,8.0,89.0,21.25,120.0,4,22.25,no_data_yet,no_data_yet,32.3,3160.09
2015-4-1,6.0,60.0,19.0,75.0,3,20.0,no_data_yet,no_data_yet,23.64,3185.77
2015-4-2,5.0,50.0,19.2,84.0,3,16.667,no_data_yet,no_data_yet,0.01,3187.67
2015-4-3,5.0,50.0,19.2,84.0,4,12.5,no_data_yet,no_data_yet,1.27,3190.83
2015-4-4,3.0,30.0,19.33,100.0,3,10.0,no_data_yet,no_data_yet,18.93,3173.15
2015-4-5,3.0,30.0,19.33,100.0,3,10.0,no_data_yet,no_data_yet,26.88,3147.51
2015-4-6,4.0,45.0,19.5,120.0,4,11.25,no_data_yet,no_data_yet,13.58,3163.22
2015-4-7,5.0,50.0,19.2,84.0,3,16.667,no_data_yet,no_data_yet,13.63,3178.75
2015-4-8,5.0,50.0,19.2,84.0,4,12.5,no_data_yet,no_data_yet,21.2,3159.44
2015-4-9,6.0,65.0,19.33,100.0,4,16.25,no_data_yet,no_data_yet,20.06,3182.11
2015-4-10,5.0,50.0,19.2,84.0,3,16.667,no_data_yet,no_data_yet,13.29,3197.29
2015-4-11,3.0,30.0,19.33,100.0,3,10.0,no_data_yet,no_data_yet,7.55,3190.98
2015-4-12,3.0,30.0,19.33,100.0,3,10.0,no_data_yet,no_data_yet,27.92,3164.3
2015-4-13,5.0,45.0,19.2,84.0,3,15.0,no_data_yet,no_data_yet,8.63,3174.53
2015-4-14,5.0,50.0,19.2,84.0,4,12.5,no_data_yet,no_data_yet,13.63,3190.05
2015-4-15,5.0,50.0,19.2,84.0,4,12.5,no_data_yet,no_data_yet,6.88,3185.07
2015-4-16,5.0,50.0,19.2,84.0,3,16.667,no_data_yet,no_data_yet,6.88,3180.08
2015-4-17,7.0,70.0,19.14,77.1,3,23.333,no_data_yet,no_data_yet,33.64,3216.26
2015-4-18,3.0,31.0,19.33,100.0,3,10.333,no_data_yet,no_data_yet,8.55,3209.01
2015-4-19,4.0,50.0,19.5,97.5,3,16.667,no_data_yet,no_data_yet,5.42,3216.67
2015-4-20,5.0,50.0,19.2,84.0,3,16.667,no_data_yet,no_data_yet,15.76,3234.32
2015-4-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,34.24,3200.08
2015-4-22,5.0,50.0,19.2,84.0,3,16.667,no_data_yet,no_data_yet,4.75,3197.22
2015-4-23,5.0,50.0,19.2,84.0,3,16.667,no_data_yet,no_data_yet,3.47,3202.57
2015-4-24,5.0,50.0,19.2,84.0,5,10.0,no_data_yet,no_data_yet,11.87,3216.33
2015-4-25,3.0,30.0,19.33,100.0,3,10.0,no_data_yet,no_data_yet,6.36,3211.21
2015-4-26,3.0,30.0,19.33,100.0,3,10.0,no_data_yet,no_data_yet,47.03,3165.42
2015-4-27,7.0,89.0,19.14,90.0,3,29.667,no_data_yet,no_data_yet,36.61,3204.95
2015-4-28,5.0,50.0,19.2,84.0,3,16.667,no_data_yet,no_data_yet,13.63,3220.47
2015-4-29,6.0,65.0,19.33,85.0,4,16.25,no_data_yet,no_data_yet,15.37,3238.48
2015-4-30,9.0,110.0,19.56,116.7,4,27.5,no_data_yet,no_data_yet,54.77,3298.59
2015-5-1,3.0,30.0,19.33,100.0,3,10.0,no_data_yet,no_data_yet,18.4,3281.43
2015-5-2,3.0,30.0,19.33,100.0,3,10.0,no_data_yet,no_data_yet,11.71,3270.96
2015-5-3,3.0,30.0,19.33,100.0,3,10.0,no_data_yet,no_data_yet,18.42,3253.78
2015-5-4,5.0,45.0,19.2,84.0,3,15.0,no_data_yet,no_data_yet,4.68,3260.1
2015-5-5,5.0,50.0,19.2,84.0,3,16.667,no_data_yet,no_data_yet,11.89,3273.88
2015-5-6,6.0,61.0,19.0,75.0,4,15.25,no_data_yet,no_data_yet,18.64,3294.58
2015-5-7,5.0,50.0,19.2,84.0,3,16.667,no_data_yet,no_data_yet,1.75,3298.22
2015-5-8,5.0,50.0,19.2,84.0,3,16.667,no_data_yet,no_data_yet,4.37,3304.48
2015-5-9,4.0,40.0,19.0,82.5,3,13.333,no_data_yet,no_data_yet,2.58,3303.29
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,58.6,3244.69
2015-5-11,5.0,50.0,19.2,84.0,3,16.667,no_data_yet,no_data_yet,11.89,3258.47
2015-5-12,5.0,50.0,19.2,84.0,3,16.667,no_data_yet,no_data_yet,10.85,3271.21
2015-5-13,5.0,50.0,19.2,84.0,3,16.667,no_data_yet,no_data_yet,2.63,3275.74
2015-5-14,5.0,50.0,19.2,84.0,4,12.5,no_data_yet,no_data_yet,1.75,3279.38
2015-5-15,5.0,50.0,19.2,84.0,3,16.667,no_data_yet,no_data_yet,1.58,3282.84
2015-5-16,3.0,30.0,19.33,100.0,3,10.0,no_data_yet,no_data_yet,8.42,3275.66
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,48.57,3227.1
2015-5-18,5.0,50.0,19.2,84.0,3,16.667,no_data_yet,no_data_yet,18.7,3247.68
2015-5-19,5.0,50.0,19.2,84.0,4,12.5,no_data_yet,no_data_yet,33.68,3283.26
