时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
民信贷
2015-3-26,23.0,311.0,11.6,79.6,23,13.522,no_data_yet,no_data_yet,196.06,11495.27
2015-3-27,16.0,305.0,12.56,59.1,16,19.063,no_data_yet,no_data_yet,79.68,11579.43
2015-3-28,23.0,312.0,11.57,112.2,23,13.565,no_data_yet,no_data_yet,141.48,11731.08
2015-3-29,9.0,107.0,11.56,135.0,9,11.889,no_data_yet,no_data_yet,85.08,11649.43
2015-3-30,17.0,295.0,12.24,92.6,17,17.353,no_data_yet,no_data_yet,301.15,11354.85
2015-3-31,27.0,379.0,12.47,103.3,27,14.037,no_data_yet,no_data_yet,169.2,11536.02
2015-4-1,6.0,98.0,12.0,62.5,6,16.333,no_data_yet,no_data_yet,134.41,11403.5
2015-4-2,11.0,143.0,10.05,130.9,11,13.0,no_data_yet,no_data_yet,130.4,11276.32
2015-4-3,16.0,196.0,10.01,96.6,16,12.25,no_data_yet,no_data_yet,16.99,11263.37
2015-4-4,4.0,58.0,12.75,37.5,4,14.5,no_data_yet,no_data_yet,230.35,11033.65
2015-4-5,7.0,92.0,11.29,126.4,7,13.143,no_data_yet,no_data_yet,216.69,10819.43
2015-4-6,5.0,80.0,11.2,57.0,5,16.0,no_data_yet,no_data_yet,3.21,10823.94
2015-4-7,19.0,365.0,10.47,65.5,19,19.211,no_data_yet,no_data_yet,239.48,11068.57
2015-4-8,13.0,207.0,10.54,61.2,13,15.923,no_data_yet,no_data_yet,283.15,10788.66
2015-4-9,21.0,309.0,10.89,102.1,21,14.714,no_data_yet,no_data_yet,49.18,10745.69
2015-4-10,21.0,284.0,10.25,82.9,21,13.524,no_data_yet,no_data_yet,79.13,10830.03
2015-4-11,8.0,132.0,9.75,43.1,8,16.5,no_data_yet,no_data_yet,44.86,10786.38
2015-4-12,11.0,172.0,9.75,58.6,11,15.636,no_data_yet,no_data_yet,0.02,10788.29
2015-4-13,12.0,201.0,11.42,51.3,12,16.75,no_data_yet,no_data_yet,117.07,10908.38
2015-4-14,15.0,272.0,10.67,31.0,14,19.429,no_data_yet,no_data_yet,97.32,11007.99
2015-4-15,25.0,371.0,10.74,92.4,25,14.84,no_data_yet,no_data_yet,122.33,11137.77
2015-4-16,16.0,258.0,10.44,63.8,15,17.2,no_data_yet,no_data_yet,137.72,11279.41
2015-4-17,16.0,325.0,10.81,65.6,15,21.667,no_data_yet,no_data_yet,143.48,11427.36
