时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
民生电商
2015-3-26,2.0,1300.0,6.6,61.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1300.0,77845.14
2015-3-27,3.0,2520.0,6.2,63.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2520.0,80392.11
2015-3-28,2.0,1220.0,6.2,59.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1220.0,81624.33
2015-3-29,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1220.0,81624.33
2015-3-30,2.0,1500.0,6.2,59.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1500.0,83139.37
2015-3-31,3.0,500.0,6.47,58.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,500.0,83644.45
2015-4-1,3.0,1251.7,6.47,56.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1251.7,84908.3
2015-4-2,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1251.7,84908.3
2015-4-3,2.0,1000.0,6.75,83.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,216.05,85140.96
2015-4-4,2.0,200.0,7.0,72.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,200.0,85343.72
2015-4-5,3.0,1100.0,6.83,79.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1972.8,83388.91
2015-4-6,4.0,970.0,6.88,76.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,668.52,84072.58
2015-4-7,3.0,1100.0,6.83,76.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1100.0,85189.81
2015-4-8,3.0,1195.92,6.83,76.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1195.92,86404.23
2015-4-9,2.0,100.0,7.0,87.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,100.0,86505.9
2015-4-10,3.0,1000.0,6.83,87.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1000.0,87521.51
2015-4-11,2.0,689.4,6.75,87.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,689.4,88221.65
2015-4-12,1.0,50.0,7.0,87.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5511.91,82710.57
2015-4-13,3.0,1420.0,6.9,154.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1420.0,84200.18
2015-4-14,1.0,50.0,7.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,50.0,84251.04
2015-4-15,4.0,1600.0,6.63,123.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1600.0,85921.28
2015-4-16,5.0,1750.0,6.46,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1327.93,87320.2
2015-4-17,2.0,250.0,6.4,60.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,250.0,87572.05
