时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
民贷天下
2015-3-26,3.0,200.0,9.67,154.3,2,100.0,no_data_yet,no_data_yet,97.21,13984.8
2015-3-27,1.0,100.0,9.0,124.0,1,100.0,no_data_yet,no_data_yet,31.19,13956.67
2015-3-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,30.37,13926.3
2015-3-29,1.0,100.0,9.0,121.0,1,100.0,no_data_yet,no_data_yet,39.51,13968.79
2015-3-30,1.0,100.0,9.0,120.0,1,100.0,no_data_yet,no_data_yet,1.77,13969.98
2015-3-31,1.0,100.0,9.0,119.0,1,100.0,no_data_yet,no_data_yet,748.44,13224.48
2015-4-1,1.0,100.0,9.0,118.0,1,100.0,no_data_yet,no_data_yet,759.29,12468.1
2015-4-2,2.0,450.0,9.0,53.0,2,225.0,no_data_yet,no_data_yet,298.47,12612.0
2015-4-3,1.0,100.0,9.0,117.0,1,100.0,no_data_yet,no_data_yet,284.48,12330.41
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1008.62,11321.79
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,369.92,10951.88
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,318.9,10632.98
2015-4-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,329.5,10303.48
2015-4-8,1.0,50.0,8.0,30.0,1,50.0,no_data_yet,no_data_yet,83.46,10220.35
2015-4-9,4.0,200.0,8.0,30.0,1,200.0,no_data_yet,no_data_yet,148.79,10370.45
2015-4-10,2.0,100.0,8.0,30.0,1,100.0,no_data_yet,no_data_yet,59.51,10430.62
2015-4-11,1.0,100.0,10.0,170.0,1,100.0,no_data_yet,no_data_yet,69.63,10504.9
2015-4-12,1.0,100.0,10.0,170.0,1,100.0,no_data_yet,no_data_yet,69.63,10579.19
2015-4-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,70.68,10508.51
2015-4-14,2.0,520.0,9.0,75.5,2,260.0,no_data_yet,no_data_yet,306.76,10657.71
2015-4-15,3.0,700.0,9.0,14.3,1,700.0,no_data_yet,no_data_yet,274.0,10934.18
2015-4-16,3.0,150.0,8.0,30.0,1,150.0,no_data_yet,no_data_yet,4093.14,6842.02
2015-4-17,1.0,50.0,8.0,30.0,1,50.0,no_data_yet,no_data_yet,204.16,6638.19
2015-4-18,2.0,100.0,9.0,192.5,2,50.0,no_data_yet,no_data_yet,1.33,6642.05
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.33,6642.05
2015-4-20,1.0,50.0,8.0,30.0,1,50.0,no_data_yet,no_data_yet,50.0,6692.38
2015-4-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,50.0,6692.38
2015-4-22,1.0,100.0,8.0,37.0,1,100.0,no_data_yet,no_data_yet,100.0,6793.19
2015-4-23,4.0,250.0,8.0,98.0,1,250.0,no_data_yet,no_data_yet,250.0,7048.56
2015-4-24,4.0,490.0,8.25,113.8,2,245.0,no_data_yet,no_data_yet,490.0,7550.66
2015-4-25,2.0,150.0,8.0,95.0,1,150.0,no_data_yet,no_data_yet,150.0,7703.78
2015-4-26,1.0,50.0,8.0,95.0,1,50.0,no_data_yet,no_data_yet,50.0,7754.82
2015-4-27,1.0,50.0,8.0,94.0,1,50.0,no_data_yet,no_data_yet,50.0,7805.85
