时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
永利宝金融
2015-3-26,4.0,435.0,13.25,161.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,434.44,24368.59
2015-3-27,6.0,698.0,13.25,153.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,693.56,25092.37
2015-3-28,9.0,395.0,12.44,119.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,390.4,25500.14
2015-3-29,1.0,35.0,13.0,184.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,33.84,25536.31
2015-3-30,1.0,300.0,13.0,91.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,288.08,25834.25
2015-3-31,3.0,274.0,12.83,122.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,270.55,26116.18
2015-4-1,3.0,422.0,13.17,152.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,415.26,26549.61
2015-4-2,5.0,400.0,13.4,164.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,385.72,26956.7
2015-4-3,2.0,270.0,13.25,137.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,258.13,27226.21
2015-4-4,2.0,165.0,13.5,183.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,151.85,27389.42
2015-4-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4.37,27385.05
2015-4-6,2.0,352.0,13.0,137.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,342.29,27739.31
2015-4-7,2.0,195.0,13.25,137.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,192.29,27939.62
2015-4-8,5.0,286.0,12.6,97.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,282.59,28232.01
2015-4-9,5.0,270.0,13.1,146.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,261.36,28507.38
