时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
汇通易贷
2015-3-26,31.0,351.8,16.84,140.3,13,27.062,no_data_yet,no_data_yet,232.73,30320.14
2015-3-27,29.0,349.7,16.47,110.7,6,58.283,no_data_yet,no_data_yet,187.75,30517.61
2015-3-28,15.0,146.3,16.7,118.0,5,29.26,no_data_yet,no_data_yet,455.88,30066.79
2015-3-29,11.0,112.0,16.45,103.6,3,37.333,no_data_yet,no_data_yet,267.08,29804.13
2015-3-30,23.0,226.0,16.5,107.0,6,37.667,no_data_yet,no_data_yet,27.35,29839.66
2015-3-31,17.0,188.0,16.38,82.9,5,37.6,no_data_yet,no_data_yet,98.42,29943.77
2015-4-1,20.0,206.0,17.33,277.5,8,25.75,no_data_yet,no_data_yet,323.33,29636.98
2015-4-2,27.0,275.5,16.5,103.3,7,39.357,no_data_yet,no_data_yet,67.95,29577.33
2015-4-3,29.0,262.3,17.03,188.3,12,21.858,no_data_yet,no_data_yet,45.16,29634.76
2015-4-4,16.0,140.6,17.03,219.4,9,15.622,no_data_yet,no_data_yet,94.29,29548.72
2015-4-5,12.0,111.4,16.58,90.0,4,27.85,no_data_yet,no_data_yet,332.36,29219.29
2015-4-6,21.0,210.0,16.0,30.0,2,105.0,no_data_yet,no_data_yet,62.98,29285.08
2015-4-7,11.0,110.38,16.64,98.2,4,27.595,no_data_yet,no_data_yet,68.88,29219.96
2015-4-8,17.0,175.1,18.06,480.0,8,21.888,no_data_yet,no_data_yet,947.69,28297.61
2015-4-9,39.0,403.2,16.9,104.6,7,57.6,no_data_yet,no_data_yet,266.76,28048.1
2015-4-10,18.0,179.0,16.81,121.7,5,35.8,no_data_yet,no_data_yet,592.14,27463.91
2015-4-11,18.0,191.0,16.72,83.3,3,63.667,no_data_yet,no_data_yet,504.31,26967.03
2015-4-12,8.0,85.0,17.5,142.5,3,28.333,no_data_yet,no_data_yet,663.87,26308.9
2015-4-13,27.0,270.2,17.24,208.9,11,24.564,no_data_yet,no_data_yet,445.32,25880.83
2015-4-14,20.0,182.9,17.13,150.0,7,26.129,no_data_yet,no_data_yet,550.68,25339.37
2015-4-15,18.0,170.0,16.86,126.7,6,28.333,no_data_yet,no_data_yet,515.5,24832.1
2015-4-16,17.0,166.0,16.88,128.8,5,33.2,no_data_yet,no_data_yet,505.99,24334.25
2015-4-17,20.0,171.3,16.9,111.0,7,24.471,no_data_yet,no_data_yet,521.9,23819.56
2015-4-18,12.0,119.4,16.92,175.0,5,23.88,no_data_yet,no_data_yet,580.64,23247.17
2015-4-19,10.0,99.5,17.0,156.0,5,19.9,no_data_yet,no_data_yet,778.12,22475.63
2015-4-20,19.0,177.0,17.16,200.5,9,19.667,no_data_yet,no_data_yet,520.86,21963.98
2015-4-21,22.0,211.7,17.0,133.6,9,23.522,no_data_yet,no_data_yet,532.85,21441.76
2015-4-22,22.0,208.0,16.95,173.2,7,29.714,no_data_yet,no_data_yet,877.34,20577.88
2015-4-23,20.0,205.5,16.75,138.0,6,34.25,no_data_yet,no_data_yet,1.86,20588.04
